block_code,block_name,zp_code,zp_name
1541,Aalampur Jafarabad,121,Bareilly
2092,Abhauli,170,Sant Ravidas Nagar
1442,Achchalda,113,Auraiya
1386,Achhnera,109,Agra
1570,Afzalgarh,123,Bijnor
1599,Agauta,125,Bulandshahr
1449,Ahiraula,114,Azamgarh
1777,Ahirori,141,Hardoi
2132,Ailiya,174,Sitapur
1685,Airayan,133,Fatehpur
1443,Ajitmal,113,Auraiya
1433,Akbarpur,112,Ambedkar Nagar
1848,Akbarpur,147,Kanpur Dehat
2159,Akhand Nagar,176,Sultanpur
1387,Akola,109,Agra
1401,Akrabad,110,Aligarh
1645,Aliganj,129,Etah
1668,Amaniganj,131,Ayodhya
1646,Amanpur,577,Kasganj
2021,Amariya,164,Pilibhit
1686,Amauli,133,Fatehpur
2045,Amawan,166,Rae Bareli
1581,Ambiapur,124,Budaun
2160,Amethi,584,Amethi
1849,Amrodha,147,Kanpur Dehat
1834,Amroha,145,Amroha
1600,Anupshahr,125,Bulandshahr
2198,Arajiline,178,Varanasi
1601,Araniya,125,Bulandshahr
1698,Araon,134,Firozabad
1582,Asafpur,124,Budaun
1994,Asmauli,259726,Sambhal
2182,Asoha,177,Unnao
1687,Asothar,133,Fatehpur
2028,Aspur Deosara,165,Pratapgarh
1402,Atrauli,110,Aligarh
1450,Atraulia,114,Azamgarh
2093,Aurai,170,Sant Ravidas Nagar
1444,Auraiya,113,Auraiya
2183,Auras,177,Unnao
1647,Awagarh,129,Etah
1451,Azmatgarh,114,Azamgarh
2029,Baba Belkharnath Dham,165,Pratapgarh
2030,Babaganj,165,Pratapgarh
1517,Baberu,119,Banda
2151,Babhani,175,Sonbhadra
1735,Babhanjot,138,Gonda
1826,Babina,144,Jhansi
2046,Bachharawan,166,Rae Bareli
1827,Badagaon,144,Jhansi
1805,Badla Pur,143,Jaunpur
1518,Badokhar Khurd,119,Banda
1961,Badraon,159,Mau
2007,Baghara,163,Muzaffarnagar
2083,Baghauli,169,Sant Kabeer Nagar
1471,Baghpat,115,Baghpat
1388,Bah,109,Agra
1413,Bahadurpur,111,Prayagraj
1556,Bahadurpur,122,Basti
2047,Bahadurpur,584,Amethi
1542,Baheri,121,Bareilly
1995,Bahjoi,259726,Sambhal
1414,Bahria,111,Prayagraj
1688,Bahua,133,Fatehpur
1491,Bairia,117,Ballia
1629,Baitalpur,128,Deoria
1806,Baksha,143,Jaunpur
1911,Bakshi-Ka-Talab,153,Lucknow
1477,Balaha,116,Bahraich
1951,Baldeo,158,Mathura
2161,Baldirai,176,Sultanpur
2072,Ballia Kheri,168,Saharanpur
1508,Balrampur,118,Balrampur
1828,Bamaur,144,Jhansi
2098,Banda,171,Shahjahanpur
2184,Bangarmau,177,Unnao
1829,Bangra,144,Jhansi
1525,Bani Kodar,120,Barabanki
1996,Baniyakhera,259726,Sambhal
1630,Bankata,128,Deoria
1557,Bankati,122,Basti
1876,Bankeyganj,150,Kheri
1526,Banki,120,Barabanki
1492,Bansdih,117,Ballia
1751,Bansgaon,139,Gorakhpur
2118,Bansi,173,Siddharth Nagar
1905,Bar,152,Lalitpur
2199,Baragaon,178,Varanasi
1807,Barasathi,143,Jaunpur
1389,Barauli Ahir,109,Agra
1472,Baraut,115,Baghpat
