block_code,block_name,zp_code,zp_name
1631,Barhaj,128,Deoria
1752,Barhalganj,139,Gorakhpur
2119,Barhni,173,Siddharth Nagar
1678,Barhpur,132,Farrukhabad
1660,Barhpura,130,Etawah
2022,Barkhera,164,Pilibhit
1942,Barnahal,157,Mainpuri
1434,Baskhari,112,Ambedkar Nagar
1661,Basrehar,130,Etawah
1558,Basti,122,Basti
1778,Bawan,141,Hardoi
1779,Behendar,141,Hardoi
1877,Behjam,150,Kheri
2133,Behta,174,Sitapur
1753,Belghat,139,Gorakhpur
1493,Belhari,117,Ballia
2084,Belhar Kala,169,Sant Kabeer Nagar
1736,Belsar,138,Gonda
1615,Berahani,126,Chandauli
1494,Beruarbari,117,Ballia
1943,Bewar,157,Mainpuri
2162,Bhadaiya,176,Sultanpur
2163,Bhadar,584,Amethi
1719,Bhadaura,137,Ghazipur
2094,Bhadohi,170,Sant Ravidas Nagar
1543,Bhadpura,121,Bareilly
1632,Bhagalpur,128,Deoria
1997,Bhagatpur Tanda,162,Moradabad
296951,Bhagwatpur,111,Prayagraj
1445,Bhagyanagar,113,Auraiya
1633,Bhaluani,128,Deoria
2120,Bhanwapur,173,Siddharth Nagar
1720,Bhanwarkol,137,Ghazipur
1780,Bharawan,141,Hardoi
1781,Bharkhani,141,Hardoi
277620,Bharohiya,139,Gorakhpur
1662,Bharthana,130,Etawah
1754,Bhathat,139,Gorakhpur
1634,Bhatni,128,Deoria
1635,Bhatpar Rani,128,Deoria
2099,Bhawal Khera,171,Shahjahanpur
1602,Bhawan Bahadur Nagar,125,Bulandshahr
2164,Bhetua,584,Amethi
1858,Bhitargaon,148,Kanpur Nagar
1689,Bhitaura,133,Fatehpur
1435,Bhiti,112,Ambedkar Nagar
1436,Bhiyawan,112,Ambedkar Nagar
1544,Bhojipura,121,Bareilly
1711,Bhojpur,136,Ghaziabad
1545,Bhuta,121,Bareilly
2185,Bichhiya,177,Unnao
1390,Bichpuri,109,Agra
1446,Bidhuna,113,Auraiya
2186,Bighapur,177,Unnao
2031,Bihar,165,Pratapgarh
1403,Bijauli,110,Aligarh
1878,Bijuwa,150,Kheri
1669,Bikapur,131,Ayodhya
1998,Bilari,162,Moradabad
1452,Bilariyaganj,114,Azamgarh
2066,Bilaspur,167,Rampur
1782,Bilgram,141,Hardoi
1859,Bilhaur,148,Kanpur Nagar
2023,Bilsanda,164,Pilibhit
1473,Binauli,115,Baghpat
1906,Birdha,152,Lalitpur
2121,Birdpur,173,Siddharth Nagar
2024,Bisalpur,164,Pilibhit
1519,Bisanda,119,Banda
1583,Bisauli,124,Budaun
1707,Bisrakh,135,Gautam Buddha Nagar
2134,Biswan,174,Sitapur
1546,Bithiri Chainpur,121,Bareilly
1755,Brahmpur,139,Gorakhpur
1926,Bridgemanganj,155,Maharajganj
2008,Budhana,163,Muzaffarnagar
1571,Budhanpur Seohara,123,Bijnor
1603,Bulandshahr,125,Bulandshahr
1756,Campierganj,139,Gorakhpur
1616,Chahniya,126,Chandauli
1868,Chail,149,Kaushambi
1415,Chaka,111,Prayagraj
1663,Chakarnagar,130,Etawah
1617,Chakiya,126,Chandauli
2067,Chamraon,167,Rampur
1618,Chandauli,126,Chandauli
1404,Chandaus,110,Aligarh
1757,Chargawan,139,Gorakhpur
1938,Charkhari,156,Mahoba
2009,Charthawal,163,Muzaffarnagar
2152,Chatra,175,Sonbhadra
1860,Chaubeypur,148,Kanpur Nagar
1952,Chaumuha,158,Mathura
1999,Chhajlet,162,Moradabad
1982,Chhanvey,161,Mirzapur
1737,Chhapia,138,Gonda
1474,Chhaprauli,115,Baghpat
1953,Chhata,158,Mathura
2048,Chhatoh,166,Rae Bareli
1840,Chhibramau,146,Kannauj
1495,Chilkahar,117,Ballia
1912,Chinhat,153,Lucknow
2200,Chiraigaon,178,Varanasi
1830,Chirgaon,144,Jhansi
1478,Chitaura,116,Bahraich
2201,Cholapur,178,Varanasi
2153,Chopan,175,Sonbhadra
1738,Colonelganj,138,Gonda
1708,Dadri,135,Gautam Buddha Nagar
2100,Dadrol,171,Shahjahanpur
1584,Dahgavan,124,Budaun
1796,Dakore,142,Jalaun
2049,Dalmau,166,Rae Bareli
1547,Damkhauda,121,Bareilly
1604,Danpur,125,Bulandshahr
1527,Dariyabad,120,Barabanki
1585,Dataganj,124,Budaun
1970,Daurala,160,Meerut
2095,Deegh,170,Sant Ravidas Nagar
2050,Deenshah Gaura,166,Rae Bareli
2073,Deoband,168,Saharanpur
1636,Deoria Sadar,128,Deoria
1850,Derapur,147,Kanpur Dehat
1637,Desai Deoria,128,Deoria
1721,Devkali,137,Ghazipur
1690,Devmai,133,Fatehpur
1528,Dewa,120,Barabanki
1572,Dhampur,123,Bijnor
1619,Dhanapur,126,Chandauli
1835,Dhanaura,145,Amroha
1927,Dhani,155,Maharajganj
1405,Dhanipur,110,Aligarh
2165,Dhanpatganj,176,Sultanpur
1416,Dhanupur,111,Prayagraj
1808,Dharma Pur,143,Jaunpur
1691,Dhata,133,Fatehpur
1712,Dhaulana,259728,Hapur
1879,Dhaurhara,150,Kheri
1605,Dibai,125,Bulandshahr
2051,Dih,166,Rae Bareli
2000,Dilari,162,Moradabad
1809,Dobhi,143,Jaunpur
1962,Dohri Ghat,159,Mau
2122,Domariyaganj,173,Siddharth Nagar
2166,Dostpur,176,Sultanpur
1559,Dubauliya,122,Basti
2167,Dubepur,176,Sultanpur
1496,Dubhar,117,Ballia
1891,Dudhahi,151,Kushi Nagar
2154,Dudhi,175,Sonbhadra
1699,Eka,134,Firozabad
2113,Ekona,172,Shravasti
1447,Erwa Katra,113,Auraiya
1391,Etmadpur,109,Agra
1954,Farah,158,Mathura
1548,Faridpur,121,Bareilly
1392,Fatehabad,109,Agra
1549,Fatehganj West,121,Bareilly
1529,Fatehpur,120,Barabanki
2187,Fatehpur Chaurasi,177,Unnao
1963,Fatehpur Madaun,159,Mau
1393,Fatehpur Sikri,109,Agra
1892,Fazilnagar,151,Kushi Nagar
1700,Firozabad,134,Firozabad
1758,Gagaha,139,Gorakhpur
1509,Gaindas Bujurg,118,Balrampur
1510,Gaisri,118,Balrampur
1836,Gajraula,145,Amroha
1837,Gangeshwari,145,Amroha
1406,Gangiri,110,Aligarh
2074,Gangoh,168,Saharanpur
1648,Ganj Dundwara,577,Kasganj
2188,Ganj Moradabad,177,Unnao
1713,Garh Mukteshwar,259728,Hapur
1497,Garwar,117,Ballia
1560,Gaur,122,Basti
2032,Gaura,165,Pratapgarh
1638,Gauri Bazar,128,Deoria
2168,Gauriganj,584,Amethi
1861,Ghatampur,148,Kanpur Nagar
1722,Ghazipur,137,Ghazipur
1944,Ghiror,157,Mainpuri
2155,Ghorawal,175,Sonbhadra
1964,Ghosi,159,Mau
1928,Ghughli,155,Maharajganj
2114,Gilaula,172,Shravasti
1770,Gohand,140,Hamirpur
1759,Gola,139,Gorakhpur
1407,Gonda,110,Aligarh
2135,Gondlamau,174,Sitapur
1913,Gosaiganj,153,Lucknow
1955,Govardhan,158,Mathura
1841,Gughrapur,146,Kannauj
1606,Gulaothi,125,Bulandshahr
1586,Gunnaur,259726,Sambhal
1831,Gursarai,144,Jhansi
2096,Gyanpur,170,Sant Ravidas Nagar
1530,Haidargarh,120,Barabanki
2085,Hainsar Bazar,169,Sant Kabeer Nagar
1573,Haldaur(Khari Jhalu),123,Bijnor
1739,Haldharmau,138,Gonda
1983,Hallia,161,Mirzapur
1417,Handia,111,Prayagraj
1498,Hanumanganj,117,Ballia
1714,Hapur,259728,Hapur
2202,Harahua,178,Varanasi
1453,Haraiya,114,Azamgarh
1531,Harakh,120,Barabanki
2052,Harchandpur,166,Rae Bareli
2136,Hargaon,174,Sitapur
2115,Hariharpur Rani,172,Shravasti
1670,Haringatanganj,131,Ayodhya
1783,Hariyawan,141,Hardoi
1784,Harpalpur,141,Hardoi
1561,Harraiya,122,Basti
1511,Harriya Satgharwa,118,Balrampur
2189,Hasanganj,177,Unnao
1838,Hasanpur,145,Amroha
1919,Hasayan,154,Hathras
1842,Haseran,146,Kannauj
1971,Hastinapur,160,Meerut
1692,Haswa,133,Fatehpur
1893,Hata,151,Kushi Nagar
1693,Hathgaon,133,Fatehpur
1920,Hathras,154,Hathras
1701,Hathwant,134,Firozabad
2190,Hilauli,177,Unnao
1418,Holagarh,111,Prayagraj
1479,Huzoorpur,116,Bahraich
1408,Iglas,110,Aligarh
1880,Isanagar,150,Kheri
1587,Islamnagar,124,Budaun
1740,Itiathok,138,Gonda
2123,Itwa,173,Siddharth Nagar
1588,Jagat,124,Budaun
2053,Jagatpur,166,Rae Bareli
2169,Jagdishpur,584,Amethi
1945,Jageer,157,Mainpuri
1394,Jagner,109,Agra
1454,Jahanaganj,114,Azamgarh
1607,Jahangirabad,125,Bulandshahr
1437,Jahangir Ganj,112,Ambedkar Nagar
2170,Jaisinghpur,176,Sultanpur
1649,Jaithara,129,Etah
2101,Jaitipur,171,Shahjahanpur
1939,Jaitpur,156,Mahoba
1395,Jaitpur Kalan,109,Agra
1723,Jakhania,137,Ghazipur
1907,Jakhaura,152,Lalitpur
1843,Jalalabad,146,Kannauj
2102,Jalalabad,171,Shahjahanpur
1438,Jalal Pur,112,Ambedkar Nagar
1810,Jalal Pur,143,Jaunpur
1797,Jalaun,142,Jalaun
1650,Jalesar,129,Etah
1574,Jalilpur,123,Bijnor
1984,Jamalpur,161,Mirzapur
2171,Jamo,584,Amethi
2116,Jamunaha,172,Shravasti
1760,Jangal Kaudia,139,Gorakhpur
1972,Janikhurd,160,Meerut
2010,Jansath,163,Muzaffarnagar
1480,Jarwal,116,Bahraich
1520,Jaspura,119,Banda
1419,Jasra,111,Prayagraj
1702,Jasrana,134,Firozabad
1664,Jaswantnagar,130,Etawah
1409,Jawan,110,Aligarh
1710,Jewar,135,Gautam Buddha Nagar
1741,Jhanjhari,138,Gonda
1851,Jhinjhak,147,Kanpur Dehat
2124,Jogia,173,Siddharth Nagar
1839,Joya,145,Amroha
1589,Junawai,259726,Sambhal
1940,Kabrai,156,Mahoba
1785,Kachauna,141,Hardoi
1798,Kadaura,142,Jalaun
2172,Kadipur,176,Sultanpur
1679,Kaimganj,132,Farrukhabad
2011,Kairana,259727,Shamli
1481,Kaisarganj,116,Bahraich
1914,Kakori,153,Lucknow
1862,Kakwan,148,Kanpur Nagar
2033,Kalakankar,165,Pratapgarh
2103,Kalan,171,Shahjahanpur
1863,Kalyanpur,148,Kanpur Nagar
1680,Kamalganj,132,Farrukhabad
1521,Kamasin,119,Banda
2012,Kandhla,259727,Shamli
1844,Kannauj,146,Kannauj
2104,Kanth,171,Shahjahanpur
1894,Kaptainganj,151,Kushi Nagar
1562,Kaptanganj,122,Basti
1869,Kara,149,Kaushambi
1724,Karanda,137,Ghazipur
1811,Karanja Kala,143,Jaunpur
6897,Karaudikala,176,Sultanpur
1420,Karchhana,111,Prayagraj
1946,Karhal,157,Mainpuri
297517,Karma,175,Sonbhadra
1624,Karwi,127,Chitrakoot
1895,Kasaya,151,Kushi Nagar
1651,Kasganj,577,Kasganj
2203,Kashi Vidyapeeth,178,Varanasi
1725,Kasimabad,137,Ghazipur
2137,Kasmanda,174,Sitapur
1439,Katehari,112,Ambedkar Nagar
1742,Katra Bazar,138,Gonda
1421,Kaudhiyara,111,Prayagraj
1422,Kaurihar,111,Prayagraj
1761,Kauri Ram,139,Gorakhpur
1870,Kaushambi,149,Kaushambi
1812,Kerakat,143,Jaunpur
1896,Khadda,151,Kushi Nagar
1410,Khair,110,Aligarh
2138,Khairabad,174,Sitapur
1762,Khajni,139,Gorakhpur
1694,Khajuha,133,Fatehpur
2086,Khalilabad,169,Sant Kabeer Nagar
1396,Khandauli,109,Agra
1973,Kharkhoda,160,Meerut
2013,Khatauli,163,Muzaffarnagar
1475,Khekra,115,Baghpat
1397,Kheragarh,109,Agra
2125,Khesraha,173,Siddharth Nagar
2054,Khiron,166,Rae Bareli
1763,Khorabar,139,Gorakhpur
2105,Khudaganj Katra,171,Shahjahanpur
2126,Khuniyaon,173,Siddharth Nagar
1608,Khurja,125,Bulandshahr
2106,Khutar,171,Shahjahanpur
1813,Khuthan,143,Jaunpur
1575,Kiratpur,123,Bijnor
1947,Kishni,157,Mainpuri
1455,Koilsa,114,Azamgarh
1985,Kon,161,Mirzapur
297516,Kon,175,Sonbhadra
1799,Konch,142,Jalaun
1965,Kopaganj,159,Mau
1423,Koraon,111,Prayagraj
1786,Kothawan,141,Hardoi
1576,Kotwali,123,Bijnor
1563,Kudaraha,122,Basti
1881,Kumbhigola,150,Kheri
2034,Kunda,165,Pratapgarh
2001,Kundarki,162,Moradabad
1948,Kuraoli,157,Mainpuri
1771,Kurara,140,Hamirpur
2173,Kurebhar,176,Sultanpur
2174,Kurwar,176,Sultanpur
1800,Kuthaund,142,Jalaun
1550,Kyara,121,Bareilly
2139,Laharpur,174,Sitapur
1609,Lakhaothi,125,Bulandshahr
1882,Lakhimpur,150,Kheri
2035,Lakshamanpur,165,Pratapgarh
1929,Lakshmipur,155,Maharajganj
2025,Lalaurikhera,164,Pilibhit
1456,Lalganj,114,Azamgarh
1986,Lalganj,161,Mirzapur
2036,Lalganj,165,Pratapgarh
2055,Lalganj,166,Rae Bareli
2175,Lambhua,176,Sultanpur
1639,Lar,128,Deoria
1411,Lodha,110,Aligarh
1715,Loni,136,Ghaziabad
2127,Lotan,173,Siddharth Nagar
1814,Machchali Shahar,143,Jaunpur
2140,Machhrehta,174,Sitapur
1974,Machra,160,Meerut
1703,Madanpur,134,Firozabad
1787,Madhoganj,141,Hardoi
1801,Madhogarh,142,Jalaun
2107,Madnapur,171,Shahjahanpur
2037,Magraura,165,Pratapgarh
1815,Maharaj Ganj,143,Jaunpur
1482,Mahasi,116,Bahraich
1802,Maheva,142,Jalaun
1665,Mahewa,130,Etawah
2141,Mahmudabad,174,Sitapur
2142,Maholi,174,Sitapur
1457,Mahrajganj,114,Azamgarh
1930,Mahrajganj,155,Maharajganj
2056,Mahrajganj,166,Rae Bareli
1522,Mahuva,119,Banda
1949,Mainpuri,157,Mainpuri
1852,Maitha,147,Kanpur Dehat
1987,Majhawa,161,Mirzapur
1551,Majhgawan,121,Bareilly
1915,Mal,153,Lucknow
1853,Malasa,147,Kanpur Dehat
1916,Malihabad,153,Lucknow
1788,Mallawan,141,Hardoi
1695,Malwan,133,Fatehpur
1424,Manda,111,Prayagraj
1908,Mandawara,152,Lalitpur
2038,Mandhata,165,Pratapgarh
1499,Maniar,117,Ballia
1726,Manihari,137,Ghazipur
1625,Manikpur,127,Chitrakoot
1871,Manjhanpur,149,Kaushambi
1743,Mankapur,138,Gonda
1727,Mardah,137,Ghazipur
1652,Marehra,129,Etah
1816,Mariyahu,143,Jaunpur
2026,Marori,164,Pilibhit
1458,Martinganj,114,Azamgarh
1532,Masauli,120,Barabanki
1671,Masodha,131,Ayodhya
1956,Mat,158,Mathura
1957,Mathura,158,Mathura
1626,Mau,127,Chitrakoot
1425,Mauaima,111,Prayagraj
1772,Maudaha,140,Hamirpur
1832,Mauranipur,144,Jhansi
1672,Mawai,131,Ayodhya
1975,Mawana Kalan,160,Meerut
1673,Maya Bazar,131,Ayodhya
1976,Meerut,160,Meerut
2087,Mehdawal,169,Sant Kabeer Nagar
1459,Mehnagar,114,Azamgarh
1909,Mehroni,152,Lalitpur
1426,Meja,111,Prayagraj
2191,Mianganj,177,Unnao
1483,Mihinpurwa,116,Bahraich
2068,Milak,167,Rampur
1674,Milkipur,131,Ayodhya
1590,Mion,124,Budaun
1552,Mirganj,121,Bareilly
1460,Mirzapur,114,Azamgarh
2108,Mirzapur,171,Shahjahanpur
2143,Misrikh,174,Sitapur
1883,Mitauli,150,Kheri
1931,Mithaura,155,Maharajganj
2128,Mithwal,173,Siddharth Nagar
1681,Mohamdabad,132,Farrukhabad
1728,Mohammadabad,137,Ghazipur
1966,Mohammadabad Gohana,159,Mau
1884,Mohammadi,150,Kheri
1461,Mohammadpur,114,Azamgarh
1577,Mohammedpur Deomal,123,Bijnor
1917,Mohanlalganj,153,Lucknow
1872,Mooratganj,149,Kaushambi
2002,Moradabad,162,Moradabad
2014,Morna,163,Muzaffarnagar
1833,Moth,144,Jhansi
1897,Motichak,151,Kushi Nagar
2176,Motigarpur,176,Sultanpur
1817,Mufti Ganj,143,Jaunpur
1744,Mujehana,138,Gonda
2003,Munda Pandey,162,Moradabad
1818,Mungra Badshah Pur,143,Jaunpur
1716,Muradnagar,136,Ghaziabad
1500,Murlichhapra,117,Ballia
1921,Mursan,154,Hathras
2177,Musafir Khana,584,Amethi
1773,Muskara,140,Hamirpur
2075,Muzaffarabad,168,Saharanpur
2015,Muzaffarnagar,163,Muzaffarnagar
2156,Myorpur,175,Sonbhadra
1803,Nadigaon,142,Jalaun
2076,Nagal,168,Saharanpur
1988,Nagar (City),161,Mirzapur
1501,Nagra,117,Ballia
2157,Nagwa,175,Sonbhadra
1578,Najibabad,123,Bijnor
1885,Nakaha,150,Kheri
2077,Nakur,168,Saharanpur
2078,Nanauta,168,Saharanpur
1958,Nandgaon,158,Mathura
1523,Naraini,119,Banda
1989,Narainpur,161,Mirzapur
1704,Narkhi,134,Firozabad
2088,Nath Nagar,169,Sant Kabeer Nagar
1620,Naugarh,126,Chandauli
2129,Naugarh,173,Siddharth Nagar
1932,Nautanwa,155,Maharajganj
1502,Navanagar,117,Ballia
1484,Nawabganj,116,Bahraich
1553,Nawabganj,121,Bareilly
1682,Nawabganj,132,Farrukhabad
1745,Nawabganj,138,Gonda
2192,Nawabganj,177,Unnao
1898,Nebua Naurangia,151,Kushi Nagar
1579,Nehtaur,123,Bijnor
1873,Nevada,149,Kaushambi
1933,Nichlaul,155,Maharajganj
1653,Nidhauli Kalan,129,Etah
1886,Nighasan,150,Kheri
2109,Nigohi,171,Shahjahanpur
1533,Nindaura,120,Barabanki
1621,Niyamatabad,126,Chandauli
1959,Nohjhil,158,Mathura
1580,Noorpur,123,Bijnor
1512,Pachpedwa,118,Balrampur
1899,Padrauna,151,Kushi Nagar
2144,Pahala,174,Sitapur
1627,Pahari,127,Chitrakoot
1990,Pahari,161,Mirzapur
1610,Pahasu,125,Bulandshahr
1462,Palhana,114,Azamgarh
1463,Palhani,114,Azamgarh
1764,Pali,139,Gorakhpur
1887,Palia,150,Kheri
1503,Pandah,117,Ballia
1746,Pandri Kripal,138,Gonda
1934,Paniyara,155,Maharajganj
1941,Panwari,156,Mahoba
2004,Panwasa,259726,Sambhal
1747,Paraspur,138,Gonda
1564,Paras Rampur,122,Basti
1967,Pardaha,159,Mau
1977,Parikshitgarh,160,Meerut
2145,Parsendi,174,Sitapur
1935,Partawal,155,Maharajganj
1888,Pasgawan,150,Kheri
1864,Patara,148,Kanpur Nagar
1991,Patehra,161,Mirzapur
1640,Pathar Dewa,128,Deoria
1654,Patiyali,577,Kasganj
2039,Patti,165,Pratapgarh
2089,Pauli,169,Sant Kabeer Nagar
1464,Pawai,114,Azamgarh
1485,Phakharpur,116,Bahraich
1936,Pharenda,155,Maharajganj
1889,Phoolbehar,150,Kheri
1427,Phulpur,111,Prayagraj
1465,Phulpur,114,Azamgarh
1789,Pihani,141,Hardoi
1476,Pilana,115,Baghpat
1398,Pinahat,109,Agra
2204,Pindra,178,Varanasi
1765,Pipraich,139,Gorakhpur
1766,Piprauli,139,Gorakhpur
2146,Pisawan,174,Sitapur
2110,Powayan,171,Shahjahanpur
2178,P.P.Kamaicha,176,Sultanpur
2040,Pratapgarh (Sadar),165,Pratapgarh
1428,Pratappur,111,Prayagraj
1486,Prayagpur,116,Bahraich
1675,Pura Bazar,131,Ayodhya
2027,Puranpur,164,Pilibhit
1534,Puredalai,120,Barabanki
2016,Purkaji,163,Muzaffarnagar
2193,Purwa,177,Unnao
2079,Puwarka,168,Saharanpur
1591,Qadar Chowk,124,Budaun
2057,Rahi,166,Rae Bareli
1717,Rajapur,136,Ghaziabad
1683,Rajepur,132,Farrukhabad
1992,Rajgarh,161,Mirzapur
1854,Rajpur,147,Kanpur Dehat
1592,Rajpura,259726,Sambhal
1978,Rajpura,160,Meerut
1890,Ramia Behar,150,Kheri
1900,Ramkola,151,Kushi Nagar
1535,Ramnagar,120,Barabanki
1554,Ramnagar,121,Bareilly
1565,Ramnagar,122,Basti
1628,Ramnagar,127,Chitrakoot
1440,Ram Nagar,112,Ambedkar Nagar
1819,Ram Nagar,143,Jaunpur
1820,Ram Pur,143,Jaunpur
1804,Rampura,142,Jalaun
1641,Rampur Karkhana,128,Deoria
2080,Rampur Maniharan,168,Saharanpur
2147,Rampur Mathura,174,Sitapur
2041,Rampur Sanramgarh,165,Pratapgarh
1466,Rani Ki Sarai,114,Azamgarh
1968,Ranipur,159,Mau
1504,Rasra,117,Ballia
1855,Rasulabad,147,Kanpur Dehat
1969,Ratanpura,159,Mau
1774,Rath,140,Hamirpur
1960,Raya,158,Mathura
1513,Rehera Bazaar,118,Balrampur
1505,Reoti,117,Ballia
2148,Reusa,174,Sitapur
1729,Revatipur,137,Ghazipur
1487,Risia,116,Bahraich
2158,Robertsganj,175,Sonbhadra
2058,Rohania,166,Rae Bareli
1979,Rohta,160,Meerut
1536,Rudauli,131,Ayodhya
1566,Rudauli,122,Basti
1642,Rudrapur,128,Deoria
1748,Rupaideeh,138,Gonda
1922,Sadabad,154,Hathras
1730,Sadat,137,Ghazipur
2081,Sadauli Qadeem,168,Saharanpur
2194,Safipur,177,Unnao
1622,Sahabganj,126,Chandauli
1448,Sahar,113,Auraiya
1593,Sahaswan,124,Budaun
1655,Sahawar,577,Kasganj
1767,Sahjanawa,139,Gorakhpur
297887,Sahson,111,Prayagraj
1429,Saidabad,111,Prayagraj
2069,Saidnagar,167,Rampur
1731,Saidpur,137,Ghazipur
1399,Saiyan,109,Agra
1623,Sakaldiha,126,Chandauli
1656,Sakit,129,Etah
2149,Sakran,174,Sitapur
1594,Salarpur,124,Budaun
1643,Salempur,128,Deoria
2059,Salon,166,Rae Bareli
1567,Saltaua Gopal Pur,122,Basti
2005,Sambhal,259726,Sambhal
1595,Samrer,124,Budaun
1856,Sandalpur,147,Kanpur Dehat
1790,Sandi,141,Hardoi
1791,Sandila,141,Hardoi
2042,Sandwa Chandrika,165,Pratapgarh
2043,Sangipur,165,Pratapgarh
2179,Sangrampur,584,Amethi
2090,Santha,169,Sant Kabeer Nagar
1857,Sarbankhera,147,Kanpur Dehat
1768,Sardarnagar,139,Gorakhpur
1980,Sardhana,160,Meerut
2060,Sareni,166,Rae Bareli
1775,Sarila,140,Hamirpur
1918,Sarojaninagar,153,Lucknow
1874,Sarsawan,149,Kaushambi
2082,Sarsawan,168,Saharanpur
1865,Sarsol,148,Kanpur Nagar
1981,Sarurpur Khurd,160,Meerut
1923,Sasni,154,Hathras
2061,Sataon,166,Rae Bareli
1467,Sathiyaon,114,Azamgarh
1568,Sau Ghat,122,Basti
1845,Saurikh,146,Kannauj
1666,Sefai,130,Etawah
1924,Sehpau,154,Hathras
2091,Semariyawan,169,Sant Kabeer Nagar
1901,Seorahi,151,Kushi Nagar
2205,Sevapuri,178,Varanasi
1792,Shahabad,141,Hardoi
2070,Shahabad,167,Rampur
1821,Shah Ganj,143,Jaunpur
2180,Shahgarh,584,Amethi
2017,Shahpur,163,Muzaffarnagar
2018,Shamli,259727,Shamli
1400,Shamsabad,109,Agra
1684,Shamsabad,132,Farrukhabad
1430,Shankargarh,111,Prayagraj
1555,Shergarh,121,Bareilly
1611,Shikarpur,125,Bulandshahr
1993,Shikhar,161,Mirzapur
1705,Shikohabad,134,Firozabad
1657,Shitalpur,129,Etah
2044,Shivgarh,165,Pratapgarh
2062,Shivgarh,166,Rae Bareli
1488,Shivpur,116,Bahraich
1866,Shivrajpur,148,Kanpur Nagar
2130,Shoharatgarh,173,Siddharth Nagar
1514,Shriduttganj,118,Balrampur
2181,Shukul Bazar,584,Amethi
1506,Siar,117,Ballia
2150,Sidhauli,174,Sitapur
1537,Sidhaur,120,Barabanki
1658,Sidhpura,577,Kasganj
2195,Sikandarpur Karan,177,Unnao
2196,Sikandarpur Sarausi,177,Unnao
1612,Sikandrabad,125,Bulandshahr
1925,Sikandrarao,154,Hathras
1822,Sikrara,143,Jaunpur
1718,Simbhawali,259728,Hapur
2111,Sindhauli,171,Shahjahanpur
2063,Singhpur,584,Amethi
1875,Sirathu,149,Kaushambi
1538,Sirauli Gauspur,120,Barabanki
1823,Sirkoni,143,Jaunpur
2117,Sirsiya,172,Shravasti
1937,Siswa,155,Maharajganj
