pc01_state_id,pc01_district_id,pc01_vd_area,pc01_vd_t_hh,pc01_vd_t_p,pc01_vd_t_m,pc01_vd_t_f,pc01_vd_sc_p,pc01_vd_sc_m,pc01_vd_sc_f,pc01_vd_st_p,pc01_vd_st_m,pc01_vd_st_f,pc01_vd_edu_fac,pc01_vd_p_sch,pc01_vd_m_sch,pc01_vd_s_sch,pc01_vd_s_s_sch,pc01_vd_college,pc01_vd_ind_sch,pc01_vd_tr_sch,pc01_vd_adlt_lt_ct,pc01_vd_oth_sch,pc01_vd_medi_fac,pc01_vd_hosp,pc01_vd_all_hosp,pc01_vd_ayu_hosp,pc01_vd_un_hosp,pc01_vd_hom_hosp,pc01_vd_disp_cntr,pc01_vd_all_disp,pc01_vd_ayu_disp,pc01_vd_un_disp,pc01_vd_hom_disp,pc01_vd_mcw_cntr,pc01_vd_m_home,pc01_vd_cwc,pc01_vd_h_cntr,pc01_vd_ph_cntr,pc01_vd_phs_cnt,pc01_vd_fwc_cntr,pc01_vd_tb_cln,pc01_vd_n_home,pc01_vd_rmp,pc01_vd_smp,pc01_vd_chw,pc01_vd_oth_cntr,pc01_vd_tap,pc01_vd_well,pc01_vd_tank,pc01_vd_tubewell,pc01_vd_handpump,pc01_vd_river,pc01_vd_canal,pc01_vd_lake,pc01_vd_spring,pc01_vd_other,pc01_vd_p_t_fac,pc01_vd_post_off,pc01_vd_tele_off,pc01_vd_post_tele,pc01_vd_phone,pc01_vd_comm_fac,pc01_vd_bs_fac,pc01_vd_rs_fac,pc01_vd_nw_fac,pc01_vd_bank_fac,pc01_vd_comm_bank,pc01_vd_coop_bank,pc01_vd_crsoc_fac,pc01_vd_ac_soc,pc01_vd_nac_soc,pc01_vd_other_soc,pc01_vd_rc_fac,pc01_vd_c_v_hall,pc01_vd_sp_cl_fac,pc01_vd_st_au_fac,pc01_vd_app_pr,pc01_vd_app_mr,pc01_vd_app_fp,pc01_vd_app_navriv,pc01_vd_app_navcan,pc01_vd_app_nw,pc01_vd_dist_town,pc01_vd_power_supl,pc01_vd_power_dom,pc01_vd_power_agr,pc01_vd_power_oth,pc01_vd_power_all,pc01_vd_pap_mag,pc01_vd_tot_inc,pc01_vd_tot_exp,pc01_vd_land_fores,pc01_vd_canal_govt,pc01_vd_canal_pvt,pc01_vd_well_wo_el,pc01_vd_tw_wo_el,pc01_vd_tw_w_el,pc01_vd_tank_irr,pc01_vd_river_irr,pc01_vd_lake_irr,pc01_vd_w_fall,pc01_vd_oth_irr,pc01_vd_tot_irr,pc01_vd_un_irr,pc01_vd_cult_waste,pc01_vd_area_na_cu
01,01,65118.0,83870,624898,326196,298702,61,61,0,51013,26431,24582,1.0,713,199,62,10,1,0,4,49,26,1.0,2,2,0,0,0,15170,15,0,17,0,12,0,68,1,31,11,61,0,0,25,7,12,5,482,606,713,697,655,642,552,716,529,695,1.0,66,1,1,34,1.0,1.0,,,1.0,33,11,1.0,7.0,1,1,1.0,1,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,0.0,0.0,342.7800032128,1976.12000184,18876.209976945902,0.0,665.7400040650001,0.0,0.0,0.0,0.0,0.0,658.8599986654,22176.919964076296,21984.8000529196,10317.7900343373,10041.820013191002
01,02,131582.2,132908,973458,509182,464276,300,282,18,83084,43744,39340,1.0,1208,378,96,10,0,4,2,21,24,1.0,4,4,0,0,0,28740,28,3,44,0,1,0,38,0,29,13,114,0,3,40,3,1,1,706,1195,1271,1225,1199,1186,842,1276,985,1263,1.0,116,0,1,307,1.0,1.0,,1.0,1.0,55,4,1.0,0.0,1,3,0.0,0,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0.0,0.0,1083.2000025935001,15412.899999005898,24765.7000592256,1060.700022215,3.0,0.0,0.0,0.0,0.0,0.0,3455.200011877,44694.5000969935,38164.5999308798,20017.599995377503,27137.799949357803
01,03,34416.7,37626,256281,133934,122347,26,26,0,44172,22894,21278,1.0,228,89,29,3,0,0,0,4,6,1.0,1,1,0,0,0,10410,10,3,11,0,8,0,27,0,14,1,22,0,0,21,0,2,0,182,332,332,315,305,286,275,328,288,336,1.0,33,2,4,117,1.0,1.0,,1.0,1.0,18,1,0.0,0.0,0,0,0.0,0,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,0.0,0.0,239.400003481,5452.700010645,7395.4999637364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12848.2000076949,6360.600045638601,4569.7000006957005,10155.990076895901
01,04,69436.6,76863,558721,287973,270748,83,83,0,14359,7308,7051,1.0,519,210,57,6,0,6,0,25,18,1.0,5,5,0,0,0,16688,16,5,18,8,7,0,30,0,30,21,55,0,0,39,10,0,3,544,922,935,925,886,869,623,938,790,920,1.0,78,1,0,788,1.0,1.0,,,1.0,19,3,1.0,4.0,3,13,0.0,0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0.0,0.0,677.629988553,4137.5199619289,24637.810012003603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.80000305,28848.1699986585,19601.950011264802,8468.8500139941,11048.9499737363
01,05,90402.1,82428,584100,299170,284930,35,35,0,21471,11254,10217,1.0,613,210,58,8,0,1,0,26,15,1.0,2,2,0,0,0,23760,23,6,16,0,18,1,50,2,18,23,43,0,0,24,11,8,12,587,1036,1058,1031,964,1028,721,1076,978,984,1.0,92,3,4,482,1.0,1.0,,1.0,1.0,24,12,1.0,6.0,0,2,0.0,0,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,0.0,0.0,655.590006075,3135.4599677919996,30739.899989659,0.0,0.0,0.0,53.0,272.00000572,0.0,0.0,0.0,33875.309961959,24461.520059677598,11962.3600173504,17160.7800287211
01,06,111596.0,137001,1004071,518620,485451,56,56,0,100761,53402,47359,1.0,929,320,80,11,0,1,1,23,11,1.0,5,5,0,0,0,23180,22,9,28,0,10,0,73,4,34,8,90,0,0,73,7,49,3,697,1178,1197,1166,1022,1010,1032,1209,1060,1191,1.0,139,2,5,119,1.0,1.0,,,1.0,48,9,1.0,12.0,3,15,0.0,0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,0.0,0.0,564.2000025548,8290.199994988,39192.9900378349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47483.1900312489,27758.4100784297,12059.3500339527,23730.9000217707
01,07,38475.799999999996,17567,88593,46534,42059,188,171,17,77608,39651,37957,1.0,242,74,27,2,0,1,0,30,5,1.0,0,0,0,0,0,7000,7,0,0,0,1,0,11,0,9,31,27,0,0,0,0,8,16,130,224,224,224,202,190,138,222,149,196,1.0,49,0,0,17,1.0,1.0,,,1.0,9,6,1.0,51.0,20,39,0.0,0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,0.0,0.0,0.0,179.699997931,8411.099990338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8590.799988269,1168.8000016274,5578.0000215039,23138.20016331
01,08,18922.0,15081,108650,58120,50530,89,86,3,96904,49877,47027,1.0,272,78,34,3,0,0,0,89,19,1.0,1,1,0,0,0,59100,59,1,0,0,0,0,18,6,7,11,20,1,0,1,0,1,22,132,254,252,254,253,200,190,245,163,250,1.0,45,2,0,429,1.0,1.0,,,1.0,7,4,1.0,5.0,1,0,0.0,0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,0.0,0.0,0.0,0.0,8332.239965769999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8332.24996411,2627.2899946360003,3526.510015013,4386.479976502
01,09,411634.730368639,101506,644234,335906,308328,61658,31541,30117,79256,41772,37484,1.0,1212,405,108,5,1,4,0,56,26,1.0,9,0,4,5,0,191463,187,44,6,3,37,5,355,21,22,6,14,2,0,25,4,20,2,678,1256,1292,1298,1298,1273,1266,1295,731,1211,1.0,119,12,7,197,1.0,1.0,3.0,0.0,1.0,31,6,1.0,9.0,4,9,1.0,1,9.0,,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2,6305225.0,8132291.0,218227.89905787449,1651.520007527,5042.7700028975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.9300124629,7577.2200205129,55976.69992518,41360.6102173978,88154.7900336834
01,10,425670.30024478503,101279,626882,330430,296452,127276,66361,60915,108131,56940,51191,1.0,1077,278,91,8,0,6,1,76,6,1.0,8,4,3,1,0,64250,57,72,5,0,14,4,75,15,32,57,10,1,1,25,0,6,23,664,1086,1071,1174,1185,1132,1079,1185,670,1090,1.0,180,16,12,568,1.0,1.0,0.0,0.0,1.0,30,8,1.0,4.0,5,1,0.0,0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0.0,0.0,189388.1999693535,586.300001875,4409.500014293,14.5000003578,0.0,0.0,0.0,0.0,0.0,0.0,444.1000044508,5454.4000209766,69648.300029426,40890.5002766956,120330.4998935059
01,11,113929.0,55602,348635,180472,168163,565,544,21,147677,76415,71262,1.0,737,192,61,11,0,0,0,52,26,1.0,2,1,1,0,0,78000,77,10,0,0,1,0,68,7,21,14,15,0,0,2,0,1,20,179,338,340,344,344,317,332,344,176,338,1.0,68,8,0,272,1.0,1.0,,1.0,1.0,11,3,1.0,10.0,0,1,0.0,0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,9581.0,8092.0,31532.0,2364.0,870.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,443.0,3723.0,23518.0,23203.0,26328.0
01,12,249680.898947105,74992,449629,237948,211681,36706,18764,17942,158172,83373,74799,1.0,911,275,99,13,0,1,2,32,80,1.0,2,0,2,0,0,52010,47,50,1,0,3,0,48,7,20,16,36,0,2,25,2,17,11,422,669,705,750,743,661,737,753,395,649,1.0,132,14,10,842,1.0,1.0,,,1.0,36,10,1.0,28.0,4,3,0.0,0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,0.0,0.0,94798.4,3363.2600129204993,992.1800063045,5.6800000074,0.0,0.0,0.0,7.279999972,0.0,0.0,1207.6299944304,5575.7500285871,47857.640070822396,30755.6900384572,70688.56005151739
01,13,293752.900899142,168627,887554,466689,420865,299449,155935,143514,38566,20025,18541,1.0,1106,419,133,11,0,0,0,13,9,1.0,5,4,0,0,1,214711,212,27,1,1,28,5,101,19,30,62,23,0,2,36,2,2,3,1252,1508,1869,1747,1434,2037,1864,2081,2003,2070,1.0,187,15,6,840,1.0,1.0,0.0,0.0,1.0,53,21,1.0,64.0,13,13,1.0,0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,8568000.0,3700000.0,51796.6803046514,58730.650145266,631.7799974482999,0.400000006,93.659998306,2700.8300209139998,7.4700000289999995,0.0,0.0,0.0,42.27999878,62268.0001591853,74610.7698144092,19223.800049878002,83636.83999462311
01,14,254601.0,81758,471356,246478,224878,109524,57435,52089,33314,17243,16071,1.0,915,316,80,14,0,6,1,43,32,1.0,4,1,2,0,1,127314,123,43,1,4,25,2,51,14,27,26,9,3,1,49,19,9,1,655,781,925,916,904,1018,994,1111,935,1055,1.0,113,13,5,643,1.0,1.0,1.0,1.0,1.0,30,12,1.0,24.0,3,22,1.0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,10183972.0,3945625.0,70568.70999908,13692.57000449,4884.0,30.0,204.0,138.0,0.0,734.0,0.0,4.0,611.0,20565.57000449,52886.870012340005,22222.669996264,88358.14000688
02,01,688924.0,79618,426345,216704,209641,86150,43761,42389,115701,57812,57889,1.0,1041,294,128,44,2,0,5,14,3,1.0,4,3,1,0,0,20921,11,99,2,1,21,2,8,7,28,199,7,2,0,39,2,10,2,1108,8,3,0,126,30,6,0,665,52,1.0,273,26,7,3397,1.0,1.0,,,1.0,44,18,1.0,25.0,8,25,1.0,8,3.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2,227716143.0,208013739.0,415451.0,1252.0,2077.0,40.0,6.0,0.0,0.0,0.0,0.0,0.0,729.0,4122.0,60265.0,97966.0,111120.0
02,02,574630.0,256490,1266745,623259,643486,268721,134232,134489,1372,748,624,1.0,2026,749,344,141,9,29,12,20,67,1.0,5,3,2,0,0,54634,32,226,3,4,2,11,24,10,48,431,31,3,5,409,24,41,6,3606,1422,611,175,1109,257,49,32,621,522,1.0,825,96,49,20032,1.0,1.0,1.0,1.0,1.0,134,133,1.0,480.0,200,189,1.0,30,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,1612374044.0,159669066.0,233470.0,13908.0,14626.0,239.0,400.0,963.0,373.0,140.0,13.0,110.0,4409.0,35390.0,88646.30000001189,82167.0,134957.0
02,03,911163.0,7999,33224,18441,14783,2605,1386,1219,24238,11952,12286,1.0,212,57,29,13,1,0,1,18,0,1.0,2,1,1,0,0,7201,5,22,0,1,4,2,3,3,9,34,1,3,0,0,0,2,0,266,0,0,0,21,28,3,0,82,13,1.0,53,6,2,404,1.0,1.0,,,1.0,8,5,1.0,2.0,1,18,1.0,6,13.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,2,18147828.0,14681328.0,180115.0,449.0,2689.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,276.0,3416.0,8188.0,172089.0,547355.0
02,04,49694.0,69483,351478,181131,170347,103418,52961,50457,9344,4644,4700,1.0,612,139,73,24,0,0,2,4,0,1.0,1,0,1,0,0,10400,4,64,0,0,10,4,3,5,13,99,2,3,0,24,0,18,0,172,17,2,0,46,45,9,0,109,27,1.0,135,19,0,5317,1.0,1.0,,,1.0,32,13,1.0,41.0,4,1,1.0,11,1.0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,65093815.0,60075000.0,12.0,1847.0,248.0,0.0,0.0,0.0,155.0,2.0,0.0,0.0,170.0,2422.0,35615.0,3935.0,7710.0
02,05,396485.0,168021,840362,415676,424686,249142,124799,124343,10149,5055,5094,1.0,1813,507,238,86,3,19,11,73,21,1.0,4,4,0,0,0,30304,14,163,0,4,14,3,15,9,45,309,9,1,3,116,3,31,3,2835,314,108,36,360,89,19,9,583,434,1.0,408,49,28,15447,1.0,1.0,1.0,1.0,1.0,64,21,1.0,108.0,66,86,1.0,19,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,4489183642.0,839812393.0,182255.0,5225.0,5265.0,29.0,1.0,26.0,0.0,693.0,0.0,0.0,2146.0,13470.0,79867.0,74460.0,46433.0
02,06,109382.0,80024,382494,180366,202128,93350,46002,47348,18,13,5,1.0,597,232,129,42,3,2,4,28,7,1.0,3,1,2,0,0,12810,6,68,1,0,2,1,9,3,16,153,9,1,0,147,5,14,7,1633,1011,48,27,443,19,7,0,83,150,1.0,238,41,19,9172,1.0,1.0,,,1.0,43,21,1.0,203.0,14,6,1.0,6,4.0,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2,176569281.0,168483969.0,17162.0,822.0,141.0,89.0,46.0,3.0,0.0,0.0,0.0,0.0,495.0,1596.0,37692.0,28631.0,24301.0
02,07,153125.0,79947,408849,203724,205125,93128,47532,45596,22,13,9,1.0,496,200,104,44,4,4,6,13,4,1.0,5,4,1,0,0,13940,7,69,4,0,11,2,10,4,12,131,6,0,1,310,10,59,3,750,661,147,228,386,8,2,0,31,21,1.0,173,23,18,7174,1.0,1.0,1.0,,1.0,37,34,1.0,171.0,23,19,1.0,6,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2,43848286.0,40870584.0,16551.0,775.0,71.0,272.0,1762.0,4189.0,85.0,24.0,5335.0,0.0,1190.0,14304.0,34501.0,34155.0,53614.0
02,08,112517.0,60788,318934,159488,159446,82342,41802,40540,8918,4608,4310,1.0,637,179,81,24,1,0,1,25,0,1.0,1,0,1,0,0,17201,11,62,0,1,16,2,20,3,19,135,36,0,0,44,10,15,4,964,278,123,43,340,15,0,28,411,37,1.0,192,19,6,4574,1.0,1.0,,1.0,1.0,26,13,1.0,32.0,7,11,1.0,2,1.0,33.200000483,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,752268439.0,651854575.0,34483.0,186.0,1460.0,0.0,178.0,17.0,0.0,0.0,0.0,2.0,1556.0,3430.0,28620.0,15010.0,30974.0
