ac07_id,pc01_vd_area,pc01_vd_t_hh,pc01_vd_t_p,pc01_vd_t_m,pc01_vd_t_f,pc01_vd_sc_p,pc01_vd_sc_m,pc01_vd_sc_f,pc01_vd_st_p,pc01_vd_st_m,pc01_vd_st_f,pc01_vd_edu_fac,pc01_vd_p_sch,pc01_vd_m_sch,pc01_vd_s_sch,pc01_vd_s_s_sch,pc01_vd_college,pc01_vd_ind_sch,pc01_vd_tr_sch,pc01_vd_adlt_lt_ct,pc01_vd_oth_sch,pc01_vd_medi_fac,pc01_vd_hosp,pc01_vd_all_hosp,pc01_vd_ayu_hosp,pc01_vd_un_hosp,pc01_vd_hom_hosp,pc01_vd_disp_cntr,pc01_vd_all_disp,pc01_vd_ayu_disp,pc01_vd_un_disp,pc01_vd_hom_disp,pc01_vd_mcw_cntr,pc01_vd_m_home,pc01_vd_cwc,pc01_vd_h_cntr,pc01_vd_ph_cntr,pc01_vd_phs_cnt,pc01_vd_fwc_cntr,pc01_vd_tb_cln,pc01_vd_n_home,pc01_vd_rmp,pc01_vd_smp,pc01_vd_chw,pc01_vd_oth_cntr,pc01_vd_tap,pc01_vd_well,pc01_vd_tank,pc01_vd_tubewell,pc01_vd_handpump,pc01_vd_river,pc01_vd_canal,pc01_vd_lake,pc01_vd_spring,pc01_vd_other,pc01_vd_p_t_fac,pc01_vd_post_off,pc01_vd_tele_off,pc01_vd_post_tele,pc01_vd_phone,pc01_vd_comm_fac,pc01_vd_bs_fac,pc01_vd_rs_fac,pc01_vd_nw_fac,pc01_vd_bank_fac,pc01_vd_comm_bank,pc01_vd_coop_bank,pc01_vd_crsoc_fac,pc01_vd_ac_soc,pc01_vd_nac_soc,pc01_vd_other_soc,pc01_vd_rc_fac,pc01_vd_c_v_hall,pc01_vd_sp_cl_fac,pc01_vd_st_au_fac,pc01_vd_app_pr,pc01_vd_app_mr,pc01_vd_app_fp,pc01_vd_app_navriv,pc01_vd_app_navcan,pc01_vd_app_nw,pc01_vd_dist_town,pc01_vd_power_supl,pc01_vd_power_dom,pc01_vd_power_agr,pc01_vd_power_oth,pc01_vd_power_all,pc01_vd_pap_mag,pc01_vd_tot_inc,pc01_vd_tot_exp,pc01_vd_land_fores,pc01_vd_canal_govt,pc01_vd_canal_pvt,pc01_vd_well_wo_el,pc01_vd_tw_wo_el,pc01_vd_tw_w_el,pc01_vd_tank_irr,pc01_vd_river_irr,pc01_vd_lake_irr,pc01_vd_w_fall,pc01_vd_oth_irr,pc01_vd_tot_irr,pc01_vd_un_irr,pc01_vd_cult_waste,pc01_vd_area_na_cu,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share,_frag_pop_share
2007-22-026,1925.0,,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,0.0,,,1.0,,,,0.0,,,,1.0,1.0,1.0,,,,10.0,1.0,1.0,,,,2.0,,,736.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,694.0,340.0,155.0,0.0101215780294384,0.0,1.0,1.0,0.0
2007-22-027,499.0,,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,0.0,,,,0.0,1.0,,,,,16.0,1.0,1.0,1.0,,,2.0,,,0.0,0.0,0.0,,,,,36.0,0.0,0.0,,38.0,229.0,183.0,49.0,0.0,0.0,1.0,1.0,0.0
2007-22-040,1499.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,1.0,,,,,1.0,1.0,1.0,,1.0,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,,4.0,1.0,1.0,1.0,,1.0,1.0,,,0.0,296.0,0.0,,,,,0.0,0.0,0.0,,487.0,584.0,142.0,286.0,0.0331955827746399,0.0,1.0,1.0,0.0
2007-22-041,8428.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,1.0,,,,,1.0,1.0,,,1.0,,,1.0,,,,0.0,,,,1.0,1.0,1.0,,,,0.0,1.0,1.0,1.0,,1.0,2.0,,,0.0,3453.0,0.0,,,,,41.0,0.0,0.0,,5143.0,1119.0,1089.0,1077.0,0.0377903087139052,0.0,1.0,1.0,0.0
2007-22-042,58269.0,27493.0,161550.0,81570.0,79980.0,27925.0,13997.0,13928.0,10019.0,4954.0,5065.0,1.0,116.0,43.0,11.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1700.0,0.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,9.0,97.0,35.0,23.0,82.0,6.0,4.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,59.0,1.0,,,,1.0,6.0,8.0,1.0,4.0,0.0,1.0,0.0,0.0,,,1.0,1.0,1.0,,,,0.0,1.0,1.0,1.0,,1.0,2.0,14835505.0,13323821.0,1436.0,27565.0,1226.0,345.0,286.0,793.0,476.0,62.0,0.0,77.0,76.0,31289.0,6634.0,12778.0,6132.0,0.0586368469403458,0.0,1.0,1.0,0.0
2007-22-043,29580.0,16702.0,95762.0,48872.0,46890.0,26312.0,13340.0,12972.0,3645.0,1875.0,1770.0,1.0,59.0,24.0,6.0,6.0,2.0,0.0,0.0,2.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,2700.0,2.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,12.0,0.0,0.0,0.0,30.0,6.0,25.0,1.0,7.0,40.0,19.0,16.0,50.0,0.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,69.0,1.0,1.0,,,1.0,6.0,9.0,1.0,11.0,4.0,0.0,0.0,0.0,,,1.0,1.0,,,,,8.0,1.0,1.0,1.0,,1.0,2.0,6278814.0,5899525.0,752.0,10733.0,868.0,157.0,91.0,315.0,663.0,21.0,0.0,8.0,448.0,13391.0,4625.0,6493.0,4319.0,0.0530676485833372,0.0,1.0,1.0,0.0
2007-22-044,101319.0,39902.0,219819.0,109087.0,110732.0,48369.0,24111.0,24258.0,7214.0,3474.0,3740.0,1.0,211.0,59.0,16.0,11.0,0.0,0.0,0.0,5.0,0.0,1.0,6.0,3.0,2.0,0.0,1.0,8110.0,7.0,11.0,1.0,0.0,6.0,3.0,3.0,4.0,3.0,34.0,2.0,0.0,1.0,85.0,6.0,65.0,0.0,22.0,180.0,79.0,47.0,155.0,11.0,16.0,0.0,1.0,1.0,1.0,38.0,2.0,0.0,113.0,1.0,1.0,,,1.0,8.0,18.0,1.0,35.0,2.0,1.0,1.0,2.0,,,1.0,1.0,,,,,0.0,1.0,1.0,1.0,,1.0,2.0,21616091.0,19650682.0,5106.0,40296.0,1063.0,599.0,645.0,1285.0,1264.0,147.0,55.0,71.0,799.0,46789.0,23402.0,15014.0,11008.0,0.0629174061939135,0.0,1.0,1.0,0.0
2007-22-045,61414.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,0.0,0.0,,1.0,,,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,,,,1.0,1.0,,,,,0.0,1.0,1.0,1.0,,1.0,2.0,,,1423.0,11001.0,326.0,,,,,343.0,0.0,126.0,,18397.0,18619.0,15976.0,6999.0,0.0536684339615373,0.0,1.0,1.0,0.0
2007-22-046,67821.0,27727.0,142694.0,70896.0,71798.0,28776.0,14379.0,14397.0,19955.0,9726.0,10229.0,1.0,150.0,31.0,7.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1200.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,30.0,1.0,0.0,0.0,30.0,2.0,35.0,0.0,11.0,138.0,82.0,62.0,147.0,21.0,1.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,89.0,1.0,1.0,,,1.0,4.0,9.0,1.0,17.0,3.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,,1.0,2.0,6509588.0,5373263.0,212.0,2087.0,10.0,70.0,247.0,2147.0,423.0,20.0,0.0,17.0,483.0,5633.0,42203.0,14649.0,5124.0,0.0630112759468677,0.0,1.0,1.0,0.0
2007-22-047,64505.0,26338.0,126145.0,62668.0,63477.0,22416.0,11113.0,11303.0,17383.0,8520.0,8863.0,1.0,160.0,32.0,14.0,8.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,3601.0,3.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,27.0,1.0,0.0,0.0,50.0,5.0,35.0,0.0,11.0,146.0,56.0,30.0,135.0,13.0,0.0,0.0,0.0,0.0,1.0,27.0,1.0,1.0,90.0,1.0,1.0,,,1.0,7.0,14.0,1.0,16.0,3.0,2.0,1.0,3.0,,,1.0,1.0,1.0,,,,0.0,1.0,1.0,1.0,,1.0,2.0,15550130.0,12241038.0,464.0,18215.0,1583.0,117.0,27.0,1160.0,946.0,63.0,0.0,0.0,403.0,22630.0,23295.0,12495.0,5621.0,0.0434384091134829,0.0,1.0,1.0,0.0
