Year,LGI Type,District,Block,Municipality,Corporation,Grama Panchayat,0,1,2,3
2005,District,Thiruvananthapuram,,,,,"Thiruvananthapuram District Panchayat, Thiruvananthapuram","Thiruvananthapuram District Panchayat, Thiruvananthapuram","Thiruvananthapuram District Panchayat, Thiruvananthapuram","Thiruvananthapuram District Panchayat, Thiruvananthapuram"
2005,District,Thiruvananthapuram,,,,,Ward No,Elected Members,Front,Votes
2005,District,Thiruvananthapuram,,,,,1,Renjith,CPI,21413
2005,District,Thiruvananthapuram,,,,,2,S. Krishnankutty,CPI(M),18457
2005,District,Thiruvananthapuram,,,,,3,Adv.M.M.Thaha,INC,18777
2005,District,Thiruvananthapuram,,,,,4,B.P.Murali,CPI(M),21955
2005,District,Thiruvananthapuram,,,,,5,Subhadra Sethunadh,CPI(M),21358
2005,District,Thiruvananthapuram,,,,,6,Chandrika Amma,CPI(M),20023
2005,District,Thiruvananthapuram,,,,,7,M.S.Raju,CPI(M),19877
2005,District,Thiruvananthapuram,,,,,8,G.Sivadasan,INC,18788
2005,District,Thiruvananthapuram,,,,,9,Anad Jayan,INC,17184
2005,District,Thiruvananthapuram,,,,,10,S.Sanjayan,CPI(M),18414
2005,District,Thiruvananthapuram,,,,,11,R. Radhabhai Amma,CPI(M),21114
2005,District,Thiruvananthapuram,,,,,12,Adv.I.B.Satheesh,CPI(M),23305
2005,District,Thiruvananthapuram,,,,,13,Ann Sajitha Russal R.K,INC,20414
2005,District,Thiruvananthapuram,,,,,14,Anavoor Nagappan,CPI(M),38714
2005,District,Thiruvananthapuram,,,,,15,A.T.George,INC,27921
2005,District,Thiruvananthapuram,,,,,16,M.Benadict,INC,22851
2005,District,Thiruvananthapuram,,,,,17,D.R.Selin,JD(S),24299
2005,District,Thiruvananthapuram,,,,,18,Gangadharan Nadar,JD(S),23156
2005,District,Thiruvananthapuram,,,,,19,K.G.Ajila,CPI(M),24062
2005,District,Thiruvananthapuram,,,,,20,D.Sureshkumar,CPI(M),24839
2005,District,Thiruvananthapuram,,,,,21,V.S.Aravind,CPI(M),20125
2005,District,Thiruvananthapuram,,,,,22,Ragini R.Pillai,DIC(K),17037
2005,District,Thiruvananthapuram,,,,,23,Sasikala Sivasankar,CPI(M),20605
2005,District,Thiruvananthapuram,,,,,24,V.Ambili,CPI(M),21564
2005,District,Thiruvananthapuram,,,,,25,Chithralekha,CPI,21653
2005,District,Thiruvananthapuram,,,,,26,S.A.Vahid,ML,14365
2005,District,Thiruvananthapuram,,,,,27,Rajanbabu Kochukrishnan,CPI(M),19496
2005,District,Thiruvananthapuram,,,,,28,Nazeema Beevi Sainulabdeen,CPI(M),23025
2005,District,Thiruvananthapuram,,,,,"Kollam District Panchayat, Kollam","Kollam District Panchayat, Kollam","Kollam District Panchayat, Kollam","Kollam District Panchayat, Kollam"
2005,District,Thiruvananthapuram,,,,,Ward No,Elected Members,Front,Votes
2005,District,Thiruvananthapuram,,,,,1,P B Sathyadevan,CPI(M),22947
2005,District,Thiruvananthapuram,,,,,2,KUmari K Devaki,CPI,28406
2005,District,Thiruvananthapuram,,,,,3,K Somaprasad,CPI(M),26395
2005,District,Thiruvananthapuram,,,,,4,G R Remanan,CPI(M),24518
2005,District,Thiruvananthapuram,,,,,5,Adv.Ayisha Potty,CPI(M),23577
2005,District,Thiruvananthapuram,,,,,6,Sreekumari Teacher,CPI(M),21474
2005,District,Thiruvananthapuram,,,,,7,Adv.S Venugopal,CPI,22739
2005,District,Thiruvananthapuram,,,,,8,C K George,KC(J),18932
2005,District,Thiruvananthapuram,,,,,9,Soumya Gopalkrishnan,CPI(M),23495
2005,District,Thiruvananthapuram,,,,,10,George Mathew,CPI(M),22181
2005,District,Thiruvananthapuram,,,,,11,A S Shibina,CPI(M),21229
2005,District,Thiruvananthapuram,,,,,12,Kollayil Sudevan,CPI(M),23699
2005,District,Thiruvananthapuram,,,,,13,K Dineshbabu,CPI,24060
2005,District,Thiruvananthapuram,,,,,14,M K Nirmala,CPI(M),22306
2005,District,Thiruvananthapuram,,,,,15,Manmathan Nair,CPI,21809
2005,District,Thiruvananthapuram,,,,,16,D Sureshkumar,CPI(M),26365
2005,District,Thiruvananthapuram,,,,,17,Sayudeen,CPI,21366
2005,District,Thiruvananthapuram,,,,,18,S Subhash,CPI,21528
2005,District,Thiruvananthapuram,,,,,19,H A Majeed,CPI(M),19002
2005,District,Thiruvananthapuram,,,,,20,N S Prasannakumar,CPI(M),25640
2005,District,Thiruvananthapuram,,,,,21,Chinchurani,CPI,18762
2005,District,Thiruvananthapuram,,,,,22,Jayadevi Mohan,CPI(M),19972
2005,District,Thiruvananthapuram,,,,,23,Punthala Mohanan,INC,16440
2005,District,Thiruvananthapuram,,,,,24,K Raji,RSP,20127
2005,District,Thiruvananthapuram,,,,,25,Adv.C.P.Sudheeshkumar,RSP,22388
2005,District,Thiruvananthapuram,,,,,26,Anil Narayanan,DIC(K),24825
2005,District,Thiruvananthapuram,,,,,27,Vijayamma Lali,CPI,24529
2005,District,Thiruvananthapuram,,,,,"PathanamThitta District Panchayat, Pathanamthitta","PathanamThitta District Panchayat, Pathanamthitta","PathanamThitta District Panchayat, Pathanamthitta","PathanamThitta District Panchayat, Pathanamthitta"
2005,District,Thiruvananthapuram,,,,,Ward No,Elected Members,Front,Votes
2005,District,Thiruvananthapuram,,,,,1,Saji Alex,KC(M),18672
2005,District,Thiruvananthapuram,,,,,2,Adv. M. Philip Koshy,CPI(M),17031
2005,District,Thiruvananthapuram,,,,,3,Adv. K.Jayavarma,INC,16924
2005,District,Thiruvananthapuram,,,,,4,T.K. Saju,INC,14627
2005,District,Thiruvananthapuram,,,,,5,P.K. Kumaran,CPI(M),14816
2005,District,Thiruvananthapuram,,,,,6,M.S. Rajendran,CPI(M),22516
2005,District,Thiruvananthapuram,,,,,7,Elizabeth Abu,INC,17645
2005,District,Thiruvananthapuram,,,,,8,M.P. Maniyamma,CPI,17740
