Year,LGI Type,District,Block,Municipality,Corporation,Grama Panchayat,0,1,2,3
2005,District,Thiruvananthapuram,,,,,9,Seema Ramakrishnan,CPI(M),15284
2005,District,Thiruvananthapuram,,,,,10,Mohankumar K.,CPI(M),16118
2005,District,Thiruvananthapuram,,,,,11,Appinazhikathu Santhakumary,CPI(M),15272
2005,District,Thiruvananthapuram,,,,,12,M.P. Jayan,CPI,16688
2005,District,Thiruvananthapuram,,,,,13,N.G. Surendran,INC,16407
2005,District,Thiruvananthapuram,,,,,14,Asha Ben,DIC(K),18644
2005,District,Thiruvananthapuram,,,,,15,Adv. Omalloor Sankaran,CPI(M),16005
2005,District,Thiruvananthapuram,,,,,16,K.K. Royson,INC,14196
2005,District,Thiruvananthapuram,,,,,17,Nirmala Mathews,INC,17099
2005,District,Thiruvananthapuram,,,,,"Alappuzha District Panchayat, Alappuzha","Alappuzha District Panchayat, Alappuzha","Alappuzha District Panchayat, Alappuzha","Alappuzha District Panchayat, Alappuzha"
2005,District,Thiruvananthapuram,,,,,Ward No,Elected Members,Front,Votes
2005,District,Thiruvananthapuram,,,,,1,Kanakam Krishnapillai,INC,27363
2005,District,Thiruvananthapuram,,,,,2,N.R.Baburaj,CPI(M),22830
2005,District,Thiruvananthapuram,,,,,3,K.M.Sinimol,CPI(M),20413
2005,District,Thiruvananthapuram,,,,,4,D.P.Mangalamma,CPI(M),26594
2005,District,Thiruvananthapuram,,,,,5,ADV: R.Riyase,CPI(M),27532
2005,District,Thiruvananthapuram,,,,,6,P.V. Ramabaradan,CPI(M),23277
2005,District,Thiruvananthapuram,,,,,7,Lisamma Johnson,KC(J),23047
2005,District,Thiruvananthapuram,,,,,8,John Thomase,INC,21746
2005,District,Thiruvananthapuram,,,,,9,Jacob Oommen,JD(S),19880
2005,District,Thiruvananthapuram,,,,,10,Charli Abraham,INC,22206
2005,District,Thiruvananthapuram,,,,,11,K R Rajappan,INC,21145
2005,District,Thiruvananthapuram,,,,,12,Adv. G Harisankar,CPI(M),19206
2005,District,Thiruvananthapuram,,,,,13,K Raghuprasad,CPI(M),24701
2005,District,Thiruvananthapuram,,,,,14,G Rajamma,CPI(M),22969
2005,District,Thiruvananthapuram,,,,,15,Reshmi Jayamohan,CPI,21557
2005,District,Thiruvananthapuram,,,,,16,Prasnnakumari Teacher,CPI,22589
2005,District,Thiruvananthapuram,,,,,17,Leela,CPI(M),22941
2005,District,Thiruvananthapuram,,,,,18,C Prasad,CPI(M),23591
2005,District,Thiruvananthapuram,,,,,19,Prfasar N Gopinadhan,CPI,24011
2005,District,Thiruvananthapuram,,,,,20,P.K. Sajeevkumar,CPI(M),25838
2005,District,Thiruvananthapuram,,,,,21,Nazar,CPI(M),27107
2005,District,Thiruvananthapuram,,,,,22,Vijayanthi Mohandas,CPI,26701
2005,District,Thiruvananthapuram,,,,,23,Raju Srambikal,CPI,20361
2005,District,Thiruvananthapuram,,,,,"Kottayam District Panchayat, Kottayam","Kottayam District Panchayat, Kottayam","Kottayam District Panchayat, Kottayam","Kottayam District Panchayat, Kottayam"
2005,District,Thiruvananthapuram,,,,,Ward No,Elected Members,Front,Votes
2005,District,Thiruvananthapuram,,,,,1,T N Rameshan,CPI,28065
2005,District,Thiruvananthapuram,,,,,2,P M Thankappan,CPI(M),19274
2005,District,Thiruvananthapuram,,,,,3,Merry Sebastian,KC(M),23190
2005,District,Thiruvananthapuram,,,,,4,Biju Kaippareadan,KC(J),22163
2005,District,Thiruvananthapuram,,,,,5,Molly Peter,INC,21392
2005,District,Thiruvananthapuram,,,,,6,Nirmala Jimmy,KC(M),23876
2005,District,Thiruvananthapuram,,,,,7,Mini Saviyo,KC(M),24298
2005,District,Thiruvananthapuram,,,,,8,Adv. Mohan Thomas(Kaniyamkunnel),KC(S),17739
2005,District,Thiruvananthapuram,,,,,9,Laila Mohanan,CPI,23284
2005,District,Thiruvananthapuram,,,,,10,"Adv Sebastian Kulathinkal B.A., L.L.B",KC(J),18732
2005,District,Thiruvananthapuram,,,,,11,Prof N Jayaraj,KC(M),21567
2005,District,Thiruvananthapuram,,,,,12,Adv. Girish S Nair,CPI(M),19914
2005,District,Thiruvananthapuram,,,,,13,Thomas Kunnappally,KC(M),18202
2005,District,Thiruvananthapuram,,,,,14,Flory Mathew,LDF (IND),20404
2005,District,Thiruvananthapuram,,,,,15,Radha V Nair,INC,19864
2005,District,Thiruvananthapuram,,,,,16,Sudha Kuriyan,INC,24854
2005,District,Thiruvananthapuram,,,,,17,Adv. Job Michale,KC(M),23400
2005,District,Thiruvananthapuram,,,,,18,JessyMol Manoj,INC,22330
2005,District,Thiruvananthapuram,,,,,19,K P Sugunan,CPI(M),24386
2005,District,Thiruvananthapuram,,,,,20,Adv K Anilkumar,CPI(M),19244
2005,District,Thiruvananthapuram,,,,,21,Adv. Royce Chirayil,KC(M),17690
2005,District,Thiruvananthapuram,,,,,22,Ajitha Sabu,KC(M),21650
2005,District,Thiruvananthapuram,,,,,23,K Kunjappan,CPI(M),24038
2005,District,Thiruvananthapuram,,,,,"Idukki District Panchayat, Idukki","Idukki District Panchayat, Idukki","Idukki District Panchayat, Idukki","Idukki District Panchayat, Idukki"
2005,District,Thiruvananthapuram,,,,,Ward No,Elected Members,Front,Votes
2005,District,Thiruvananthapuram,,,,,1,P.R. Sukumaran,INC,19260
2005,District,Thiruvananthapuram,,,,,2,P. Palanivel,CPI,17076
2005,District,Thiruvananthapuram,,,,,3,Tessy Francis,CPI(M),19773
2005,District,Thiruvananthapuram,,,,,4,O.G. Madhanan,CPI(M),21863
2005,District,Thiruvananthapuram,,,,,5,Nobil Joseph,KC(J),23949
2005,District,Thiruvananthapuram,,,,,6,Latha Rajaji,CPI(M),17498
2005,District,Thiruvananthapuram,,,,,7,Jameela Raghavan,CPI,20850
2005,District,Thiruvananthapuram,,,,,8,Joy Vettikuzhy,KC(J),23930
2005,District,Thiruvananthapuram,,,,,9,Ambika K.V.,CPI(M),25529
2005,District,Thiruvananthapuram,,,,,10,Vazhoor Soman,CPI,15979
2005,District,Thiruvananthapuram,,,,,11,E.S. Bijimol,CPI,18190
2005,District,Thiruvananthapuram,,,,,12,Antappan Jacob,CPI(M),18060
2005,District,Thiruvananthapuram,,,,,13,Sheela Stephan,KC(J),19659
2005,District,Thiruvananthapuram,,,,,14,K.N. Murali,DIC(K),23655
2005,District,Thiruvananthapuram,,,,,15,Roy K. Paulose,INC,27300
2005,District,Thiruvananthapuram,,,,,16,Shajini,CPI(M),19049
2005,District,Thiruvananthapuram,,,,,"Ernakulam District Panchayat, Ernakulam","Ernakulam District Panchayat, Ernakulam","Ernakulam District Panchayat, Ernakulam","Ernakulam District Panchayat, Ernakulam"
2005,District,Thiruvananthapuram,,,,,Ward No,Elected Members,Front,Votes
2005,District,Thiruvananthapuram,,,,,1,P.V. Jose,INC,30921
2005,District,Thiruvananthapuram,,,,,2,Anil Kanjili,DIC(K),26734
2005,District,Thiruvananthapuram,,,,,3,Bini David,LDF (IND),21288
2005,District,Thiruvananthapuram,,,,,4,R.M. Ramachandran,CPI(M),24310
2005,District,Thiruvananthapuram,,,,,5,Azees Ravuthar,CPI(M),26820
2005,District,Thiruvananthapuram,,,,,6,Babu Paul,DIC(K),27795
2005,District,Thiruvananthapuram,,,,,7,Abdul Rasaq,CPI,18514
2005,District,Thiruvananthapuram,,,,,8,Dolly Kuriyakose,INC,19037
2005,District,Thiruvananthapuram,,,,,9,M.J. Jacob,CPI(M),26037
2005,District,Thiruvananthapuram,,,,,10,K.N. Sugathan,CPI,26956
2005,District,Thiruvananthapuram,,,,,11,P.V. Prabhakaran,CPI(M),27077
2005,District,Thiruvananthapuram,,,,,12,K J Leenas,INC,26204
2005,District,Thiruvananthapuram,,,,,13,G. Sudhambhika Teacher,INC,22915
2005,District,Thiruvananthapuram,,,,,14,M.A. Surendhran,CPI(M),22392
2005,District,Thiruvananthapuram,,,,,15,C.P. Joy,INC,20898
2005,District,Thiruvananthapuram,,,,,16,Adv. A. Sindhu,CPI,20356
2005,District,Thiruvananthapuram,,,,,17,Raju Kumbalan,LDF (IND),19719
2005,District,Thiruvananthapuram,,,,,18,K.M.Kunjumon,NCP,14992
2005,District,Thiruvananthapuram,,,,,19,M.E. Hasainar,CPI(M),18556
2005,District,Thiruvananthapuram,,,,,20,N.R. Girieesan,INC,23928
2005,District,Thiruvananthapuram,,,,,21,K.G. Gopika,INC,20139
2005,District,Thiruvananthapuram,,,,,22,Adv. K.V. Abharam,CPI(M),23186
2005,District,Thiruvananthapuram,,,,,23,Karthyani Servan,CPI(M),25065
2005,District,Thiruvananthapuram,,,,,24,Sinda Jacob,DIC(K),22061
2005,District,Thiruvananthapuram,,,,,25,Lissy George,INC,22849
2005,District,Thiruvananthapuram,,,,,26,M.B. Syamantha Bhadran,CPI(M),17057
2005,District,Thiruvananthapuram,,,,,27,V.K. Sulochana,CPI,18799
2005,District,Thiruvananthapuram,,,,,28,P.S. Shyla,CPI(M),29789
2005,District,Thiruvananthapuram,,,,,"Thrissur District Panchayat, Thrissur","Thrissur District Panchayat, Thrissur","Thrissur District Panchayat, Thrissur","Thrissur District Panchayat, Thrissur"
2005,District,Thiruvananthapuram,,,,,Ward No,Elected Members,Front,Votes
2005,District,Thiruvananthapuram,,,,,1,Omana Ramesh,JD(S),16947
2005,District,Thiruvananthapuram,,,,,2,K E Sudheer,CPI(M),21603
2005,District,Thiruvananthapuram,,,,,3,Seema Babu,CPI(M),18960
2005,District,Thiruvananthapuram,,,,,4,K K Muraleedharan,CPI(M),22957
2005,District,Thiruvananthapuram,,,,,5,T K Sulochana,CPI,23100
2005,District,Thiruvananthapuram,,,,,6,E Venugopala Menon,INC,20748
2005,District,Thiruvananthapuram,,,,,7,P S Mohandas,DIC(K),26730
2005,District,Thiruvananthapuram,,,,,8,K K Surendran,CPI(M),26666
2005,District,Thiruvananthapuram,,,,,9,Jinny Joy,INC,24678
2005,District,Thiruvananthapuram,,,,,10,C K Bindu Teacher,CPI,27320
2005,District,Thiruvananthapuram,,,,,11,T A Ramakrishnan,CPI(M),26793
2005,District,Thiruvananthapuram,,,,,12,E C Suresh,CPI(M),29629
2005,District,Thiruvananthapuram,,,,,13,P Augustine Jose,INC,24258
2005,District,Thiruvananthapuram,,,,,14,A R Radhakrishnan,INC,23429
2005,District,Thiruvananthapuram,,,,,15,K C Thyagaraj,CPI(M),27147
2005,District,Thiruvananthapuram,,,,,16,Ambady Venu,CPI(M),26272
2005,District,Thiruvananthapuram,,,,,17,I R Vijayan,BJP,31155
2005,District,Thiruvananthapuram,,,,,18,K Sreekumar,CPI,27656
2005,District,Thiruvananthapuram,,,,,19,Divakaran Master,CPI(M),28062
2005,District,Thiruvananthapuram,,,,,20,P S Balan,CPI(M),22176
2005,District,Thiruvananthapuram,,,,,21,P R Varghese Master,CPI(M),23252
2005,District,Thiruvananthapuram,,,,,22,Adv. T R Rameshkumar,CPI,22810
2005,District,Thiruvananthapuram,,,,,23,K V Peethambaran,CPI(M),19989
2005,District,Thiruvananthapuram,,,,,24,Anitha Baburaj,CPI(M),27710
2005,District,Thiruvananthapuram,,,,,25,A N Rajan,CPI,22517
2005,District,Thiruvananthapuram,,,,,26,N Leela Teacher,DIC(K),25203
2005,District,Thiruvananthapuram,,,,,27,O R Sheeba,CPI,26769
2005,District,Thiruvananthapuram,,,,,28,Ameenakutty Yousuf,ML,17542
2005,District,Thiruvananthapuram,,,,,29,A V Vallabhan,NCP,17751
2005,District,Thiruvananthapuram,,,,,30,Deepa Pradeep,CPI(M),18749
2005,District,Thiruvananthapuram,,,,,"Palakkad District Panchayat, Palakkad","Palakkad District Panchayat, Palakkad","Palakkad District Panchayat, Palakkad","Palakkad District Panchayat, Palakkad"
2005,District,Thiruvananthapuram,,,,,Ward No,Elected Members,Front,Votes
2005,District,Thiruvananthapuram,,,,,1,K.T.Chami,CPI(M),24925
2005,District,Thiruvananthapuram,,,,,2,T.C.Radha,CPI(M),25277
2005,District,Thiruvananthapuram,,,,,3,Adv.T.A.Siddiq,ML,25139
2005,District,Thiruvananthapuram,,,,,4,Adv.Praseeda.N.N,CPI,23127
2005,District,Thiruvananthapuram,,,,,5,K.V.Ibrahim,CPI,14707
2005,District,Thiruvananthapuram,,,,,6,Abdul Samad,CPI(M),20598
2005,District,Thiruvananthapuram,,,,,7,Sivakumari,CPI(M),22047
2005,District,Thiruvananthapuram,,,,,8,Kandamuthan,CPI(M),21397
2005,District,Thiruvananthapuram,,,,,9,Vijayalakshmi,CPI(M),23078
2005,District,Thiruvananthapuram,,,,,10,S.Subhashchandrabos,CPI(M),25565
2005,District,Thiruvananthapuram,,,,,11,U.Thajudeen,JD(S),28423
2005,District,Thiruvananthapuram,,,,,12,Adv.V.Murukadas,JD(S),22818
2005,District,Thiruvananthapuram,,,,,13,R.Chinnakuttan,CPI(M),22571
2005,District,Thiruvananthapuram,,,,,14,M.Rajan,CPI(M),25233
2005,District,Thiruvananthapuram,,,,,15,K.Rajan,CPI,23760
2005,District,Thiruvananthapuram,,,,,16,M. Kumaran,CPI(M),28425
2005,District,Thiruvananthapuram,,,,,17,T Kannan,CPI(M),28738
2005,District,Thiruvananthapuram,,,,,18,Sujatha,CPI,25236
2005,District,Thiruvananthapuram,,,,,19,K D Presanan,CPI(M),27808
2005,District,Thiruvananthapuram,,,,,20,Adv.K.Shanthakumari,CPI(M),24751
2005,District,Thiruvananthapuram,,,,,21,Indira,CPI(M),18090
2005,District,Thiruvananthapuram,,,,,22,T.K.Narayanadas,CPI(M),23790
2005,District,Thiruvananthapuram,,,,,23,E.Jayaprakash,CPI(M),20296
2005,District,Thiruvananthapuram,,,,,24,Pushpalatha,CPI(M),26604
2005,District,Thiruvananthapuram,,,,,25,Anirudhan,CPI(M),25614
2005,District,Thiruvananthapuram,,,,,26,C.P.Rasak,CPI(M),23927
2005,District,Thiruvananthapuram,,,,,27,Subaida Ishaqu,CPI(M),21955
2005,District,Thiruvananthapuram,,,,,28,Indira Balakrishnan,CPI,20889
2005,District,Thiruvananthapuram,,,,,29,C.Masif Haji,LDF (IND),20661
2005,District,Thiruvananthapuram,,,,,"Malappuram District Panchayat, Malappuram","Malappuram District Panchayat, Malappuram","Malappuram District Panchayat, Malappuram","Malappuram District Panchayat, Malappuram"
2005,District,Thiruvananthapuram,,,,,Ward No,Elected Members,Front,Votes
2005,District,Thiruvananthapuram,,,,,1,V.A. Kareem,INC,28685
2005,District,Thiruvananthapuram,,,,,2,Kozhiparamban Jalseemiya,ML,26607
2005,District,Thiruvananthapuram,,,,,3,P. Khalid Master,ML,29792
2005,District,Thiruvananthapuram,,,,,4,Vakkayil Hajira,CPI(M),29702
2005,District,Thiruvananthapuram,,,,,5,Professor.P. Shaik mohammed,LDF (IND),22735
2005,District,Thiruvananthapuram,,,,,6,Arakkal Ummer,ML,25805
2005,District,Thiruvananthapuram,,,,,7,Abdusamad Mankada,INC,23288
2005,District,Thiruvananthapuram,,,,,8,M. Chathan,CPI(M),26039
2005,District,Thiruvananthapuram,,,,,9,Sakeena Pulpadan,ML,24682
2005,District,Thiruvananthapuram,,,,,10,Adv: N. Shamsudheen,ML,30734
2005,District,Thiruvananthapuram,,,,,11,Saleem Kuruvambalam,ML,26328
2005,District,Thiruvananthapuram,,,,,12,Suhra Mampad,ML,24098
2005,District,Thiruvananthapuram,,,,,13,Koottayi Basheer,CPI(M),19754
2005,District,Thiruvananthapuram,,,,,14,P.P Suneer,CPI,25841
2005,District,Thiruvananthapuram,,,,,15,K. Devikutty,CPI(M),23976
2005,District,Thiruvananthapuram,,,,,16,V.V. Gopinad,CPI(M),25712
2005,District,Thiruvananthapuram,,,,,17,P. Salma Teacher,ML,25922
2005,District,Thiruvananthapuram,,,,,18,P. Saidalavi Master,ML,25692
2005,District,Thiruvananthapuram,,,,,19,P.S. Suhrabi,ML,20129
2005,District,Thiruvananthapuram,,,,,20,Mohammed Ismail,ML,24261
2005,District,Thiruvananthapuram,,,,,21,T T Beeravunni,ML,28166
2005,District,Thiruvananthapuram,,,,,22,Athavanad Thanooja,ML,27087
2005,District,Thiruvananthapuram,,,,,23,P.K. Kunhu,ML,31931
2005,District,Thiruvananthapuram,,,,,24,Arimbra Mohammed Master,ML,21130
2005,District,Thiruvananthapuram,,,,,25,A.T. Indirabhay,INC,24245
2005,District,Thiruvananthapuram,,,,,26,Kurukkoli Moideen,ML,27027
2005,District,Thiruvananthapuram,,,,,27,Nanakkal Mariyumma,ML,31050
2005,District,Thiruvananthapuram,,,,,28,P.P. Moosa,INC,29120
2005,District,Thiruvananthapuram,,,,,29,Adv: M.P Gopi,ML,32526
2005,District,Thiruvananthapuram,,,,,30,P.P. Safarulla,ML,28606
2005,District,Thiruvananthapuram,,,,,31,C.P.A Shukkoor,ML,28428
2005,District,Thiruvananthapuram,,,,,32,Pathmini Gopinad,INC,32291
2005,District,Thiruvananthapuram,,,,,"Kozhikkode District Panchayat, Kozhikode","Kozhikkode District Panchayat, Kozhikode","Kozhikkode District Panchayat, Kozhikode","Kozhikkode District Panchayat, Kozhikode"
2005,District,Thiruvananthapuram,,,,,Ward No,Elected Members,Front,Votes
2005,District,Thiruvananthapuram,,,,,1,A K Nanu Master,CPI(M),22095
2005,District,Thiruvananthapuram,,,,,2,Ayadathil Raveendran,JD(S),33436
2005,District,Thiruvananthapuram,,,,,3,Kallyani E V,CPI(M),31363
2005,District,Thiruvananthapuram,,,,,4,Kallil Moosa Master,DIC(K),26049
2005,District,Thiruvananthapuram,,,,,5,K K Ragini,CPI(M),27475
2005,District,Thiruvananthapuram,,,,,6,K P Kunjammadkutty Master,CPI(M),29126
2005,District,Thiruvananthapuram,,,,,7,V K Savitharani,JD(S),28244
2005,District,Thiruvananthapuram,,,,,8,Palluruthi Joseph,CPI(M),30353
2005,District,Thiruvananthapuram,,,,,9,P Sudhakaran Master,NCP,23554
2005,District,Thiruvananthapuram,,,,,10,A K Gopalan,CPI(M),29368
2005,District,Thiruvananthapuram,,,,,11,M Lakshmi,CPI(M),26465
2005,District,Thiruvananthapuram,,,,,12,Muhammedmon Haji,ML,22300
2005,District,Thiruvananthapuram,,,,,13,Milli Mohan Kottarathil,INC,23285
2005,District,Thiruvananthapuram,,,,,14,O P I Koya,LDF (IND),22399
2005,District,Thiruvananthapuram,,,,,15,V Kunjali,JD(S),24385
2005,District,Thiruvananthapuram,,,,,16,Sreevihar Radhabhai,DIC(K),22569
2005,District,Thiruvananthapuram,,,,,17,Vasantha V Kurungottu,CPI(M),29218
2005,District,Thiruvananthapuram,,,,,18,Dinesh Perumanna,DIC(K),22202
2005,District,Thiruvananthapuram,,,,,19,K Sheeba,CPI(M),23098
2005,District,Thiruvananthapuram,,,,,20,T V Balan,CPI,18311
2005,District,Thiruvananthapuram,,,,,21,Edathodi Radhakrishnan,CPI(M),16855
2005,District,Thiruvananthapuram,,,,,22,T Moidheenkoya,CPI(M),21660
2005,District,Thiruvananthapuram,,,,,23,K Ramachandran Master,CPI(M),21961
2005,District,Thiruvananthapuram,,,,,24,M Radhakrishnan Master,CPI(M),20231
2005,District,Thiruvananthapuram,,,,,25,Poolayil Preman,CPI(M),28541
2005,District,Thiruvananthapuram,,,,,26,K Sankaran Master,JD(S),33444
2005,District,Thiruvananthapuram,,,,,27,Sholi Kakkadu,CPI,28142
2005,District,Thiruvananthapuram,,,,,28,Avala Narayanan,CPI,31981
2005,District,Thiruvananthapuram,,,,,"Wayanad District Panchayat, Wayanad","Wayanad District Panchayat, Wayanad","Wayanad District Panchayat, Wayanad","Wayanad District Panchayat, Wayanad"
2005,District,Thiruvananthapuram,,,,,Ward No,Elected Members,Front,Votes
2005,District,Thiruvananthapuram,,,,,1,I.C. Balakrishnan,INC,11986
2005,District,Thiruvananthapuram,,,,,2,Adv. O.V. Sanalkumar,CPI(M),14071
2005,District,Thiruvananthapuram,,,,,3,K.L. Paulose,INC,13144
2005,District,Thiruvananthapuram,,,,,4,Sreenilayam Devaki,ML,11911
2005,District,Thiruvananthapuram,,,,,5,Sarasamma Teacher,DIC(K),12470
2005,District,Thiruvananthapuram,,,,,6,M. Raghavan,DIC(K),10625
2005,District,Thiruvananthapuram,,,,,7,Valsa Chacko,INC,11157
2005,District,Thiruvananthapuram,,,,,8,C. Bhaskaran,CPI(M),13547
2005,District,Thiruvananthapuram,,,,,9,Premakumari,INC,12007
2005,District,Thiruvananthapuram,,,,,10,Adv. George Pothan,JD(S),14176
2005,District,Thiruvananthapuram,,,,,11,P.V. Balachandran,INC,10492
2005,District,Thiruvananthapuram,,,,,12,P.P.A. Kareem,ML,10619
2005,District,Thiruvananthapuram,,,,,13,V. Ushakumari,CPI(M),13145
2005,District,Thiruvananthapuram,,,,,14,P.M. Sivadasan,CPI(M),12360
2005,District,Thiruvananthapuram,,,,,15,Jessy Babu,LDF (IND),11465
2005,District,Thiruvananthapuram,,,,,16,A. Johny,CPI(M),13428
2005,District,Thiruvananthapuram,,,,,"Kannur District Panchayat, Kannur","Kannur District Panchayat, Kannur","Kannur District Panchayat, Kannur","Kannur District Panchayat, Kannur"
2005,District,Thiruvananthapuram,,,,,Ward No,Elected Members,Front,Votes
2005,District,Thiruvananthapuram,,,,,1,K.K.Krishnan,CPI(M),39784
2005,District,Thiruvananthapuram,,,,,2,P.V.Baburaj,CPI(M),27454
2005,District,Thiruvananthapuram,,,,,3,Moly Joseph,KC(M),21088
2005,District,Thiruvananthapuram,,,,,4,P.P.Shyma,CPI(M),33163
2005,District,Thiruvananthapuram,,,,,5,M.C.Raghavan,CPI(M),23287
2005,District,Thiruvananthapuram,,,,,6,Binoy Kuryan,CPI(M),29427
2005,District,Thiruvananthapuram,,,,,7,P.C.Shaji,INC,22600
2005,District,Thiruvananthapuram,,,,,8,Valsan Athikkal,DIC(K),20850
