district_2020,ps_2020,gp_2020,reservation_2020
Sirohi,Reodar,Positara,SC
Sirohi,Reodar,Raipur,SC
Sirohi,Reodar,Reodar,General
Sirohi,Reodar,Rohua,General (Woman)
Sirohi,Reodar,Selwara,ST
Sirohi,Reodar,Sirodi,General
Sirohi,Reodar,Sonela,SC
Sirohi,Reodar,Sorda,SC
Sirohi,Reodar,Sunwada,SC
Sirohi,Reodar,Udawariya,General
Sirohi,Reodar,Varman,General (Woman)
Sirohi,Reodar,Vasan,General (Woman)
Sirohi,Sirohi,Amlari,ST (Woman)
Sirohi,Sirohi,Balda,OBC
Sirohi,Sirohi,Barloot,General
Sirohi,Sirohi,Bhutgaon,SC (Woman)
Sirohi,Sirohi,Dodua,General (Woman)
Sirohi,Sirohi,Fungani,General
Sirohi,Sirohi,Gol,General (Woman)
Sirohi,Sirohi,Goyali,General (Woman)
Sirohi,Sirohi,Haliwara,General
Sirohi,Sirohi,Jaila,SC (Woman)
Sirohi,Sirohi,Jawal,ST
Sirohi,Sirohi,Kalandari,General
Sirohi,Sirohi,Khambal,General (Woman)
Sirohi,Sirohi,Krishnaganj,General (Woman)
Sirohi,Sirohi,Madiya,OBC
Sirohi,Sirohi,Mandwariya,SC (Woman)
Sirohi,Sirohi,Mankroda,SC (Woman)
Sirohi,Sirohi,Manora,General (Woman)
Sirohi,Sirohi,Mer-Mandwara,General
Sirohi,Sirohi,Mohabbat Nagar,General
Sirohi,Sirohi,Nawara,General
Sirohi,Sirohi,Ouda,SC
Sirohi,Sirohi,Padeev,SC
Sirohi,Sirohi,Rampura,OBC
Sirohi,Sirohi,Sanpur,General (Woman)
Sirohi,Sirohi,Sartara,General (Woman)
Sirohi,Sirohi,Sildar,OBC (Woman)
Sirohi,Sirohi,Sindrath,General
Sirohi,Sirohi,Tanwari,SC
Sirohi,Sirohi,Varada,SC
Sirohi,Sirohi,Velangari,OBC (Woman)
Sikar,Srimadhopur,Anantpura,General (Woman)
Sikar,Srimadhopur,Arniya,General (Woman)
Sikar,Srimadhopur,Bagariwas,General
Sikar,Srimadhopur,Bharni,SC
Sikar,Srimadhopur,Futala,General (Woman)
Sikar,Srimadhopur,Hanspur,General (Woman)
Sikar,Srimadhopur,Jhadli,General (Woman)
Sikar,Srimadhopur,Jorawar Nagar,OBC
Sikar,Srimadhopur,Kacharda Kanchanpur,OBC
Sikar,Srimadhopur,Kalyanpura (Jairampura),General (Woman)
Sikar,Srimadhopur,Kalyanpura (Thoi),General
Sikar,Srimadhopur,Kotdi Simrala,ST
Sikar,Srimadhopur,Lisadiya,General
Sikar,Srimadhopur,Mau,SC (Woman)
Sikar,Srimadhopur,Mehroli,OBC (Woman)
Sikar,Srimadhopur,Mundru,General (Woman)
Sikar,Srimadhopur,Nangal,General
Sikar,Srimadhopur,Nangalbheem,SC
Sikar,Srimadhopur,Nathusar,OBC (Woman)
Sikar,Srimadhopur,Rampura (Thoi),OBC (Woman)
Sikar,Srimadhopur,Simrala Jageer,General
Sikar,Srimadhopur,Thoi,General
Sirohi,Shivganj,Alpa,General
Sirohi,Shivganj,Andor,General (Woman)
Sirohi,Shivganj,Jogapura,General
Sirohi,Shivganj,Kailash Nagar,ST
Sirohi,Shivganj,Kesarpura,ST
Sirohi,Shivganj,Manadar,General (Woman)
Tonk,Uniara,Aligarh,General (Woman)
Sirohi,Shivganj,Naradara,SC
Sirohi,Shivganj,Oda,OBC
Sirohi,Shivganj,Posaliya,General (Woman)
Sirohi,Shivganj,Rowara,General
Sirohi,Shivganj,Rukhada,SC
Tonk,Uniara,Amli,General (Woman)
Tonk,Uniara,Balithal,ST
Tonk,Uniara,Banetha,ST (Woman)
Tonk,Uniara,Bilaspur,SC (Woman)
Sirohi,Shivganj,Uthaman,General
Tonk,Uniara,Bilota,ST
Tonk,Uniara,Bosriya,ST (Woman)
Tonk,Uniara,Chouru,SC
Tonk,Uniara,Devli,General (Woman)
Tonk,Uniara,Dhikoliya,SC
Tonk,Uniara,Gothda,General (Woman)
Tonk,Uniara,Haidripura,General
Tonk,Uniara,Jhundva,SC
Tonk,Uniara,Kachravta,General
Tonk,Uniara,Kakod,General
Tonk,Uniara,Khatoli,General (Woman)
Tonk,Uniara,Khelniya,General
Tonk,Uniara,Khohlya,OBC
Tonk,Uniara,Kunder,General (Woman)
Tonk,Uniara,Mandavra,General (Woman)
Tonk,Uniara,Mohammedgarh,General (Woman)
Tonk,Uniara,Mohammedpura,ST
Tonk,Uniara,Pachala,General
Tonk,Uniara,Palai,General
Tonk,Uniara,Patoli,General
Tonk,Uniara,Payga,General (Woman)
Tonk,Uniara,Phuleta,ST (Woman)
Tonk,Uniara,Ranipura,General (Woman)
Tonk,Uniara,Rijoda,ST
Tonk,Deoli,Anwa,General
Tonk,Uniara,Roopwas,ST
Tonk,Uniara,Ruppura,SC (Woman)
Tonk,Uniara,Shyorajpura,ST (Woman)
Tonk,Uniara,Soap,SC (Woman)
Udaipur,Salumber,Adkaliya,ST
Tonk,Deoli,Badoli,OBC (Woman)
Tonk,Deoli,Balunda,General (Woman)
Tonk,Deoli,Banthali,General
Tonk,Deoli,Bijwad,General
Tonk,Deoli,Bisalpur,General (Woman)
Tonk,Uniara,Surali,ST (Woman)
Tonk,Uniara,Suthda,General
Tonk,Uniara,Ukhlana,ST
Udaipur,Salumber,Bamaniya,ST
Udaipur,Salumber,Baroda,ST
Udaipur,Salumber,Bassi Jhunjhawat,ST
Udaipur,Salumber,Bassi Samchot,ST (Woman)
Udaipur,Salumber,Chibora,ST (Woman)
Udaipur,Salumber,Dagar,ST
Tonk,Todaraisingh,Aliyari,OBC
Tonk,Deoli,Chandli,SC (Woman)
Tonk,Deoli,Chandsinghpura,General (Woman)
Tonk,Deoli,Chandwad,ST (Woman)
Udaipur,Salumber,Dal,ST (Woman)
Udaipur,Salumber,Dangiwada,ST
Udaipur,Salumber,Dharod,ST (Woman)
Udaipur,Salumber,Gavadapal,ST (Woman)
Udaipur,Salumber,Ghati,ST
Tonk,Todaraisingh,Bahnvta,ST
Tonk,Todaraisingh,Baseda,General (Woman)
Tonk,Todaraisingh,Bassi,General (Woman)
Tonk,Todaraisingh,Bavdi,OBC
Tonk,Deoli,Charnet,General
Tonk,Deoli,Dabarkalan,SC
Tonk,Deoli,Devdawas,ST
Tonk,Deoli,Devikheda (B),General (Woman)
Udaipur,Salumber,Gingla,ST (Woman)
Udaipur,Salumber,Gudel,ST (Woman)
Udaipur,Salumber,Idana,ST (Woman)
Udaipur,Salumber,Intalikhera,ST
Udaipur,Salumber,Isharwas,ST (Woman)
Udaipur,Salumber,Jawarda,ST (Woman)
Udaipur,Salumber,Kaduni,ST (Woman)
Tonk,Todaraisingh,Berwas,ST
Tonk,Todaraisingh,Bhasu,General
Tonk,Todaraisingh,Botunda,ST (Woman)
Tonk,Todaraisingh,Chhan Bassurya,General (Woman)
Tonk,Deoli,Devligaon,General (Woman)
Tonk,Deoli,Dhuvankalan,SC
Udaipur,Salumber,Kant,ST (Woman)
Udaipur,Salumber,Karavali,ST
Udaipur,Salumber,Kharka,ST (Woman)
Udaipur,Salumber,Kherad,ST
Udaipur,Salumber,Lambi Dungri,ST
Udaipur,Salumber,Makadseema,ST
Tonk,Todaraisingh,Dabaddunba,OBC
Tonk,Todaraisingh,Datob,General
Tonk,Todaraisingh,Ganeti,SC (Woman)
Tonk,Todaraisingh,Gopalpura,General (Woman)
Tonk,Todaraisingh,Hamirpur,General (Woman)
Tonk,Deoli,Gairoli,ST
Tonk,Deoli,Gavadi,General
Tonk,Deoli,Ghad,General (Woman)
Udaipur,Salumber,Mathedui,ST
Udaipur,Salumber,Noli,ST
Udaipur,Salumber,Orwadiya,ST
Udaipur,Salumber,Pratappura,ST (Woman)
Udaipur,Salumber,Saradi,ST
Udaipur,Salumber,Saria,ST (Woman)
Sikar,Patan,Ballupura,SC
Tonk,Todaraisingh,Indokiya,OBC (Woman)
Tonk,Todaraisingh,Kanwarawas,General (Woman)
Tonk,Todaraisingh,Kherda,General (Woman)
Tonk,Todaraisingh,Kuhada Bhujrg,SC
Tonk,Todaraisingh,Kukad,General
Tonk,Deoli,Gurai,General (Woman)
Udaipur,Salumber,Thada,ST
Udaipur,Salumber,Toda,ST (Woman)
Udaipur,Salumber,Utharda,ST (Woman)
Sikar,Patan,Bega Ki Nangal,General
Sikar,Patan,Bihar,General (Woman)
Sikar,Patan,Biharipur,General (Woman)
Sikar,Patan,Chhaja Ki Nangal,SC
Tonk,Todaraisingh,Lambakalan,General
Tonk,Todaraisingh,Laxmipura,General
Tonk,Todaraisingh,Mandolai,SC (Woman)
Tonk,Todaraisingh,Mehru,General
Tonk,Todaraisingh,Morbhatiyan,SC (Woman)
Tonk,Tonk,Arniyakedar,General
Tonk,Deoli,Juniya,ST
Tonk,Deoli,Kanwada,General (Woman)
Tonk,Deoli,Kasir,General
Tonk,Deoli,Khwaxpura,ST
Sikar,Patan,Dabla,OBC
Sikar,Patan,Dalpatpura,OBC
Sikar,Patan,Dariba,ST (Woman)
Sikar,Patan,Dhandhela,SC (Woman)
Tonk,Todaraisingh,More,General (Woman)
Tonk,Todaraisingh,Mundiya Kalan,General (Woman)
Tonk,Todaraisingh,Panvaliya,SC
Tonk,Todaraisingh,Ridlya Rampura,SC
Tonk,Tonk,Arniyamal,ST
Tonk,Tonk,Bambor,General (Woman)
Tonk,Tonk,Baroni,OBC (Woman)
Tonk,Deoli,Maleda,General (Woman)
Tonk,Deoli,Nagarfort,SC (Woman)
Tonk,Deoli,Nasirda,SC (Woman)
Sikar,Patan,Dokan,General (Woman)
Sikar,Patan,Dunga Ki Nagal,OBC (Woman)
Sikar,Patan,Ghasipura,General (Woman)
Tonk,Todaraisingh,Sanwariya,OBC (Woman)
Tonk,Todaraisingh,Thadoli,SC
Tonk,Todaraisingh,Uniralakhurd,General
Tonk,Tonk,Bharni,ST
Tonk,Tonk,Chandlai,SC (Woman)
Tonk,Tonk,Chhan,SC
Tonk,Deoli,Niwariya,ST
Tonk,Deoli,Panwad,SC
Tonk,Deoli,Polyada,ST (Woman)
Tonk,Deoli,Rajkot,General (Woman)
Sikar,Patan,Hasampur,General (Woman)
Sikar,Patan,Jeelo,General (Woman)
Sikar,Patan,Mothuka,General
Sikar,Patan,Nyorana,OBC (Woman)
Tonk,Tonk,Dakhiya,SC (Woman)
Tonk,Tonk,Dardahind,General (Woman)
Tonk,Tonk,Devli,SC
Tonk,Tonk,Devpura,SC
Tonk,Tonk,Ghans,General
Tonk,Tonk,Harchandeda,General
Tonk,Deoli,Rajmahal,SC
Tonk,Deoli,Ramsagar,General (Woman)
Tonk,Deoli,Sandawa,OBC
Tonk,Deoli,Santhali,ST (Woman)
Tonk,Deoli,Sawantgarh,General
Sikar,Patan,Patan,General
Sikar,Patan,Raipur Patan,General
Sikar,Patan,Rajpura,ST
Sikar,Patan,Ramsinghpura,General (Woman)
Sikar,Palsana,Reta,General
Tonk,Tonk,Hathona,General (Woman)
Tonk,Tonk,Kabra,General
Tonk,Tonk,Lamba,General
Tonk,Deoli,Sitapura,ST (Woman)
Tonk,Deoli,Thanwla,SC (Woman)
Tonk,Deoli,Toda Ka Gothda,General
Tonk,Deoli,Tokrawas,General
Sikar,Patan,Salodra,OBC
Sikar,Patan,Shyampura,General
Sikar,Palsana,Abhaypura,General (Woman)
Sikar,Palsana,Ajabpura,OBC
Sikar,Palsana,Aloda,ST (Woman)
Sikar,Palsana,Bhadala Ki Dhani,OBC (Woman)
Sikar,Palsana,Dhingpur,General (Woman)
Sikar,Palsana,Dookia,General (Woman)
Tonk,Tonk,Lavadar,OBC
Tonk,Tonk,Mandawar,General (Woman)
Tonk,Tonk,Mehandwas,OBC
Tonk,Malpura,Antoli,OBC (Woman)
Sikar,Palsana,Ganoda,OBC (Woman)
Sikar,Palsana,Gilon Ki Dhani,SC
Sikar,Palsana,Govty,General
Sikar,Palsana,Khandelasar,OBC
Sikar,Palsana,Kishanpura,General (Woman)
Sikar,Palsana,Kochhor,General (Woman)
Tonk,Tonk,Palda,General (Woman)
Tonk,Tonk,Parana,General
Tonk,Tonk,Sankhna,General (Woman)
Tonk,Tonk,Sonwa,SC (Woman)
Tonk,Malpura,Avda,OBC (Woman)
Tonk,Malpura,Bagdi (R),ST (Woman)
Tonk,Malpura,Barol,General
Tonk,Malpura,Brijlalnagar,General (Woman)
Tonk,Malpura,Buda Deval,General (Woman)
Sikar,Palsana,Ladpur,General (Woman)
Sikar,Palsana,Lamiyan,General
Sikar,Palsana,Ldana,General (Woman)
Sikar,Palsana,Madani,OBC (Woman)
Sikar,Palsana,Manda (Madni),SC (Woman)
Tonk,Tonk,Soran,General (Woman)
Tonk,Tonk,Takholi,ST (Woman)
