district_2020,ps_2020,gp_2020,reservation_2020
Sikar,Ajitgarh,Garh Taknet,SC
Tonk,Piplu,Banawada,OBC
Tonk,Piplu,Borkhandikalan,ST
Tonk,Piplu,Bugdi,General (Woman)
Tonk,Piplu,Bugdi,General
Tonk,Piplu,Chogai,General (Woman)
Sikar,Ajitgarh,Hardas Ka Bas,General (Woman)
Sikar,Ajitgarh,Hathideh,SC (Woman)
Sikar,Ajitgarh,Hathora,SC (Woman)
Sikar,Ajitgarh,Jugalpura,ST (Woman)
Sikar,Ajitgarh,Jugrajpura,General
Sikar,Ajitgarh,Karakada,General (Woman)
Sikar,Ajitgarh,Khatkad,ST
Tonk,Piplu,Dardaturki,General
Tonk,Piplu,Dardaturki,OBC
Tonk,Piplu,Dodwadi,General
