"state","panel","districts","retained","sample_n"
"raj","05_10",32,32,4061
"raj","10_15",33,8,777
"raj","15_20",33,12,1326
"up","05_10",63,48,20152
"up","10_15",54,14,4050
"up","15_21",61,0,0
