term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,observations
(Intercept),0.11763908487835957,0.016031878411744218,7.337822921123365,3.742747620808599e-12,0.08605023584681179,0.14922793390990735,prop_women_ols,2723
treat_2005,-6.681208905884915e-4,0.024812477787987928,-0.02692681062718929,0.9785415597734035,-0.04955806346707466,0.04822182168589768,prop_women_ols,2723
treat_2010,-0.003029013151949633,0.015276729469006737,-0.19827628407604272,0.8430048116009838,-0.03312993386119971,0.027071907557300445,prop_women_ols,2723
treat_2015,-0.007769614059886979,0.01593291012364018,-0.4876456340740257,0.6262673862499986,-0.039163458224784876,0.02362423010501092,prop_women_ols,2723
treat_2005:treat_2010,0.019245935787359395,0.029808262961049013,0.645657743039519,0.5191474528484381,-0.039487588406503946,0.07797945998122274,prop_women_ols,2723
treat_2005:treat_2015,0.012799608355298803,0.02800477409368274,0.45705094111743305,0.6480676956042293,-0.042380362343574424,0.06797957905417203,prop_women_ols,2723
treat_2010:treat_2015,0.009660990618899011,0.020773728338331184,0.4650580994203522,0.6423317620244845,-0.031271091788937506,0.050593073026735526,prop_women_ols,2723
treat_2005:treat_2010:treat_2015,-0.015836308542967685,0.03567944695564945,-0.44384960794523126,0.6575704181927164,-0.08613828030601983,0.05446566322008447,prop_women_ols,2723
treat_2005,0.01576561062818876,0.02234252379237958,0.7056324869424991,0.4811338940018265,-0.02825759070449006,0.05978881196086758,prop_women_fe,2723
treat_2010,0.009299806349216698,0.01385924130244667,0.6710184306824167,0.5028850319441751,-0.018008127877259784,0.03660774057569318,prop_women_fe,2723
treat_2015,0.007421746507184922,0.013266369450162515,0.5594406619735744,0.5764077582959877,-0.018718006489627365,0.033561499503997214,prop_women_fe,2723
treat_2005:treat_2010,0.0030997991367537384,0.02907103571178391,0.10662843826707001,0.915177107599982,-0.05418110923250862,0.0603807075060161,prop_women_fe,2723
treat_2005:treat_2015,-0.00615893154595099,0.025241304812113573,-0.24400210653909032,0.8074476509666254,-0.05589382514925069,0.043575962057348705,prop_women_fe,2723
treat_2010:treat_2015,-0.003452801693427008,0.018869277710976243,-0.18298536628238377,0.8549714017852854,-0.04063239784790711,0.033726794461053096,prop_women_fe,2723
treat_2005:treat_2010:treat_2015,0.0038631438072473916,0.03277935280681498,0.11785296158880312,0.9062874690561247,-0.06072454832543421,0.068450835939929,prop_women_fe,2723
(Intercept),0.7991266375545876,0.11687983464771097,6.837164340309392,7.258837152704749e-11,0.5688292664858209,1.0294240086233544,num_women_ols,2723
treat_2005,-0.027698066126015202,0.16164198355379128,-0.17135440630619228,0.8640964203515974,-0.3461937585521852,0.29079762630015477,num_women_ols,2723
treat_2010,-0.07035305264892672,0.11093219640761466,-0.6341986810611595,0.5265841741405048,-0.2889313324399657,0.14822522714211228,num_women_ols,2723
treat_2015,-0.13847274803936674,0.12237108497145223,-1.1315806186704225,0.2589943733075326,-0.3795899540030906,0.10264445792435714,num_women_ols,2723
treat_2005:treat_2010,0.09003559233146419,0.18071902532701087,0.4982076024842702,0.6188158595356296,-0.26604906983772175,0.4461202545006501,num_women_ols,2723
treat_2005:treat_2015,0.11112000599468216,0.19674979348443886,0.5647782598738573,0.5727774128192116,-0.27655131758616813,0.4987913295755324,num_women_ols,2723
treat_2010:treat_2015,0.14019561703441483,0.13815462373722776,1.014773253634052,0.3112848767012098,-0.13202111516389084,0.4124123492327205,num_women_ols,2723
treat_2005:treat_2010:treat_2015,-0.058316402208222304,0.2373598327656414,-0.24568774560016368,0.806144011267936,-0.5260048246637368,0.4093720202472922,num_women_ols,2723
treat_2005,0.07373636404996779,0.1420893323487216,0.5189437013399494,0.6043011333827359,-0.20623322861293314,0.35370595671286875,num_women_fe,2723
treat_2010,-8.643508121055951e-4,0.09404965512838147,-0.00919036663053918,0.992675252822294,-0.18617765478172746,0.18444895315751628,num_women_fe,2723
treat_2015,-0.03864497477372278,0.10001251964758484,-0.38640137164723454,0.6995582148067125,-0.2357073715355345,0.15841742198808895,num_women_fe,2723
treat_2005:treat_2010,-0.023842460354885672,0.16840430842172008,-0.14157868393235581,0.8875372757985058,-0.3556624840832941,0.3079775633735227,num_women_fe,2723
treat_2005:treat_2015,-0.018707949430272767,0.16664033327552366,-0.11226543455923713,0.9107112928490386,-0.3470522766022638,0.30963637774171826,num_women_fe,2723
treat_2010:treat_2015,0.04463927928827232,0.12693048218937544,0.3516828938038084,0.7253994751851567,-0.20546165937930794,0.2947402179558526,num_women_fe,2723
treat_2005:treat_2010:treat_2015,0.08821609739924093,0.2100299617301482,0.4200167284350753,0.674867044392021,-0.3256221680117044,0.5020543628101862,num_women_fe,2723
(Intercept),0.44541484716157365,0.0398579875995433,11.175046056933322,2.0010675059101645e-23,0.366879573836338,0.5239501204868092,women_present_ols,2723
treat_2005,-0.06446246620919151,0.058564108591825155,-1.100716253678105,0.2721758318275131,-0.1798558553967698,0.050930922978386764,women_present_ols,2723
treat_2010,-0.0067356018785537045,0.04456445557429405,-0.15114291853795195,0.8799960346900082,-0.09454439278594026,0.08107318902883284,women_present_ols,2723
treat_2015,-0.028278432279948883,0.04054005517338552,-0.6975430141622903,0.4861706236890706,-0.10815763605837661,0.05160077149847884,women_present_ols,2723
treat_2005:treat_2010,0.07911655425950692,0.06890205461218925,1.1482466626693402,0.2520647908754133,-0.056646488922848764,0.2148795974418626,women_present_ols,2723
treat_2005:treat_2015,0.1023023546451052,0.06404821266830145,1.5972710304176276,0.11158424931849702,-0.02389678863415831,0.22850149792436872,women_present_ols,2723
treat_2010:treat_2015,0.02222330047210699,0.057311699681483697,0.3877620205929246,0.6985523376291654,-0.0907023706490992,0.13514897159331318,women_present_ols,2723
treat_2005:treat_2010:treat_2015,-0.10662753603636645,0.08485363040894874,-1.2566054689997261,0.21017682626114087,-0.27382120180191233,0.06056612972917942,women_present_ols,2723
treat_2005,-0.04360571822589803,0.055453222135950594,-0.7863513885449811,0.4324746087008674,-0.15286948740981407,0.065658050958018,women_present_fe,2723
treat_2010,0.01218958630591439,0.042462632496699584,0.2870661941852481,0.774321215087454,-0.07147782015580936,0.09585699276763815,women_present_fe,2723
treat_2015,-0.006501007654029864,0.03852713948632948,-0.16873839430349105,0.8661513622705466,-0.0824140080894315,0.06941199278137178,women_present_fe,2723
treat_2005:treat_2010,0.05626625078421541,0.06743047607356982,0.834433538965768,0.4049063350711364,-0.07659722747501427,0.18912972904344508,women_present_fe,2723
treat_2005:treat_2015,0.06609993014337795,0.06120904188520427,1.0799046694334211,0.2813206777402151,-0.054504975521387555,0.18670483580814345,women_present_fe,2723
treat_2010:treat_2015,-5.320326937010769e-4,0.05531780468491642,-0.009617747789007017,0.9923346391917174,-0.10952897840833342,0.10846491302093128,women_present_fe,2723
treat_2005:treat_2010:treat_2015,-0.06985008476547566,0.08312258727387913,-0.8403261623140755,0.4016020427880713,-0.23363294246122268,0.09393277293027136,women_present_fe,2723
(Intercept),0.0733968148248901,0.01399503894497391,5.244488072771628,3.56201059141261e-7,0.045821308008448705,0.1009723216413315,fem_vote_share_ols,2619
treat_2005,-0.010327340983776079,0.019921920887149683,-0.5183908239710743,0.6046861310260132,-0.049581041340036616,0.02892635937248446,fem_vote_share_ols,2619
treat_2010,0.006492645399800443,0.013826014481950215,0.46959631123463347,0.6390902905045655,-0.020749819454372674,0.033735110253973556,fem_vote_share_ols,2619
treat_2015,0.005529370445613822,0.014013100624167333,0.3945857946725749,0.6935158393473184,-0.022081724693209025,0.033140465584436674,fem_vote_share_ols,2619
treat_2005:treat_2010,0.03149638486277307,0.026270227215383038,1.1989384257906135,0.23179105046128365,-0.020265874070234127,0.08325864379578027,fem_vote_share_ols,2619
treat_2005:treat_2015,0.03521444969364753,0.022894771999079303,1.5381000385181234,0.1254047233703594,-0.009896888960270023,0.08032578834756508,fem_vote_share_ols,2619
treat_2010:treat_2015,0.0043315654837431045,0.019410707720711073,0.2231534030632669,0.8236150431533835,-0.033914852062429564,0.04257798302991577,fem_vote_share_ols,2619
treat_2005:treat_2010:treat_2015,-0.024789580249832452,0.03211810496784251,-0.7718257436001418,0.4410133851189938,-0.08807436466195419,0.038495204162289284,fem_vote_share_ols,2619
treat_2005,0.005301272011693407,0.018306911984413445,0.2895776205297171,0.7724014000028415,-0.030770251490246155,0.041372795513632966,fem_vote_share_fe,2619
treat_2010,0.021147452796544793,0.013176408921443889,1.6049481252914415,0.10988337705698889,-0.004815044018084302,0.04710994961117389,fem_vote_share_fe,2619
treat_2015,0.02070728210024575,0.013199505000183326,1.568792322133152,0.11807705124218436,-0.005300722703265447,0.046715286903756946,fem_vote_share_fe,2619
treat_2005:treat_2010,0.018786309522717773,0.02572271661125378,0.7303392486351421,0.4659293362222432,-0.03189714695353296,0.06946976599896851,fem_vote_share_fe,2619
treat_2005:treat_2015,0.01675005410237694,0.022080108668604357,0.7586037892192893,0.4488696604427641,-0.026756090431613956,0.06025619863636784,fem_vote_share_fe,2619
treat_2010:treat_2015,-0.011742127757163512,0.018270690302634108,-0.6426756495057352,0.5210775097958179,-0.04774228088016119,0.02425802536583417,fem_vote_share_fe,2619
treat_2005:treat_2010:treat_2015,-0.006133790304260923,0.03016903124957908,-0.20331412876727695,0.8390700563898974,-0.06557816413838836,0.05331058352986652,fem_vote_share_fe,2619
