"term","estimate","std.error","statistic","p.value","conf.low","conf.high","state","panel","distance","n"
"treat_2005",0.0135989566064367,0.021587811396377,0.629936789642277,0.529363969328603,-0.028937176565714,0.0561350897785874,"raj","05_10","mean",2684
"near_town",-0.0100044918214152,0.0166420115152741,-0.60115880897168,0.548328805667268,-0.0427955332599635,0.0227865496171331,"raj","05_10","mean",2684
"high_infra",-0.00106551504101505,0.0169250190380425,-0.0629550276203581,0.949857231279825,-0.0344141880734367,0.0322831579914066,"raj","05_10","mean",2684
"high_f_literacy",-0.00819591167566021,0.018981855306815,-0.431776111617374,0.666310385044662,-0.0455973281675926,0.0292055048162721,"raj","05_10","mean",2684
"treat_2005:near_town",-0.0229510351609067,0.0247485481351946,-0.927368952535372,0.354711373892652,-0.071715012201798,0.0258129418799846,"raj","05_10","mean",2684
"treat_2005:high_infra",-0.00740077653611117,0.0293042891694583,-0.252549259711253,0.800843083048557,-0.0651412822196324,0.05033972914741,"raj","05_10","mean",2684
"treat_2005:high_f_literacy",0.0348748330038589,0.0244961592650162,1.42368575524673,0.15589852713183,-0.0133918427406686,0.0831415087483864,"raj","05_10","mean",2684
"treat_2005",0.00379794611423878,0.0216663090863115,0.175292713637057,0.861004531424347,-0.0388928571229525,0.0464887493514301,"raj","05_10","minimum",2684
"near_town",-0.00478519377257964,0.0161485193025239,-0.29632399620885,0.767251222200649,-0.0366038693656267,0.0270334818204674,"raj","05_10","minimum",2684
"high_infra",-0.000827824690732494,0.0169083529028602,-0.0489595110469016,0.960994236603689,-0.03414365914899,0.032488009767525,"raj","05_10","minimum",2684
"high_f_literacy",-0.00859651207155336,0.0188945587689964,-0.454972893342137,0.649559767378369,-0.0458259214484549,0.0286328973053482,"raj","05_10","minimum",2684
"treat_2005:near_town",-0.000190318558110556,0.0235191501745883,-0.00809206781273026,0.993550579472623,-0.0465319177852557,0.0461512806690346,"raj","05_10","minimum",2684
"treat_2005:high_infra",-0.00853575700952273,0.0292868970585552,-0.291453102472981,0.770968634608255,-0.0662419936728113,0.0491704796537659,"raj","05_10","minimum",2684
"treat_2005:high_f_literacy",0.0318819270697095,0.0241904348097115,1.31795593260317,0.188835264916368,-0.0157823561531282,0.0795462102925471,"raj","05_10","minimum",2684
"treat_2010",-0.034675375419641,0.0216603534841958,-1.60086839972124,0.110784660914625,-0.0773544438737148,0.00800369303443287,"raj","10_15","mean",2343
"near_town",0.0208332501289376,0.0238903227176023,0.872037199965816,0.384101450395665,-0.0262396990451566,0.0679061993030319,"raj","10_15","mean",2343
"high_infra",-0.00633204250057097,0.0188149414013623,-0.336543301703426,0.736769400371186,-0.043404575624928,0.0307404906237861,"raj","10_15","mean",2343
"high_f_literacy",-0.0161521298716405,0.0232610112336626,-0.694386400891533,0.488143775787495,-0.0619850979936438,0.0296808382503628,"raj","10_15","mean",2343
"treat_2010:near_town",-0.00507809440436201,0.0247196084488445,-0.205427784783516,0.837420406794132,-0.0537850493446825,0.0436288605359584,"raj","10_15","mean",2343
"treat_2010:high_infra",0.0159328704609128,0.0244170267820415,0.652531145709817,0.514713073005965,-0.032177884436788,0.0640436253586136,"raj","10_15","mean",2343
"treat_2010:high_f_literacy",0.00523314434071535,0.0248171858221843,0.2108677582628,0.833177983392294,-0.0436660748394005,0.0541323635208312,"raj","10_15","mean",2343
"treat_2010",-0.0367127354321894,0.0223297721183478,-1.64411599176257,0.101524349741771,-0.0807108111560316,0.00728534029165272,"raj","10_15","minimum",2343
"near_town",0.00845609903395944,0.0219243608966676,0.385694209004046,0.700081203639583,-0.0347431636282785,0.0516553616961974,"raj","10_15","minimum",2343
"high_infra",-0.00678637056608054,0.0188389362087365,-0.360231092185205,0.719006350880149,-0.0439061825138054,0.0303334413816443,"raj","10_15","minimum",2343
"high_f_literacy",-0.0150794422064882,0.0232021961325201,-0.649914435700889,0.516398906382898,-0.0607965223892838,0.0306376379763074,"raj","10_15","minimum",2343
"treat_2010:near_town",-0.00094553556175444,0.0241620278550639,-0.039133121086783,0.968818348729364,-0.0485538463664661,0.0466627752429572,"raj","10_15","minimum",2343
"treat_2010:high_infra",0.0166779880836305,0.024364289967818,0.684525923212203,0.494335317274181,-0.0313288553933295,0.0646848315605904,"raj","10_15","minimum",2343
"treat_2010:high_f_literacy",0.0049480889686171,0.0247405824905666,0.199998887273724,0.841658941508665,-0.043800192747052,0.0536963706842862,"raj","10_15","minimum",2343
"treat_2015",-0.0413109555476567,0.0265699531187966,-1.55479971541356,0.121380740976032,-0.0936650074543483,0.0110430963590348,"raj","15_20","mean",2279
"near_town",-0.0432193857507874,0.0246012731512325,-1.75679467827144,0.0802951633913809,-0.0916943049864995,0.00525553348492475,"raj","15_20","mean",2279
"high_infra",0.00923394977923288,0.0269198714500488,0.343016117159658,0.731902386303051,-0.0438095893235998,0.0622774888820656,"raj","15_20","mean",2279
"high_f_literacy",-0.0644524502829594,0.027282230054645,-2.36243335511299,0.0189966538887786,-0.118209989185078,-0.0106949113808405,"raj","15_20","mean",2279
"treat_2015:near_town",0.0421205996631557,0.0288598877532423,1.45948591426603,0.14580780140505,-0.014745592561536,0.0989867918878475,"raj","15_20","mean",2279
"treat_2015:high_infra",-0.0475689899531125,0.0332056185323744,-1.43255846617446,0.153353680861614,-0.112998110902817,0.0178601309965923,"raj","15_20","mean",2279
"treat_2015:high_f_literacy",0.0533198075623346,0.0289711702336663,1.84044369393038,0.0670027468977706,-0.00376565824294557,0.110405273367615,"raj","15_20","mean",2279
"treat_2015",-0.0306020353297206,0.0265675257983817,-1.15185868499598,0.250585524122681,-0.0829513043879656,0.0217472337285244,"raj","15_20","minimum",2279
"near_town",-0.0374463667256678,0.0238323961998036,-1.57123800778271,0.117514058907774,-0.0844062729824338,0.00951353953109828,"raj","15_20","minimum",2279
"high_infra",0.00712866148193388,0.0268552602968855,0.265447491594808,0.790904606248752,-0.045787566306071,0.0600448892699388,"raj","15_20","minimum",2279
"high_f_literacy",-0.0667569192050194,0.0273314721601187,-2.44249262586116,0.015347050582343,-0.120611485893918,-0.0129023525161206,"raj","15_20","minimum",2279
"treat_2015:near_town",0.0159970110883535,0.0278656738663205,0.574075874321062,0.566482361667624,-0.0389101590330801,0.0709041812097872,"raj","15_20","minimum",2279
"treat_2015:high_infra",-0.0472162678449624,0.0330501263945525,-1.42862593871184,0.15448027093373,-0.112339003479713,0.0179064677897885,"raj","15_20","minimum",2279
"treat_2015:high_f_literacy",0.0575981676925721,0.0293604886595256,1.96175780180297,0.0510075256543768,-0.000254420169135419,0.11545075555428,"raj","15_20","minimum",2279
"treat_2005",-0.00507342057907518,0.0118076625051781,-0.429671882716016,0.667682439647564,-0.0282913504103309,0.0181445092521805,"up","05_10","mean",11971
"near_town",-0.0175327361086835,0.00964601993962886,-1.81761350468015,0.0699253816040331,-0.0365001324084152,0.00143466019104827,"up","05_10","mean",11971
"high_infra",-0.00844709379832746,0.0089582956433379,-0.942935367913359,0.346324291159876,-0.026062187349947,0.00916799975329211,"up","05_10","mean",11971
"high_f_literacy",-0.0133136906301467,0.00939756435248751,-1.41671715465536,0.157400266861037,-0.0317925377029759,0.00516515644268244,"up","05_10","mean",11971
"treat_2005:near_town",0.0156307598002438,0.0129136554741657,1.21040551465183,0.226889772867769,-0.00976193299841154,0.0410234525988992,"up","05_10","mean",11971
"treat_2005:high_infra",0.0203577057328768,0.013495365560353,1.50849605680072,0.132274145380566,-0.00617882937642298,0.0468942408421765,"up","05_10","mean",11971
