term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,n
(Intercept),0.1551542703203267,0.0031269144295802934,49.61896905543146,3.199341030407161e-247,0.14901641371830673,0.16129212692234665,1,37484
reservation_female_2010,0.01735246822414772,0.0038966558532377935,4.453169301499715,9.654632211529677e-6,0.009703677253617213,0.02500125919467823,1,37484
reservation_female_2010,0.01547150699905481,0.003929196579579217,3.937575197805877,8.942736650648741e-5,0.007758841459358034,0.023184172538751588,2,37484
(Intercept),0.1806006674082314,0.0033372251675487224,54.11701588625117,1.5659112611708254e-272,0.17405013393527127,0.18715120088119155,3,39222
reservation_female_2015,0.03788622576666559,0.00427508991018834,8.86208864903066,4.8373038074575335e-18,0.02949478732585679,0.04627766420747438,3,39222
reservation_female_2015,0.03724289453116313,0.0042729415896823626,8.715984936721696,1.587026027849755e-17,0.028855672960561924,0.045630116101764345,4,39222
(Intercept),0.17907011289364236,0.003901279218485614,45.90035802747624,4.487688079028326e-227,0.1714122466658418,0.18672797912144293,5,36925
reservation_female_2010,0.0035859951162239712,0.005452040803388726,0.6577344604602169,0.5108965708008074,-0.007115879013428285,0.014287869245876227,5,36925
reservation_female_2015,0.036382954617267205,0.005250253762694445,6.929751639013229,8.632985617315753e-12,0.026077170610264613,0.046688738624269796,5,36925
reservation_female_2010:reservation_female_2015,0.007440917721674904,0.009668883811387944,0.7695735998927863,0.4417783412673054,-0.011538246458349383,0.026420081901699193,5,36925
reservation_female_2010,0.0017680205174292645,0.00549219586509485,0.321915051985993,0.7476005204561877,-0.009012674448593154,0.012548715483451683,6,36925
reservation_female_2015,0.035552413163897796,0.005259829000870837,6.759233647712047,2.66067214826094e-11,0.025227833810818282,0.045876992516977314,6,36925
reservation_female_2010:reservation_female_2015,0.006156226871894619,0.00962443932098697,0.6396452475387738,0.5225850192987093,-0.01273569670242251,0.02504815044621175,6,36925
