key_2005,key_2010,match_key,history_links
बरेली भदपुरा चेना,बरेली भदपुरा चेना,bareilly_bhadpura_chena,2
बरेली भदपुरा चेना,बरेली भदपुरा चेना,bareilly_bhadpura_chena,2
बदायूं समरेर खुकड़ी,बदायूं समरेर खुकड़ी,budaun_samarer_khukri,2
बदायूं समरेर खुकड़ी,बदायूं समरेर खुकड़ी,budaun_samarer_khukri,2
आगरा फतेहपुर सीकरी भड़कौल,आगरा फतेहपुर सीकरी भड़कौल,agra_fatehpur seekri_bhadkaul,2
आगरा फतेहपुर सीकरी भड़कौल,आगरा फतेहपुर सीकरी भड़कौल,agra_fatehpur seekri_bhadkaul,2
मैनपुरी मैनपुरी औडेन्य मण्डल,मैनपुरी मैनपुरी औड़ेन्य मण्डल,mainpuri_mainpuri_audeya,3
मैनपुरी मैनपुरी औडेन्य मण्डल,मैनपुरी मैनपुरी औड़ेन्य मण्डल,mainpuri_mainpuri_audeya,3
मैनपुरी मैनपुरी औडेन्य मण्डल,मैनपुरी मैनपुरी औड़ेन्य मण्डल,mainpuri_mainpuri_audeya,3
जालौन कोचं पहाड़गांव,जालौन कोचं पहाड़पुरा,jalaun_kochan_pahadpura,2
जालौन कोचं पहाड़गांव,जालौन कोचं पहाड़पुरा,jalaun_kochan_pahadpura,2
जालौन माधौगढ गोहन,जालौन माधौगढ़ गोहन,jalaun_madhogarh_gohan,2
जालौन माधौगढ गोहन,जालौन माधौगढ़ गोहन,jalaun_madhogarh_gohan,2
फतेहपुर खजुहा केवाई,फतेहपुर खजुहा केवई,fatehpur_khajooha_kevai,2
फतेहपुर खजुहा केवाई,फतेहपुर खजुहा केवई,fatehpur_khajooha_kevai,2
कौशाम्बी सरसंवा अटौली,कौशाम्बी सरसंवा अढौली,kaushambi_sarsawa_adhauli,2
कौशाम्बी सरसंवा अटौली,कौशाम्बी सरसंवा अढौली,kaushambi_sarsawa_adhauli,2
रायबरेली महराजगंज बरहुआ,रायबरेली महराजगंज बरहुवां,rae bareli_maharajganj_NA,2
रायबरेली महराजगंज बरहुआ,रायबरेली महराजगंज बरहुवां,rae bareli_maharajganj_NA,2
हरदोई पिहानी हरिहरपुर,हरदोई पिहानी हरिहरपुर,hardoi_pihani_hariharpur,2
हरदोई पिहानी हरिहरपुर,हरदोई पिहानी हरिहरपुर,hardoi_pihani_hariharpur,2
सीतापुर सकरन रेवान,सीतापुर सकरन रेवान,sitapur_sakran_rewan,2
सीतापुर सकरन रेवान,सीतापुर सकरन रेवान,sitapur_sakran_rewan,2
सीतापुर रामपुरमथुरा केवड़ा,सीतापुर रामपुरमथुरा केवड़ा,sitapur_rampurmathura_kewra,2
सीतापुर रामपुरमथुरा केवड़ा,सीतापुर रामपुरमथुरा केवड़ा,sitapur_rampurmathura_kewra,2
लखीमपुर खीरी पलिया घुसकिया,लखीमपुर खीरी पलिया घुसकिया,lakhimpur khiri_palia_ghuskia,2
लखीमपुर खीरी पलिया घुसकिया,लखीमपुर खीरी पलिया घुसकिया,lakhimpur khiri_palia_ghuskia,2
गोंडा छपिया गड़हा,गोंडा छपिया गड़हा,gonda_chhapia_garah,2
गोंडा छपिया गड़हा,गोंडा छपिया गड़हा,gonda_chhapia_garah,2
चन्दौली शहाबगंज वराव,चन्दौली शाहाबगंज वराव,chandauli_shahababganj_waraw,2
चन्दौली शहाबगंज वराव,चन्दौली शाहाबगंज वराव,chandauli_shahababganj_waraw,2
जौनपुर मडियाहू राजापुर नं ०,जौनपुर मडियाहू राजापुर नं,jaunpur_madiyahu_rajapur no.,2
जौनपुर मडियाहू राजापुर नं ०,जौनपुर मडियाहू राजापुर नं,jaunpur_madiyahu_rajapur no.,2
सोनभद्र नगवाँ नगांव,सोनभद्र नगवाँ नगांव,sonbhadra_nagwan_nagaon,2
सोनभद्र नगवाँ नगांव,सोनभद्र नगवाँ नगांव,sonbhadra_nagwan_nagaon,2
सोनभद्र चोपन कुड़वा,सोनभद्र चोपन कुड़वा,sonbhadra_chopan_kudwa,2
सोनभद्र चोपन कुड़वा,सोनभद्र चोपन कुड़वा,sonbhadra_chopan_kudwa,2
