district,block,elex_gp,lgd_gp,lgd_gp_code,match_distance,tie_count,match_quality
Fatehpur,Haswa,Mala wan,Manawa,62384,0.18055555555555555,2,strict
Fatehpur,Malwan,Hasanapur,Hasnapur,62579,0.07870370370370378,2,strict
Allahabad,Meja,Badhwa,Baddiha,45149,0.1507936507936509,2,strict
Allahabad,Uruwa,Kanjauli,Kanjauli Uparhar,45585,0.1666666666666667,2,strict
Allahabad,Baharia,DALIPUR,Badalpur,44286,0.18650793650793648,2,strict
Allahabad,Saidabad,Rasulpur,Raghupur,45427,0.1666666666666667,2,strict
Allahabad,Karachna,Nariya,Naiwa,44753,0.17777777777777778,2,strict
Allahabad,Mau Aima,Gadinani,Gadhina,45107,0.130952380952381,2,strict
Allahabad,Dhanupur,Hasanpur,Hasanpur Utrawan,44455,0.1666666666666667,2,strict
Allahabad,Dhanupur,Parwan,Parawa,44489,0.17777777777777778,2,strict
Pratapgarh,Magraura,Sarauli,Saraulee,82942,0.130952380952381,2,strict
Pratapgarh,Patti,Dhui,Dhuie,83063,0.06666666666666678,2,strict
Pratapgarh,Kunda,Barai,Baraee,82716,0.17777777777777778,2,strict
Rae bareli,Khiro,Sebanpur,Satanpur,83833,0.1666666666666667,2,strict
Unnao,Auras,Kabaroi,Kabroee,92087,0.19047619047619044,2,strict
Unnao,Hilauli,Ahera,Ahesha,92467,0.17777777777777778,2,strict
Hardoi,Shahabaad,Butamau,Boota Mau,68333,0.1587301587301588,2,strict
Hardoi,Bharawan,Gorwa,Gherwa,272358,0.17777777777777778,2,strict
Lucknow,Gosaiganj,Bajupur,Bajoopur,75477,0.18650793650793648,2,strict
Lucknow,Mohanlalganj,Nandauli,Nandoli,75766,0.130952380952381,2,strict
Lucknow,Mohanlalganj,Natoli,Nandoli,75766,0.1507936507936509,2,strict
Sitapur,Biswan,Mahmudpur,Mahamdapur,89112,0.1662037037037037,2,strict
Sitapur,Machhrehta,Pahadpur,Paidapur,89535,0.130952380952381,2,strict
Sitapur,Mahmudabad,Banigwan,Bangawan,89559,0.130952380952381,2,strict
Sitapur,Maholi,Wadhaiyya,Barhaiya,89624,0.19444444444444453,2,strict
Lakhimpur Khiri,Behjam Devi,Hareya,Harriya,73134,0.1507936507936509,2,strict
Lakhimpur Khiri,Pasgawan,Ukarmuha,Ukermohan,73956,0.19444444444444453,2,strict
Lakhimpur Khiri,Nighasan,Khairhana,Kharahana,73778,0.1574074074074075,2,strict
Lakhimpur Khiri,Ramiyabehar,Kaphara,Kafara,74035,0.1507936507936509,2,strict
Bahraich,Jarwal,Gour,Gaur,48954,0.1666666666666667,2,strict
Bahraich,Kaiserganj,Godhiya No.,Godahiya No. 1,49024,0.14358974358974372,4,strict
Bahraich,Fakhrpur,Bedaura,Baturha,49266,0.19047619047619044,2,strict
Bahraich,Shivpur,Matra Kala,Matera Klan,49490,0.13097643097643102,2,strict
Balrampur,Tulsipur,Rajwapur,Ramwapur,51059,0.08333333333333338,2,strict
Balrampur,Tulsipur,Bhagwanpur,Bhagwaanpur,267363,0.03030303030303033,2,strict
Balrampur,Hariya Satgharwa,Shivpura,Sheopura,50773,0.1666666666666667,2,strict
Gonda,Haladharamuu,Mainzapur,Maijapur,65169,0.11574074074074082,2,strict
