district,block,elex_gp,lgd_gp,lgd_gp_code,match_distance,match_quality
Gorakhpur,Chargaawon,Jan 0 Tinkonia Nan-,Jangl Tinkonia No2,66347,0.14814814814814825,strict
Gorakhpur,Khorabaar,Jung 0 Gauri No-,Jungle Gauri No.1,66751,0.18386752136752144,strict
