gp_code,gp_name,block_code,block_name,zila_code,zila_name
37648,10 As,262741,Vijainagar,91,Ganganagar
37649,10 Dol,6902,Gharsana,91,Ganganagar
294057,10 G M,6898,Khajuwala,84,Bikaner
37650,10 Kd,6902,Gharsana,91,Ganganagar
37777,10 O,1259,Karanpur,91,Ganganagar
37651,10 Sarkari,262741,Vijainagar,91,Ganganagar
37848,10 Tk,1261,Raisinghnagar,91,Ganganagar
37733,10 Z,1258,Ganganagar,91,Ganganagar
37653,11 12 Nd (Nahranwali),1257,Anupgarh,91,Ganganagar
37812,11 Ee A,1260,Padampur,91,Ganganagar
37734,11 Lnp,1258,Ganganagar,91,Ganganagar
37652,11 P,1257,Anupgarh,91,Ganganagar
37746,11 Q Bakhtana,1258,Ganganagar,91,Ganganagar
294678,11 Stb,6842,Pilibanga,92,Hanumangarh
37849,11 Tk,1261,Raisinghnagar,91,Ganganagar
295075,12 A-B,1257,Anupgarh,91,Ganganagar
37654,12 Gb,262741,Vijainagar,91,Ganganagar
37655,12 H,1257,Anupgarh,91,Ganganagar
262431,12 Knd,6902,Gharsana,91,Ganganagar
294635,12 Lnp Singhawali,1258,Ganganagar,91,Ganganagar
37656,12 MLD -A,6902,Gharsana,91,Ganganagar
37869,12 Nrd,1261,Raisinghnagar,91,Ganganagar
37657,13 Dol,6902,Gharsana,91,Ganganagar
37804,13 Ff Manaksar,1259,Karanpur,91,Ganganagar
37735,13 G Chhoti,1258,Ganganagar,91,Ganganagar
37658,13 MD,6902,Gharsana,91,Ganganagar
37927,13 Sd,1263,Suratgarh,91,Ganganagar
37659,14 Apd,1257,Anupgarh,91,Ganganagar
35995,14 Bd,6898,Khajuwala,84,Bikaner
37778,14 Ff,1259,Karanpur,91,Ganganagar
37800,14 S Majhiwala,1259,Karanpur,91,Ganganagar
38135,15-16 Kwd,6845,Rawatsar,92,Hanumangarh
37660,15 Ab,1257,Anupgarh,91,Ganganagar
37661,15bld,262741,Vijainagar,91,Ganganagar
295073,15 LM,1257,Anupgarh,91,Ganganagar
37779,15 O,1259,Karanpur,91,Ganganagar
37903,15 Spm,1262,Sadulshahar,91,Ganganagar
37662,16 As - Kupli,262741,Vijainagar,91,Ganganagar
37813,16 Bb,1260,Padampur,91,Ganganagar
37850,16 Ps,1261,Raisinghnagar,91,Ganganagar
37663,17 Gb,262741,Vijainagar,91,Ganganagar
262190,17khm,6898,Khajuwala,84,Bikaner
37664,17 Knd A,6902,Gharsana,91,Ganganagar
35996,17 Kyd,6898,Khajuwala,84,Bikaner
37665,17 MD,6902,Gharsana,91,Ganganagar
262740,17 Stb Pali Wala,1263,Suratgarh,91,Ganganagar
37752,18 Gg,1258,Ganganagar,91,Ganganagar
37754,18 ML,1258,Ganganagar,91,Ganganagar
37666,18 P,1257,Anupgarh,91,Ganganagar
38014,18 Spd,6842,Pilibanga,92,Hanumangarh
37736,18 Z,1258,Ganganagar,91,Ganganagar
37814,19 Bb,1260,Padampur,91,Ganganagar
37667,19 Gd,6902,Gharsana,91,Ganganagar
262265,1dlsm,295168,Poogal,84,Bikaner
37731,1 Gb Jaitsar,262741,Vijainagar,91,Ganganagar
295163,1 Km,295168,Poogal,84,Bikaner
262893,1 LM,1263,Suratgarh,91,Ganganagar
37645,1 Lsm,1257,Anupgarh,91,Ganganagar
37646,1 Mlk C,6902,Gharsana,91,Ganganagar
262896,1 Msd Madhewali Dhani,262741,Vijainagar,91,Ganganagar
37815,1ps,1260,Padampur,91,Ganganagar
37647,1 Skm B,6902,Gharsana,91,Ganganagar
294727,1 Stb,1265,Hanumangarh,92,Hanumangarh
37816,20 Bb A,1260,Padampur,91,Ganganagar
262132,20bd,6898,Khajuwala,84,Bikaner
37676,20 LM,1257,Anupgarh,91,Ganganagar
37747,21gg,1258,Ganganagar,91,Ganganagar
37677,21 Sjm,1257,Anupgarh,91,Ganganagar
294701,22-23 Ndr,1265,Hanumangarh,92,Hanumangarh
37678,22 A,1257,Anupgarh,91,Ganganagar
38136,22 Ag,6845,Rawatsar,92,Hanumangarh
35999,22 Kyd,6898,Khajuwala,84,Bikaner
38137,22 Ntr,1266,Nohar,92,Hanumangarh
37852,22 Ps,1261,Raisinghnagar,91,Ganganagar
37853,22 Ptd,1261,Raisinghnagar,91,Ganganagar
37679,22 Rjd,6902,Gharsana,91,Ganganagar
37817,23 Bb,1260,Padampur,91,Ganganagar
37680,24 As C Gharsana,6902,Gharsana,91,Ganganagar
37681,24 Gb,262741,Vijainagar,91,Ganganagar
37794,25 F Gulabewala,1259,Karanpur,91,Ganganagar
37790,25 H Dalpatsinghpur,1259,Karanpur,91,Ganganagar
262133,25kyd,6898,Khajuwala,84,Bikaner
38138,25 Rwd,6845,Rawatsar,92,Hanumangarh
37682,27 A,1257,Anupgarh,91,Ganganagar
37738,27 Gg,1258,Ganganagar,91,Ganganagar
294679,27 Pbn,6842,Pilibanga,92,Hanumangarh
37683,28 Gb,262741,Vijainagar,91,Ganganagar
38139,29 Dwd,6845,Rawatsar,92,Hanumangarh
37684,29 Gb,262741,Vijainagar,91,Ganganagar
262153,2adm,295168,Poogal,84,Bikaner
295093,2 Ap,1263,Suratgarh,91,Ganganagar
37808,2 F C Mucan,1259,Karanpur,91,Ganganagar
37780,2 Ff A,1259,Karanpur,91,Ganganagar
37668,2 Gb-A,262741,Vijainagar,91,Ganganagar
37669,2 Gd-B,6902,Gharsana,91,Ganganagar
37670,2 Gm -B,6902,Gharsana,91,Ganganagar
35997,2 Kld,6898,Khajuwala,84,Bikaner
37671,2 Kld,6902,Gharsana,91,Ganganagar
37672,2 Km,6902,Gharsana,91,Ganganagar
294723,2 Knj,1265,Hanumangarh,92,Hanumangarh
38015,2 Ksp,6844,Tibbi,92,Hanumangarh
35998,2 Kwm,6898,Khajuwala,84,Bikaner
262757,2 Llg,1262,Sadulshahar,91,Ganganagar
37732,2mgm B Rojari,6902,Gharsana,91,Ganganagar
37673,2 MLD -A,6902,Gharsana,91,Ganganagar
37791,2 MM Dharangawali,1259,Karanpur,91,Ganganagar
294182,2 Pb,295168,Poogal,84,Bikaner
37674,2 Pgm-B,1257,Anupgarh,91,Ganganagar
37675,2 Rkm,6902,Gharsana,91,Ganganagar
295091,2 Sd,1263,Suratgarh,91,Ganganagar
262414,2 Str,6902,Gharsana,91,Ganganagar
37796,2 W Gurusar,1259,Karanpur,91,Ganganagar
37781,2 X,1259,Karanpur,91,Ganganagar
37689,30 Apd,1257,Anupgarh,91,Ganganagar
37868,30 Ps A,1261,Raisinghnagar,91,Ganganagar
38016,30 Ssw,1265,Hanumangarh,92,Hanumangarh
38017,31 Ssw,1265,Hanumangarh,92,Hanumangarh
