gp_code,gp_name,block_code,block_name,zila_code,zila_name
36001,34 Kyd,6898,Khajuwala,84,Bikaner
37821,34 Lnp,1260,Padampur,91,Ganganagar
262889,3 4 Rsm,6902,Gharsana,91,Ganganagar
37822,35 Bb,1260,Padampur,91,Ganganagar
37809,36 H Naggi,1259,Karanpur,91,Ganganagar
37823,37 Gg,1260,Padampur,91,Ganganagar
37824,39 Rb,1260,Padampur,91,Ganganagar
37739,3 C Chhoti,1258,Ganganagar,91,Ganganagar
37740,3 H Chhoti,1258,Ganganagar,91,Ganganagar
37685,3 Kd-A,6902,Gharsana,91,Ganganagar
37686,3 Ksd,262741,Vijainagar,91,Ganganagar
37854,3 Mk,1261,Raisinghnagar,91,Ganganagar
37687,3 Nd,1257,Anupgarh,91,Ganganagar
37782,3 O,1259,Karanpur,91,Ganganagar
36000,3 Pwm,6898,Khajuwala,84,Bikaner
37819,3 Rb A,1260,Padampur,91,Ganganagar
37688,3 Sad,262741,Vijainagar,91,Ganganagar
294631,3 Str,6902,Gharsana,91,Ganganagar
37741,3 Y,1258,Ganganagar,91,Ganganagar
262138,40kyd,6898,Khajuwala,84,Bikaner
37693,41 Gb,262741,Vijainagar,91,Ganganagar
37694,42 Gb,262741,Vijainagar,91,Ganganagar
37783,42 H,1259,Karanpur,91,Ganganagar
37799,43 Gg Kharlan,1259,Karanpur,91,Ganganagar
37855,43 Ps,1261,Raisinghnagar,91,Ganganagar
294665,45 Ndr,6842,Pilibanga,92,Hanumangarh
37805,46 F Moda,1259,Karanpur,91,Ganganagar
37695,48 Gb A,262741,Vijainagar,91,Ganganagar
37784,48 Gg Srinagar,1259,Karanpur,91,Ganganagar
294174,4 Awm,6898,Khajuwala,84,Bikaner
37825,4 Bb,1260,Padampur,91,Ganganagar
37690,4 Bld,262741,Vijainagar,91,Ganganagar
38140,4 Cym,6845,Rawatsar,92,Hanumangarh
38141,4 Dwm,6845,Rawatsar,92,Hanumangarh
37829,4jj,1260,Padampur,91,Ganganagar
37729,4 Jsd - Bugiya,262741,Vijainagar,91,Ganganagar
37691,4 Kpd,6902,Gharsana,91,Ganganagar
37727,4 Ksm,1257,Anupgarh,91,Ganganagar
38018,4 Ksp,6844,Tibbi,92,Hanumangarh
262726,4 Ksr Shyupura,1263,Suratgarh,91,Ganganagar
37749,4ll,1258,Ganganagar,91,Ganganagar
37692,4 LM,1257,Anupgarh,91,Ganganagar
294629,4 Msr,1257,Anupgarh,91,Ganganagar
37827,4 Nn Chanana,1260,Padampur,91,Ganganagar
294684,4 Nr Nihalpura,6842,Pilibanga,92,Hanumangarh
262888,4 Sps Salempura,1257,Anupgarh,91,Ganganagar
37743,4 Z,1258,Ganganagar,91,Ganganagar
37811,50 F Roopnagar,1259,Karanpur,91,Ganganagar
37699,50 Gb,262741,Vijainagar,91,Ganganagar
37795,52 Gg Gulabewala,1259,Karanpur,91,Ganganagar
37700,54 Gb,1257,Anupgarh,91,Ganganagar
37830,54 Lnp,1260,Padampur,91,Ganganagar
37785,56 F,1259,Karanpur,91,Ganganagar
37701,59 Gb,1257,Anupgarh,91,Ganganagar
37696,5 As,262741,Vijainagar,91,Ganganagar
37831,5 Bb A,1260,Padampur,91,Ganganagar
37772,5 G Chhoti,1258,Ganganagar,91,Ganganagar
37832,5kk,1260,Padampur,91,Ganganagar
262123,5kyd,6898,Khajuwala,84,Bikaner
37744,5 LL,1258,Ganganagar,91,Ganganagar
37697,5 MLD,6902,Gharsana,91,Ganganagar
37698,5 Psd,6902,Gharsana,91,Ganganagar
37856,5 Tk,1261,Raisinghnagar,91,Ganganagar
37786,61 F,1259,Karanpur,91,Ganganagar
37708,61 Gb,1257,Anupgarh,91,Ganganagar
37709,65 Gb,1257,Anupgarh,91,Ganganagar
37859,66 Rb,1261,Raisinghnagar,91,Ganganagar
294659,6-7 Dwd,6845,Rawatsar,92,Hanumangarh
294703,6-8 Llw,1265,Hanumangarh,92,Hanumangarh
37858,6 /8 Lpm,1261,Raisinghnagar,91,Ganganagar
37860,68 Np,1261,Raisinghnagar,91,Ganganagar
262182,6-8 Santosh Nagar,295166,Bajju Khalsa,84,Bikaner
37835,69 Lnp,1260,Padampur,91,Ganganagar
294628,6 A Choti,1258,Ganganagar,91,Ganganagar
37702,6 Apd,262741,Vijainagar,91,Ganganagar
294669,6 Bhm Dhorewala,6842,Pilibanga,92,Hanumangarh
37703,6 Blm,262741,Vijainagar,91,Ganganagar
37704,6 DD,6902,Gharsana,91,Ganganagar
295089,6 Dwm,1263,Suratgarh,91,Ganganagar
37810,6 F A Radewala,1259,Karanpur,91,Ganganagar
37857,6 Jkm,1261,Raisinghnagar,91,Ganganagar
37760,6lnp,1258,Ganganagar,91,Ganganagar
37705,6 P,1257,Anupgarh,91,Ganganagar
294690,6 Sgr Bhagsar,6842,Pilibanga,92,Hanumangarh
37706,6 Skm -A,6902,Gharsana,91,Ganganagar
37792,6 V Dhanoor,1259,Karanpur,91,Ganganagar
37707,6 Zwm,6902,Gharsana,91,Ganganagar
37862,71 Rb,1261,Raisinghnagar,91,Ganganagar
37715,72 Gb,1257,Anupgarh,91,Ganganagar
37716,74 Gb,1257,Anupgarh,91,Ganganagar
37863,75 Np,1261,Raisinghnagar,91,Ganganagar
37717,78 Gb,1257,Anupgarh,91,Ganganagar
37710,7 Apd,262741,Vijainagar,91,Ganganagar
37836,7 DD,1260,Padampur,91,Ganganagar
37711,7 Gb,262741,Vijainagar,91,Ganganagar
37712,7 Knd,6902,Gharsana,91,Ganganagar
37713,7 MLD,6902,Gharsana,91,Ganganagar
262118,7phm,6898,Khajuwala,84,Bikaner
37861,7 Ps,1261,Raisinghnagar,91,Ganganagar
262613,7 Sgm,1263,Suratgarh,91,Ganganagar
37798,7 S I Kikarwali,1259,Karanpur,91,Ganganagar
37714,7 Sjm,1257,Anupgarh,91,Ganganagar
294663,7 Stb,6842,Pilibanga,92,Hanumangarh
37839,83 Lnp,1260,Padampur,91,Ganganagar
37718,8 Bgd,262741,Vijainagar,91,Ganganagar
37895,8hh,1258,Ganganagar,91,Ganganagar
37719,8 K-B,1257,Anupgarh,91,Ganganagar
37720,8 Knd,6902,Gharsana,91,Ganganagar
36002,8 Kyd,6898,Khajuwala,84,Bikaner
37838,8 Nn A,1260,Padampur,91,Ganganagar
37721,8 Psd B,6902,Gharsana,91,Ganganagar
37928,8 Shpd,1263,Suratgarh,91,Ganganagar
37722,8 Stb,262741,Vijainagar,91,Ganganagar
37787,8 V,1259,Karanpur,91,Ganganagar
37726,90 Gb,1257,Anupgarh,91,Ganganagar
38142,99 Rd,6845,Rawatsar,92,Hanumangarh
37801,9 F A Manjhiwala,1259,Karanpur,91,Ganganagar
37789,9 Ff Badopal,1259,Karanpur,91,Ganganagar
37723,9 LM B,1257,Anupgarh,91,Ganganagar
37724,9 MD,6902,Gharsana,91,Ganganagar
37915,9 ML,1258,Ganganagar,91,Ganganagar
37725,9 Psd A,6902,Gharsana,91,Ganganagar
37745,9 Z,1258,Ganganagar,91,Ganganagar
42307,Aad,1377,Dhariawad,573,Pratapgarh
262299,Aagri,1361,Neem Ka Thana,105,Sikar
295199,Aakal,262545,Sedwa,81,Barmer
295460,Aakeli A,1329,Merta,101,Nagaur
40639,Aakla,262085,Khinvsar,101,Nagaur
35121,Aakli,1191,Sheo,81,Barmer
38338,Aakoda,1276,Sambhar,93,Jaipur
33588,Aakodiya,1149,Arain,77,Ajmer
38908,Aakoli,1285,Jalore,95,Jalore
246042,Aakoli,6907,Chitalwana,95,Jalore
34926,Aakora,1189,Chohtan,81,Barmer
38394,Aalisar,1271,Govindgarh,93,Jaipur
35074,Aalpura,262692,Gudhamalani,81,Barmer
35750,Aama,1207,Kotri,83,Bhilwara
35895,Aamli,1211,Sahara,83,Bhilwara
42586,Aamli,1383,Mavli,108,Udaipur
35961,Aamligarh(Pa),1213,Suwana,83,Bhilwara
35923,Aamli Kalan,1212,Shahpura,83,Bhilwara
42446,Aamliya,262252,Phalasiya,108,Udaipur
42635,Aamloda,262257,Jhallara,108,Udaipur
40836,Aana,1335,Desuri,102,Pali
42308,Aanjani,6846,Lasadiya,108,Udaipur
42448,Aanjroli Khas,262252,Phalasiya,108,Udaipur
39028,Aanwloj,1289,Sayla,95,Jalore
37542,Aara,1255,Sagwara,90,Dungarpur
42309,Aarniya,6846,Lasadiya,108,Udaipur
35825,Aaroli,262081,Bijoliya,83,Bhilwara
39029,Aasana,1289,Sayla,95,Jalore
35123,Aasari,262776,Gadra Road,81,Barmer
262356,Aasarlai,262719,Dechu,98,Jodhpur
38395,Aashti Kalan,1271,Govindgarh,93,Jaipur
294286,Aasootar,1281,Sam,94,Jaisalmer
35752,Aasop,1207,Kotri,83,Bhilwara
295518,Aasuon Ki Dhani,295254,Aadel,81,Barmer
39885,Aau,295387,Aau,98,Jodhpur
262179,Aava,6898,Khajuwala,84,Bikaner
34401,Abapura,1173,Banswara,79,Banswara
36955,Abasar,1241,Sujangarh,87,Churu
37034,Abhaneri,1243,Bandikui,88,Dausa
41814,Abhawas,1359,Khandela,105,Sikar
36569,Abhaypura,1230,Chittorgarh,86,Chittorgarh
262459,Abhe Ka Par,262681,Ramsar,81,Barmer
41778,Abhyapura,295269,Palsana,105,Sikar
39423,Abusar,1299,Jhunjhunu,97,Jhunjhunu
38995,Achalpur,1288,Sanchore,95,Jalore
36713,Achal Pur,1235,Pratapgarh,573,Pratapgarh
37214,Achalpura,295153,Sikandara,88,Dausa
295015,Achalpura,1229,Chhoti Sadri,573,Pratapgarh
295397,Acharaniyon Ki Dhani,262776,Gadra Road,81,Barmer
40638,Acheena,262085,Khinvsar,101,Nagaur
36394,Achlawada,1223,Arnod,573,Pratapgarh
36395,Achnara,1223,Arnod,573,Pratapgarh
41873,Achpura,1365,Pindwara,106,Sirohi
38216,Achrol,1267,Amber,93,Jaipur
40481,Adaksar,1326,Kuchaman City,101,Nagaur
41472,Adalwara Kalan,262680,Chauth Ka Barwara,104,Sawai Madhopur
36762,Adana,1236,Rashmi,86,Chittorgarh
41882,Adarsh,1365,Pindwara,106,Sirohi
295522,Adarsh Adel,295254,Aadel,81,Barmer
35166,Adarsh Chawa,295251,Barmer Rural,81,Barmer
295183,Adarsh Kekad,262545,Sedwa,81,Barmer
295344,Adarsh Undkha,1187,Barmer,81,Barmer
38744,Adbala,1281,Sam,94,Jaisalmer
35167,Adel,295254,Aadel,81,Barmer
42255,Adinda,295182,Vallabhnagar,108,Udaipur
42634,Adkaliya,1384,Salumbar,108,Udaipur
294184,Adol,1380,Jhadol,108,Udaipur
33928,Adoli,1159,Kathumar,78,Alwar
39532,Adooka,1302,Surajgarh,97,Jhunjhunu
34459,Adore,1174,Garhi,79,Banswara
262792,Adrash Dhoondha,295251,Barmer Rural,81,Barmer
36183,Adsar,1218,Sri Dungargarh,84,Bikaner
36907,Adsisar,1240,Sardarshahar,87,Churu
36003,Aduri,295168,Poogal,84,Bikaner
42681,Adwas,295185,Jaisamand,108,Udaipur
34230,Agar,1168,Thanagazi,78,Alwar
34845,Agar,1185,Shahbad,80,Baran
39066,Agariya,1290,Bakani,96,Jhalawar
41117,Agariya,1344,Amet,103,Rajsamand
294611,Agarpura,1174,Garhi,79,Banswara
294732,Agawali,295153,Sikandara,88,Dausa
41719,Agawari,1361,Neem Ka Thana,105,Sikar
40861,Agewa,1336,Jaitaran,102,Pali
42310,Aggad,6846,Lasadiya,108,Udaipur
35545,Aghapur,295303,Uchain,82,Bharatpur
39605,Agolai,1304,Balesar,98,Jodhpur
35693,Aguncha,1205,Hurda,83,Bhilwara
40379,Agunta,1324,Didwana,101,Nagaur
39533,Agwana Khurd,1302,Surajgarh,97,Jhunjhunu
38832,Agwari,1283,Ahore,95,Jalore
41399,Ahamadpur,1353,Gangapur City,104,Sawai Madhopur
41118,Aidana,1344,Amet,103,Rajsamand
38834,Aipura,1283,Ahore,95,Jalore
34231,Ajabgarh,1168,Thanagazi,78,Alwar
34232,Ajabpura,1168,Thanagazi,78,Alwar
294830,Ajabpura,295269,Palsana,105,Sikar
38612,Ajairajpura,1277,Sanganer,93,Jaipur
35377,Ajan,1197,Kumher,82,Bharatpur
36254,Ajanda,1220,Keshoraipatan,85,Bundi
41874,Ajari,1365,Pindwara,106,Sirohi
39424,Ajari Kalan,1299,Jhunjhunu,97,Jhunjhunu
34064,Ajarka,1163,Mandawar,78,Alwar
38704,Ajasar,295288,Nachana,94,Jaisalmer
294893,Ajasar,295378,Ghantiyali,98,Jodhpur
35378,Ajau,1197,Kumher,82,Bharatpur
38310,Ajayrajpura Dehlala,295415,Kotkhawada,93,Jaipur
33826,Ajaysar,295190,Ajmer Rural,77,Ajmer
35212,Ajeet,262774,Samdari,81,Barmer
39435,Ajeetgarh,295393,Mandawa,97,Jhunjhunu
41137,Ajeetgarh,1345,Bhim,103,Rajsamand
36095,Ajeetmana,1216,Lunkaransar,84,Bikaner
262373,Ajeetpur,1248,Bari,89,Dholpur
38835,Ajeetpura,1283,Ahore,95,Jalore
37966,Ajeet Pura,1264,Bhadra,92,Hanumangarh
36908,Ajeetsar,1240,Sardarshahar,87,Churu
36333,Ajeta,257862,Bundi,85,Bundi
33587,Ajgara,1152,Kekri,77,Ajmer
294762,Ajmeripura,295415,Kotkhawada,93,Jaipur
34783,Ajnawar,1183,Chhipabarod,80,Baran
41473,Ajnoti,1355,Sawai Madhopur,104,Sawai Madhopur
38966,Ajodar,1287,Raniwara,95,Jalore
36634,Ajolion Ka Khera,1232,Gangrar,86,Chittorgarh
294153,Ajroda,1185,Shahbad,80,Baran
34872,Akarli Bakshiram,1186,Balotra,81,Barmer
35624,Akarsada,295444,Badnor,83,Bhilwara
36058,Akasar,1215,Kolayat,84,Bikaner
294137,Akata,1196,Kaman,82,Bharatpur
39196,Akawad Khurd,1293,Khanpur,96,Jhalawar
34298,Akbarpur,1170,Umren,78,Alwar
262110,Akbarpur,295250,Shri Mahaveer Ji,99,Karauli
34976,Akdara,1188,Baytoo,81,Barmer
294907,Akhadhana,1305,Bap,98,Jodhpur
35413,Akhegarh,1198,Nadbai,82,Bharatpur
295144,Akhepur,1235,Pratapgarh,573,Pratapgarh
38217,Akhepura,1267,Amber,93,Jaipur
38339,Akhepura,295299,Mauzamabad,93,Jaipur
38965,Akhrad,1287,Raniwara,95,Jalore
34104,Akleempura,1164,Neemrana,78,Alwar
36213,Akoda,1219,Hindoli,85,Bundi
40380,Akoda,262369,Molasar,101,Nagaur
38303,Akodiya,295415,Kotkhawada,93,Jaipur
39197,Akodiya,1293,Khanpur,96,Jhalawar
35751,Akola,1207,Kotri,83,Bhilwara
42256,Akola,1376,Bhinder,108,Udaipur
36478,Akola Kalan,1226,Bhadesar,86,Chittorgarh
295174,Akoli,1161,Kotkasim,78,Alwar
40436,Akora,1325,Jayal,101,Nagaur
41437,Akshaygarh,1354,Khandar,104,Sawai Madhopur
36334,Aktasa,1222,Talera,85,Bundi
295009,Akthali,1309,Mandor,98,Jodhpur
36479,Akya,1226,Bhadesar,86,Chittorgarh
40381,Alakh Pura,262369,Molasar,101,Nagaur
41682,Alakhpura Bogan,1360,Lachhmangarh,105,Sikar
33863,Alampur,1157,Bansur,78,Alwar
35022,Alamsar,262617,Dhanau,81,Barmer
295498,Alamsar Khurd,1190,Dhorimanna,81,Barmer
40245,Alaniya,1320,Ladpura,100,Kota
39030,Alasan,1289,Sayla,95,Jalore
39148,Alawa,262161,Bhawani Mandi,96,Jhalawar
34167,Alawara,1166,Ramgarh,78,Alwar
40677,Alay,1331,Nagaur,101,Nagaur
37967,Alayala,1264,Bhadra,92,Hanumangarh
37006,Alayla,1242,Taranagar,87,Churu
34137,Alei,1165,Rajgarh,78,Alwar
37255,Aligarh,1248,Bari,89,Dholpur
42197,Aligarh,1374,Uniara,107,Tonk
35578,Alipur,295301,Bhusawar,82,Bharatpur
39394,Alipur,1298,Chirawa,97,Jhunjhunu
294536,Alipur,295151,Baijupada,88,Dausa
37896,Alipura,1262,Sadulshahar,91,Ganganagar
39956,Alipura,295250,Shri Mahaveer Ji,99,Karauli
293962,Alipura,1155,Pisangan,77,Ajmer
41438,Allapur,1354,Khandar,104,Sawai Madhopur
35783,Almas,1208,Mandal,83,Bhilwara
35451,Almshah,1199,Nagar Pahari,82,Bharatpur
40759,Alniyawas,295486,Bherunda,101,Nagaur
36214,Alod,1219,Hindoli,85,Bundi
36608,Alod,1231,Dungla,86,Chittorgarh
40210,Alod,1319,Khairabad,100,Kota
41519,Aloda,295269,Palsana,105,Sikar
33687,Aloli,295478,Sawar,77,Ajmer
37076,Alooda,295150,Nangal Rajawatan,88,Dausa
295187,Aloo Ka Tala,262545,Sedwa,81,Barmer
41944,Alpa,1367,Sheoganj,106,Sirohi
36335,Alpha Nagar,1222,Talera,85,Bundi
262166,Alri,1287,Raniwara,95,Jalore
36875,Alsar,1239,Ratangarh,87,Churu
42356,Alsigarh,1378,Girwa,108,Udaipur
39318,Alsisar,1296,Alsisar,97,Jhunjhunu
40568,Altawa,1328,Makrana,101,Nagaur
294320,Alwada,1289,Sayla,95,Jalore
42116,Alyari,1372,Todaraisingh,107,Tonk
37587,Amabada,262113,Chikhali,90,Dungarpur
37457,Amajara,1253,Bichiwara,90,Dungarpur
35713,Amalda,1206,Jahazpur,83,Bhilwara
42198,Amali,1374,Uniara,107,Tonk
295040,Amali,295478,Sawar,77,Ajmer
262786,Amaliyala,295259,Panyla Kla,81,Barmer
34658,Amalsara,1179,Anta,80,Baran
42633,Amalva,262257,Jhallara,108,Udaipur
37408,Amaratiya,1252,Aspur,90,Dungarpur
35714,Amargarh,1206,Jahazpur,83,Bhilwara
35784,Amargarh,1208,Mandal,83,Bhilwara
40081,Amargarh,1316,Sapotra,99,Karauli
41400,Amargarh,1353,Gangapur City,104,Sawai Madhopur
294737,Amariya Para,262567,Gangar Talai,79,Banswara
33718,Amarpura,1153,Kishangarh (Silora),77,Ajmer
36004,Amarpura,295168,Poogal,84,Bikaner
36570,Amarpura,1230,Chittorgarh,86,Chittorgarh
38396,Amarpura,1271,Govindgarh,93,Jaipur
40303,Amarpura,1322,Sultanpur,100,Kota
40678,Amarpura,1331,Nagaur,101,Nagaur
40963,Amarpura,1339,Raipur,102,Pali
42682,Amarpura,295185,Jaisamand,108,Udaipur
262788,Amarpura,1378,Girwa,108,Udaipur
295118,Amarpura,1336,Jaitaran,102,Pali
42258,Amarpura Jageer,1376,Bhinder,108,Udaipur
38019,Amar Pura Jalu,6843,Sangaria,92,Hanumangarh
42257,Amarpura Khalsa,1376,Bhinder,108,Udaipur
38021,Amarpura Rathan,6842,Pilibanga,92,Hanumangarh
38020,Amar Pura Theri,1265,Hanumangarh,92,Hanumangarh
38705,Amar Sagar,1280,Jaisalmer,94,Jaisalmer
36956,Amarsar,262145,Bidasar,87,Churu
38637,Amarsar,1278,Shahpura,93,Jaipur
34510,Amar Singh Ka Gada,301217,Ganoda,79,Banswara
294675,Amarsingh Wala,6842,Pilibanga,92,Hanumangarh
34511,Amarthun,1175,Ghatol,79,Banswara
40082,Amarwar,1316,Sapotra,99,Karauli
35715,Amarwasi,1206,Jahazpur,83,Bhilwara
41322,Amawara,1351,Bamanwas,104,Sawai Madhopur
37541,Ambada,262105,Galiyakoat,90,Dungarpur
42444,Ambasa,262252,Phalasiya,108,Udaipur
36005,Ambasar,1214,Bikaner,84,Bikaner
294992,Ambav,1377,Dhariawad,573,Pratapgarh
262400,Ambava,1379,Gogunda,108,Udaipur
262390,Ambavi,262252,Phalasiya,108,Udaipur
36545,Ambawali,1229,Chhoti Sadri,573,Pratapgarh
36396,Ambee Rama,295390,Dalot,573,Pratapgarh
42230,Amberi,1375,Bargaon,108,Udaipur
295526,Ambon Ka Bara,262774,Samdari,81,Barmer
35785,Amdala,295453,Kareda,83,Bhilwara
36424,Ameerama,1224,Bari Sadri,86,Chittorgarh
35625,Ameshar,1203,Asind,83,Bhilwara
39234,Ametha,262180,Aklera,96,Jhalawar
262797,Ami Mohmmad Shahki Basti,262617,Dhanau,81,Barmer
42445,Amiwara,262252,Phalasiya,108,Udaipur
34460,Amja,1174,Garhi,79,Banswara
39886,Amla,262762,Lohawat,98,Jodhpur
41968,Amlari,1368,Sirohi,106,Sirohi
36714,Amlawad,1235,Pratapgarh,573,Pratapgarh
34784,Amlawadaali,1183,Chhipabarod,80,Baran
36336,Amli,257862,Bundi,85,Bundi
41875,Amli,1365,Pindwara,106,Sirohi
295141,Amlikhera,1235,Pratapgarh,573,Pratapgarh
295226,Amli Para,1176,Kushalgarh,79,Banswara
40797,Amliya,1334,Bali,102,Pali
34334,Amliya Ambadara,1171,Anandpuri,79,Banswara
38667,Amloda,1279,Viratnagar,93,Jaipur
42447,Amod,262252,Phalasiya,108,Udaipur
35579,Amoli,1202,Weir,82,Bharatpur
37128,Amrabad,295066,Ramgarh Pachwara,88,Dausa
39067,Amrit Kheri,262180,Aklera,96,Jhalawar
40267,Amritkuan,1321,Sangod,100,Kota
41849,Amthala,1364,Abu Road,106,Sirohi
41907,Anadra,1366,Reodar,106,Sirohi
