zp_name,total_gps,in_shrug,coverage_pct
Kheri,1164,0,0
Kushi Nagar,980,0,0
Lalitpur,415,0,0
Lucknow,491,0,0
Maharajganj,882,0,0
Mahoba,273,0,0
Mainpuri,549,0,0
Mathura,495,0,0
Mau,645,0,0
Meerut,479,0,0
Mirzapur,809,0,0
Moradabad,643,0,0
Muzaffarnagar,487,0,0
Pilibhit,720,0,0
Pratapgarh,1148,0,0
Prayagraj,1540,0,0
Rae Bareli,980,0,0
Rampur,680,0,0
Saharanpur,884,0,0
Sambhal,670,0,0
Sant Kabeer Nagar,730,0,0
Shahjahanpur,1068,0,0
Shamli,230,0,0
Shravasti,397,0,0
Siddharth Nagar,1136,0,0
Sitapur,1588,0,0
Sonbhadra,621,0,0
Sultanpur,979,0,0
Unnao,1037,0,0
Varanasi,694,0,0
Kaushambi,451,80,17.7
Ghazipur,1238,1225,98.9
Bahraich,1043,1033,99
Kannauj,499,494,99
Agra,690,687,99.6
Baghpat,244,243,99.6
Jhansi,496,494,99.6
Aligarh,852,850,99.8
Basti,1187,1185,99.8
Bulandshahr,946,944,99.8
Etawah,469,468,99.8
Fatehpur,816,814,99.8
Gonda,1192,1190,99.8
Hardoi,1293,1290,99.8
Sant Ravidas Nagar,546,545,99.8
Azamgarh,1811,1809,99.9
Ballia,940,939,99.9
Barabanki,1155,1154,99.9
Bareilly,1188,1187,99.9
Bijnor,1123,1122,99.9
Chandauli,734,733,99.9
Ambedkar Nagar,899,899,100
Amethi,682,682,100
Amroha,576,576,100
Auraiya,477,477,100
Ayodhya,772,772,100
Balrampur,793,793,100
Banda,469,469,100
Budaun,1037,1037,100
Chitrakoot,328,328,100
Deoria,1121,1121,100
Etah,569,569,100
Farrukhabad,580,580,100
Firozabad,564,564,100
Gautam Buddha Nagar,82,82,100
Ghaziabad,142,142,100
Gorakhpur,1273,1273,100
Hamirpur,330,330,100
Hapur,273,273,100
Hathras,462,462,100
Jalaun,574,574,100
Jaunpur,1734,1734,100
Kanpur Dehat,618,618,100
Kanpur Nagar,590,590,100
Kasganj,423,423,100
