elex_district,elex_samiti,lgd_district,lgd_block,lgd_block_code,distance
ajmer,MASUDA,Ajmer,Masooda,1154,0.1507936507936509
alwar,RAINI,Alwar,Reni,1167,0.32777777777777783
bharatpur,NAGAR,Bharatpur,Nagar Pahari,1199,0.18181818181818185
bikaner,DUNGARGARH,Bikaner,Sri Dungargarh,1218,0.22692307692307706
dholpur,DHOLPUR,Dholpur,Dhaulpur,1250,0.2142857142857143
jhalawar,PIRAWA,Jhalawar,Pirawa (Sunel),1295,0.15151515151515157
karauli,NADOTI,Karauli,Nadauti,1315,0.1507936507936509
pali,MARWAR JUN,Pali,Kharchi(Mar.Jun),1337,0.22792022792022804
