district,samiti,elex_gp,lgd_gp,lgd_gp_code,match_distance,match_quality,sl_no_2010
ajmer,ARAI,arai,Arain,33589,0.06666666666666678,strict,3
ajmer,ARAI,lallai,Arain,33589,0.3,loose,22
ajmer,ARAI,kaseer,Kasheer,33604,0.04761904761904765,strict,19
ajmer,ARAI,kheeriya,Kasheer,33604,0.22023809523809523,loose,21
ajmer,ARAI,manoharpura,Manoharpura,33610,0,exact,24
ajmer,ARAI,harpura,Manoharpura,33610,0.28787878787878796,loose,15
ajmer,ARAI,sandoliya,Sandoliya,33612,0,exact,26
ajmer,ARAI,sanpla,Sandoliya,33612,0.20370370370370378,loose,27
ajmer,ARAI,hingoniya,Sandoliya,33612,0.29629629629629634,loose,16
ajmer,ARAI,sironj,Siroonj,33614,0.04761904761904765,strict,28
ajmer,ARAI,soonpa,Siroonj,33614,0.253968253968254,loose,29
ajmer,BHINAY,badgaon,Bargaon (Surkhand),33618,0.255952380952381,loose,32
ajmer,BHINAY,bhagwantpura,Bargaon (Surkhand),33618,0.27777777777777785,loose,35
ajmer,BHINAY,barol,Barli,33619,0.13333333333333336,strict,34
ajmer,BHINAY,badali,Barli,33619,0.17777777777777778,strict,31
ajmer,BHINAY,dabrela,Barli,33619,0.29285714285714287,loose,40
ajmer,BHINAY,bhinay,Bhinay,33622,0,exact,36
ajmer,BHINAY,kebaniya,Bhinay,33622,0.24722222222222212,loose,49
ajmer,BHINAY,dhantol,Dhantol,33628,0,exact,42
ajmer,BHINAY,tantoti,Dhantol,33628,0.28571428571428575,loose,65
ajmer,BHINAY,karanti,Karanti,33634,0,exact,48
ajmer,BHINAY,sarana,Karanti,33634,0.253968253968254,loose,59
ajmer,BHINAY,nagola,Nagola,33639,0,exact,53
ajmer,BHINAY,goyala,Nagola,33639,0.21111111111111114,loose,44
ajmer,BHINAY,satolav,Nagola,33639,0.253968253968254,loose,60
ajmer,BHINAY,padliya,Padaliya,33641,0.13690476190476192,strict,56
ajmer,BHINAY,shokaliya,Padaliya,33641,0.27314814814814825,loose,62
ajmer,JAWAJA,dewata,Dewata,33662,0,exact,76
ajmer,JAWAJA,delwara,Dewata,33662,0.1507936507936509,strict,75
ajmer,JAWAJA,naikalan,Nai Kalan,33673,0.037037037037037104,strict,87
ajmer,JAWAJA,khedakalan,Nai Kalan,33673,0.3,loose,68
ajmer,JAWAJA,nundri maldev,Noondri Maldeo,33675,0.12271062271062277,strict,89
ajmer,JAWAJA,nundrimedratan,Noondri Maldeo,33675,0.27513227513227506,loose,90
ajmer,KEKRI,bharai,Bharai,33690,0,exact,104
ajmer,KEKRI,para,Bharai,33690,0.25000000000000006,loose,124
ajmer,KEKRI,bajta,Bharai,33690,0.3,loose,103
ajmer,KEKRI,devgaon,Deogaon,33694,0.09523809523809525,strict,107
ajmer,KEKRI,gulgaon,Deogaon,33694,0.28571428571428575,loose,111
ajmer,KEKRI,kalera krishna gopal,Kalera Krishna Gopal,33702,0,exact,115
ajmer,KEKRI,kalera kanwarji,Kalera Krishna Gopal,33702,0.22521367521367536,loose,114
ajmer,KEKRI,khawas,Khawas,33704,0,exact,117
ajmer,KEKRI,chitiwas,Khawas,33704,0.27777777777777785,loose,106
ajmer,KEKRI,mewdakalan,Meoda Kalan,33708,0.09393939393939396,strict,121
ajmer,KEKRI,mehroonkalan,Meoda Kalan,33708,0.2436868686868687,loose,120
ajmer,KEKRI,salari,Salari,33714,0,exact,128
ajmer,KEKRI,sawar,Salari,33714,0.17777777777777778,strict,130
ajmer,KEKRI,sadara,Salari,33714,0.22222222222222238,loose,127
ajmer,MASUDA,badi,Bari,33751,0.1666666666666667,strict,164
ajmer,MASUDA,baral -ii,Bari,33751,0.1666666666666667,strict,165
ajmer,PEESANGAN,bhagwanpura,Bhagwanpura,33782,0,exact,195
ajmer,PEESANGAN,bhawanikhera,Bhagwanpura,33782,0.20202020202020204,loose,199
ajmer,PEESANGAN,ganahera,Bhagwanpura,33782,0.23430735930735944,loose,208
ajmer,PEESANGAN,bhatsuri,Bhatsoori,33785,0.11574074074074082,strict,198
ajmer,PEESANGAN,baghsuri,Bhatsoori,33785,0.25000000000000006,loose,194
ajmer,PEESANGAN,bhatiyani,Bhatsoori,33785,0.29629629629629634,loose,197
ajmer,PEESANGAN,dantada,Dantra,33790,0.1507936507936509,strict,203
ajmer,PEESANGAN,dumara,Dantra,33790,0.22222222222222238,loose,207
ajmer,PEESANGAN,bhanwta,Dantra,33790,0.253968253968254,loose,196
ajmer,PEESANGAN,nyara,Dantra,33790,0.2611111111111111,loose,227
ajmer,PEESANGAN,nagelav,Nagelao,33812,0.09523809523809525,strict,224
ajmer,PEESANGAN,nandla,Nagelao,33812,0.253968253968254,loose,226
ajmer,SRINAGAR,narwar,Nyara,33815,0.17777777777777778,strict,256
ajmer,SRINAGAR,untada,Nyara,33815,0.3,loose,266
ajmer,PEESANGAN,pagara,Pagara,33816,0,exact,228
ajmer,PEESANGAN,rajgarh,Pagara,33816,0.253968253968254,loose,231
ajmer,PEESANGAN,devnagar,Pagara,33816,0.27777777777777785,loose,205
ajmer,SRINAGAR,kanpura,Kanpura,33843,0,exact,251
ajmer,SRINAGAR,kayampura,Kanpura,33843,0.26984126984126994,loose,252
ajmer,SRINAGAR,pharkiya,Pharkiya,33853,0,exact,258
ajmer,SRINAGAR,palra,Pharkiya,33853,0.23333333333333345,loose,257
ajmer,SRINAGAR,tilana,Tilana,33862,0,exact,265
ajmer,SRINAGAR,danta,Tilana,33862,0.3,loose,244
alwar,BANSUR,shyampura,Shyampura,33898,0,exact,302
alwar,BANSUR,gyanpura,Shyampura,33898,0.19444444444444453,strict,284
alwar,BEHROR,budhwal,Boorhwal,33903,0.22023809523809523,loose,307
alwar,BEHROR,riwali,Boorhwal,33903,0.27777777777777785,loose,329
alwar,BEHROR,gandala,Gandala,33906,0,exact,310
alwar,BEHROR,manchal,Gandala,33906,0.28571428571428575,loose,324
alwar,BEHROR,karoda,Karoda,33915,0,exact,319
alwar,BEHROR,barod,Karoda,33915,0.17777777777777778,strict,304
alwar,BEHROR,kakardopa,Karoda,33915,0.19444444444444453,strict,318
alwar,BEHROR,mohammedpur,Mohammadpur,33921,0.06060606060606061,strict,325
alwar,BEHROR,hamidpur,Mohammadpur,33921,0.23430735930735944,loose,313
alwar,KATHUMAR,sahari,Sahari,33958,0,exact,362
alwar,KATHUMAR,kathumar,Sahari,33958,0.27777777777777785,loose,348
alwar,KATHUMAR,sonkh,Sonkh,33961,0,exact,365
alwar,KATHUMAR,sonkher,Sonkh,33961,0.09523809523809525,strict,366
alwar,KISHANGARH BAS,bagherikalan,Bagheri Kalan,33969,0.025641025641025605,strict,373
alwar,KISHANGARH BAS,raibka,Bagheri Kalan,33969,0.26282051282051283,loose,398
alwar,KISHANGARH BAS,karuli,Karoli,33981,0.11111111111111106,strict,385
alwar,KISHANGARH BAS,sirmoli,Karoli,33981,0.253968253968254,loose,400
alwar,KISHANGARH BAS,khanpurmewan,Khanpur Mewan,33982,0.025641025641025605,strict,386
alwar,KISHANGARH BAS,patanmewan,Khanpur Mewan,33982,0.2573717948717948,loose,397
alwar,KISHANGARH BAS,langadbas,Langarwas,33986,0.14814814814814825,strict,390
alwar,KISHANGARH BAS,kishangarhbas,Langarwas,33986,0.22792022792022804,loose,387
alwar,KISHANGARH BAS,mehermpur,Mahrampur,33989,0.14814814814814825,strict,394
alwar,KISHANGARH BAS,bahaderpur,Mahrampur,33989,0.2216931216931217,loose,375
alwar,LAXMANGARH,badka,Badka,34022,0,exact,426
alwar,LAXMANGARH,badodamew,Badka,34022,0.2518518518518519,loose,427
alwar,LAXMANGARH,bhesadawat,Badka,34022,0.26666666666666666,loose,429
alwar,LAXMANGARH,harsana,Harsana,34039,0,exact,442
alwar,LAXMANGARH,nayana,Harsana,34039,0.253968253968254,loose,459
alwar,LAXMANGARH,hasanpur,Hasanpur,34040,0,exact,443
alwar,LAXMANGARH,indpur,Hasanpur,34040,0.27777777777777785,loose,444
alwar,LAXMANGARH,javali,Jawli,34042,0.17777777777777778,strict,446
alwar,LAXMANGARH,divali,Jawli,34042,0.3,loose,436
alwar,LAXMANGARH,khedamangalsingh,Khera Mangal Singh,34045,0.0763888888888889,strict,448
alwar,LAXMANGARH,rambas,Khera Mangal Singh,34045,0.29629629629629634,loose,462
alwar,LAXMANGARH,khudiyana,Khudiyana,34047,0,exact,451
alwar,LAXMANGARH,butiyana,Khudiyana,34047,0.19444444444444453,strict,431
alwar,LAXMANGARH,todanagar,Todanagar,34063,0,exact,468
alwar,LAXMANGARH,laxmangarh,Todanagar,34063,0.3,loose,452
alwar,LAXMANGARH,nijamnagar,Todanagar,34063,0.3,loose,460
alwar,MANDAWAR,behroj,Behroj,34069,0,exact,473
alwar,MANDAWAR,jatbehrod,Behroj,34069,0.20370370370370378,loose,484
alwar,MANDAWAR,mundanbadakalan,Mundanwara Kalan,34087,0.10694444444444448,strict,492
alwar,MANDAWAR,mundawar,Mundanwara Kalan,34087,0.1666666666666667,strict,493
alwar,NEEMRANA,aklimpur,Akleempura,34104,0.14166666666666666,strict,509
alwar,NEEMRANA,neemrana,Akleempura,34104,0.2916666666666667,loose,532
alwar,NEEMRANA,phlodpur,Fauladpur,34110,0.27314814814814825,loose,534
alwar,NEEMRANA,daulatsinghpura,Fauladpur,34110,0.29675925925925933,loose,512
alwar,NEEMRANA,partapur,Partapur,34129,0,exact,533
alwar,NEEMRANA,pratapsinghpura,Partapur,34129,0.1972222222222223,strict,535
alwar,NEEMRANA,silarpur,Partapur,34129,0.25000000000000006,loose,540
alwar,RAMGARH,chouma,Chauma,34174,0.11111111111111106,strict,607
alwar,RAMGARH,chidawa,Chauma,34174,0.253968253968254,loose,605
alwar,RAMGARH,hajipur,Hajipur,34181,0,exact,613
alwar,RAMGARH,bhajit,Hajipur,34181,0.253968253968254,loose,602
alwar,RAMGARH,rasgan,Rasgan,34200,0,exact,631
