district,block,elex_gp,lgd_gp,lgd_gp_code,match_distance,match_quality
Jaunpur,Srikoni,Sultanpur,Sultanpur,271754,0,exact
Jaunpur,Srikoni,Sultanpur,Sultan-Pur,70491,0,exact
