district,samiti,elex_gp,lgd_gp,lgd_gp_code,match_distance,tie_count,match_quality
jhunjhunu,BUHANA,buhana,Jhanjha,39369,0.253968253968254,2,loose
jhunjhunu,SURAJGARH,jherli,Jeeni,39550,0.3,2,loose
jodhpur,LUNI,janadesar,Boranada,39754,0.27314814814814825,2,loose
jodhpur,LUNI,jhanwar,Dhigana,294722,0.28571428571428575,2,loose
jodhpur,PHALODI,aamla,Kalra,294976,0.26666666666666666,2,loose
jodhpur,PHALODI,kushalava,Kalra,294976,0.2518518518518519,2,loose
jodhpur,PHALODI,palina,Kalra,294976,0.3,2,loose
karauli,HINDAUN,alipura,Milkipura,294219,0.2142857142857143,2,loose
karauli,KARAULI,jamura,Lauhra,40032,0.22222222222222238,2,loose
karauli,KARAULI,masalpur,Rampur,40042,0.24722222222222212,2,loose
karauli,KARAULI,rundhpura,Kashipura,40025,0.29629629629629634,3,loose
karauli,SAPOTRA,langra,Bajna,40086,0.3,2,loose
kota,SULTANPUR,toran,Bhora,40308,0.26666666666666666,2,loose
nagaur,JAYAL,aavaliyasar,Anwliyasar,40437,0.2825757575757576,2,loose
nagaur,NAGAUR,tatwas,Balwa,40679,0.3,2,loose
pali,BALI,saina,Sena,40832,0.21666666666666667,2,loose
pratapgarh,PRATAPGARH,jolar,Jhasri,36732,0.3,2,loose
pratapgarh,PRATAPGARH,thara,Kulthana,36740,0.23333333333333345,2,loose
rajsamand,KHAMNOR,karoli,Bagol,41187,0.3,2,loose
sawaimadhopur,SAWAI MADHOPUR,balaria,Badolas,41475,0.28571428571428575,2,loose
sawaimadhopur,SAWAI MADHOPUR,dahakava,Bhadlav,41477,0.28690476190476194,2,loose
sikar,DANTA RAMGARH,ladpur,Chainpura,41527,0.29629629629629634,2,loose
sikar,NEEMKATHANA,bega ki nangal,Dayal Ki Nangal,41734,0.29668109668109677,2,loose
sikar,NEEMKATHANA,makdi,Mandoli,41755,0.20952380952380956,2,loose
sikar,PIPRALI,dolatpura,Rajpura,41805,0.24338624338624346,2,loose
tonk,MALPURA,soda bavdi,Soda,42071,0.20000000000000007,2,loose
tonk,TONK,bagdi,Baroni,42153,0.3,2,loose
tonk,TONK,pasrotiya,Palara,42186,0.29629629629629634,3,loose
udaipur,BHINDAR,menar,Heenta,42276,0.3,2,loose
udaipur,GIRWA,javar,Jabla,262781,0.26666666666666666,2,loose
udaipur,GOGUNDA,karda,Mada,262405,0.21666666666666667,2,loose
udaipur,JHADOL,madala,Adol,294184,0.25000000000000006,2,loose
udaipur,KHERWARA,balicha,Badala,42490,0.253968253968254,2,loose
udaipur,KHERWARA,bhudar,Bhakhra,294206,0.253968253968254,2,loose
udaipur,KHERWARA,kojawara,Katar,262536,0.23333333333333345,2,loose
udaipur,MAVLI,khemli,Khempur,42609,0.253968253968254,2,loose
udaipur,SALUMBAR,bhabrana,Baroda,42638,0.27777777777777785,3,loose
udaipur,SALUMBAR,matasula,Makadseema,42667,0.2916666666666667,2,loose
udaipur,SARADA,javad,Parsad,42711,0.3,2,loose
