sl_no,dist_name,samiti_name,gp,reservation,name,sex_manual,category,gp_new,dist_name_new,samiti_name_new
524,ALWAR,MUNDAWAR,SODAWAS,OBC (Woman),DEVKARAN,F,OBC (Woman),sodawas,ALWAR,MANDAWAR
7788,P ALI,JAIT ARAN,RAAS,General,DEVKARAN GURJAR,M,OBC,raas,PALI,JAITARAN
5502,JAISALMER,SAM,SANGAD,SC (Woman),DEVKI,F,SC (Woman),sangad,JAISALMER,SAM
5448,JAISALMER,JAISALMER,NEHDAI,ST (Woman),DEVKI,F,ST (Woman),nehdai,JAISALMER,JAISALMER
3845,DHOLPUR,BARI,DHANORA,General,DEVKI MEENA,M,ST,dhanora,DHOLPUR,BARI
3055,BUNDI,T ALERA,NOTADA,General,DEVLAL GURJAR,M,OBC,notada,BUNDI,TALERA
738,ALWAR,TIJARA,Nimbaheda,General (Woman),DEVLI,F,OBC (Woman),nimbaheda,ALWAR,TIJARA
8103,PRA T APGARH,DHRIABAD,P AHADA,ST (Woman),DEVLI,F,ST (Woman),p ahada,PRATAPGARH,DHARIAWAD
4281,DUNGARPUR,DOVADA,DHANVDI,ST (Woman),DEVLI AHARI,F,ST (Woman),dhanvdi,DUNGARPUR,DOVADA
9803,UDAIPUR,JHALLARA,JODHPURKHURD,ST (Woman),DEVLI MEENA,F,ST (Woman),jodhpurkhurd,UDAIPUR,JHALLARA
1017,BANSW ARA,KUSHALGARH,UKALA,ST (Woman),DEVLI WO VALSINGH,F,ST (Woman),ukala,BANSWARA,KUSHALGARH
6039,JHALAWAR,BHAVANI MANDI,GUDA,General (Woman),DEWAS BAI,F,OBC (Woman),guda,JHALAWAR,BHAVANI MANDI
1601,BARMER,RAMSAR,BHACHBHAR,OBC (Woman),DHAI,F,OBC (Woman),bhachbhar,BARMER,RAMSAR
6552,JODHPUR,LUNI,SHIKARPURA,SC,DHALARAM,M,SC,shikarpura,JODHPUR,LUNI
1863,BHARA TPUR,BAYANA,KOHRA,General,DHANI RAM,M,OBC,kohra,BHARATPUR,BAYANA
4983,JAIPUR,CHAKSU,TAMADIYA,General (Woman),DHANNA KANWAR,F,General (Woman),tamadiya,JAIPUR,CHAKSU
9291,TONK,UNIARA,BILOT A,SC,DHANNA LAL,M,SC,bilota,TONK,UNIARA
1446,BARMER,BAYATU,MADHASAR,General,DHANNA RAM,M,OBC,madhasar,BARMER,BAYTOO
6683,JODHPUR,SHERGARH,BAPU NAGAR,ST,DHANNA RAM,M,ST,bapu nagar,JODHPUR,SHERGARH
398,ALWAR,KISHANGARHBAS,KOLGAON,General (Woman),DHANNA RAM MEGHWAL,M,OBC,kolgaon,ALWAR,KISHANGARH BAS
3524,CHURU,SARDARSHAHAR,BAYALA,SC,DHANNA RAM MEGHWAL,M,SC,bayala,CHURU,SARDAR SHAHAR
1159,BARAN,ANT A,PALSAWA,General,DHANNALAL,M,OBC,palsawa,BARAN,ANTAH
7541,NAGAUR,NAGAUR,DHUNDWALO KI DHANI,SC,DHANNARAM,M,SC,dhundwalo ki dhani,NAGAUR,NAGAUR
651,ALWAR,RAMGARH,PIPRALI,General (Woman),DHANNI DEVI,F,OBC,piprali,ALWAR,RAMGARH
6803,JODHPUR,LOHAWAT,LOHAWAT VISHNAWAS,General (Woman),DHANNI DEVI,F,OBC (Woman),lohawat vishnawas,JODHPUR,LOHAWAT
1482,BARMER,CHAUHA T AN,KERNADA,SC (Woman),DHANNI DEVI,F,SC (Woman),kernada,BARMER,CHOHTAN
8801,SIKAR,NEEMKA THANA,GOVINDPURA,SC (Woman),DHANNI DEVI,F,SC (Woman),govindpura,SIKAR,NEEM KA THANA
4044,DUNGARPUR,BICHIW ARA,CHUNDAWADA,ST,DHANP AL,M,ST,chundawada,DUNGARPUR,BICHHIWARA
9315,TONK,UNIARA,RUPPURA,ST,DHANP AL,M,ST,ruppura,TONK,UNIARA
1312,BARAN,KISHANGANJ,RAMPURAI TODIYA,OBC,DHANRAJ,M,OBC,rampurai todiya,BARAN,KISHANGANJ
