district_raw,district_std
AJMER,AJMER
ALWAR,ALWAR
ANUMANGAR,HANUMANGARH
BANSW ARA,BANSWARA
BANSWARA,BANSWARA
BARAN,BARAN
BARMER,BARMER
BHARA TPUR,BHARATPUR
BHARATPUR,BHARATPUR
BHILWARA,BHILWARA
BIKANER,BIKANER
BUNDI,BUNDI
CHITTORGARH,CHITTORGARH
CHURU,CHURU
DAUSA,DAUSA
DHOLPUR,DHOLPUR
DUNGARPUR,DUNGARPUR
DUNGERPUR,DUNGARPUR
GANGANAGAR,GANGANAGAR
HANUMANGARH,HANUMANGARH
JAIPUR,JAIPUR
JAISALMER,JAISALMER
JALORE,JALORE
JHALAWAR,JHALAWAR
JHUNJHUNU,JHUNJHUNU
JODHPUR,JODHPUR
KARAULI,KARAULI
KOT A,KOTA
KOTA,KOTA
NAGAUR,NAGAUR
P ALI,PALI
PALI,PALI
PRA T APGARH,PRATAPGARH
PRATAPGARH,PRATAPGARH
RAJSAMAND,RAJSAMAND
S. MADHOPUR,SAWAI MADHOPUR
S.MADHOPUR,SAWAI MADHOPUR
SIKAR,SIKAR
SIROHI,SIROHI
TONK,TONK
UDAIPUR,UDAIPUR
