Year,District,NN/NP/NPP Name,Ward Name(Seat Category),Winning Candidate (Name-Party-Symbol),First Runner-up Candidate (Name-Party-Symbol),Name,Ward,Candidate,Party,Symbol,Votes Secured,Total Votes Polled,Invalid Votes,Tender Votes,Valid Votes
2008,देहरादून,नगर निगम देहरादून,५५.गांधी ग्राम (पिछड़ी जाति ),श्री जगदीश धीमान -भारतीय राष्ट्रीय कांग्रेस -हाथ,श्री मान सिंह -उत्तराखण्ड क्रान्ति दल -कुर्सी,नगर निगम देहरादून,५५.गांधी ग्राम,श्री मान सिंह,उत्तराखण्ड क्रान्ति दल,कुर्सी,761,3559,0,0,3559
2008,देहरादून,नगर निगम देहरादून,५५.गांधी ग्राम (पिछड़ी जाति ),श्री जगदीश धीमान -भारतीय राष्ट्रीय कांग्रेस -हाथ,श्री मान सिंह -उत्तराखण्ड क्रान्ति दल -कुर्सी,नगर निगम देहरादून,५५.गांधी ग्राम,श्री ईसराईल,निर्दलीय,कप और प्लेट,127,3559,0,0,3559
2008,देहरादून,नगर निगम देहरादून,५५.गांधी ग्राम (पिछड़ी जाति ),श्री जगदीश धीमान -भारतीय राष्ट्रीय कांग्रेस -हाथ,श्री मान सिंह -उत्तराखण्ड क्रान्ति दल -कुर्सी,नगर निगम देहरादून,५५.गांधी ग्राम,श्री बलबीर सिह,निर्दलीय,बस,51,3559,0,0,3559
2008,देहरादून,नगर निगम देहरादून,५५.गांधी ग्राम (पिछड़ी जाति ),श्री जगदीश धीमान -भारतीय राष्ट्रीय कांग्रेस -हाथ,श्री मान सिंह -उत्तराखण्ड क्रान्ति दल -कुर्सी,नगर निगम देहरादून,५५.गांधी ग्राम,श्री सुरजीत,निर्दलीय,वायुयान,543,3559,0,0,3559
2008,देहरादून,नगर निगम देहरादून,५६.यमुना कालोनी (अनारक्षित ),श्री सचिन गुप्ता -भारतीय जनता पार्टी -कमल,श्री सुरेश सनवाल -निर्दलीय -छत का पंखा,नगर निगम देहरादून,५६.यमुना कालोनी,श्री सचिन गुप्ता,भारतीय जनता पार्टी,कमल,787,2985,0,0,2985
2008,देहरादून,नगर निगम देहरादून,५६.यमुना कालोनी (अनारक्षित ),श्री सचिन गुप्ता -भारतीय जनता पार्टी -कमल,श्री सुरेश सनवाल -निर्दलीय -छत का पंखा,नगर निगम देहरादून,५६.यमुना कालोनी,श्री संजय,भारतीय राष्ट्रीय कांग्रेस,हाथ,586,2985,0,0,2985
2008,देहरादून,नगर निगम देहरादून,५६.यमुना कालोनी (अनारक्षित ),श्री सचिन गुप्ता -भारतीय जनता पार्टी -कमल,श्री सुरेश सनवाल -निर्दलीय -छत का पंखा,नगर निगम देहरादून,५६.यमुना कालोनी,श्रीमती संतोष गुप्ता,उत्तराखण्ड क्रान्ति दल,कुर्सी,102,2985,0,0,2985
2008,देहरादून,नगर निगम देहरादून,५६.यमुना कालोनी (अनारक्षित ),श्री सचिन गुप्ता -भारतीय जनता पार्टी -कमल,श्री सुरेश सनवाल -निर्दलीय -छत का पंखा,नगर निगम देहरादून,५६.यमुना कालोनी,श्री अरूण चमोली,निर्दलीय,वायुयान,415,2985,0,0,2985
2008,देहरादून,नगर निगम देहरादून,५६.यमुना कालोनी (अनारक्षित ),श्री सचिन गुप्ता -भारतीय जनता पार्टी -कमल,श्री सुरेश सनवाल -निर्दलीय -छत का पंखा,नगर निगम देहरादून,५६.यमुना कालोनी,श्री आशीष,निर्दलीय,बल्लेबाज,113,2985,0,0,2985
2008,देहरादून,नगर निगम देहरादून,५६.यमुना कालोनी (अनारक्षित ),श्री सचिन गुप्ता -भारतीय जनता पार्टी -कमल,श्री सुरेश सनवाल -निर्दलीय -छत का पंखा,नगर निगम देहरादून,५६.यमुना कालोनी,श्री तजेन्द्र सिंह बिष्ट,निर्दलीय,बस,259,2985,0,0,2985
2008,देहरादून,नगर निगम देहरादून,५२.बसन्त बिहार (अनारक्षित ),श्री नवीन बिष्ट -भारतीय राष्ट्रीय कांग्रेस -हाथ,श्री रमेश -भारतीय जनता पार्टी -कमल,नगर निगम देहरादून,५२.बसन्त बिहार,श्री विवेक नौटियाल,निर्दलीय,छत का पंखा,746,4229,0,0,4229
2008,देहरादून,नगर निगम देहरादून,५२.बसन्त बिहार (अनारक्षित ),श्री नवीन बिष्ट -भारतीय राष्ट्रीय कांग्रेस -हाथ,श्री रमेश -भारतीय जनता पार्टी -कमल,नगर निगम देहरादून,५२.बसन्त बिहार,श्री गोपाल,निर्दलीय,बस,213,4229,0,0,4229
2008,देहरादून,नगर निगम देहरादून,५२.बसन्त बिहार (अनारक्षित ),श्री नवीन बिष्ट -भारतीय राष्ट्रीय कांग्रेस -हाथ,श्री रमेश -भारतीय जनता पार्टी -कमल,नगर निगम देहरादून,५२.बसन्त बिहार,श्री मनमोहन पंत,उत्तराखण्ड क्रान्ति दल,कुर्सी,175,4229,0,0,4229
2008,देहरादून,नगर निगम देहरादून,५२.बसन्त बिहार (अनारक्षित ),श्री नवीन बिष्ट -भारतीय राष्ट्रीय कांग्रेस -हाथ,श्री रमेश -भारतीय जनता पार्टी -कमल,नगर निगम देहरादून,५२.बसन्त बिहार,श्री रमेश,भारतीय जनता पार्टी,कमल,1362,4229,0,0,4229
2008,देहरादून,नगर निगम देहरादून,४७.टर्नर रोड़ (अनारक्षित ),संजय कुमार -भारतीय राष्ट्रीय कांग्रेस -हाथ,प्रदीप सिंह -भारतीय जनता पार्टी -कमल,नगर निगम देहरादून,४७.टर्नर रोड़,लाल मोहम्मद,निर्दलीय,पुल,31,3278,0,0,3278
2008,देहरादून,नगर निगम देहरादून,४७.टर्नर रोड़ (अनारक्षित ),संजय कुमार -भारतीय राष्ट्रीय कांग्रेस -हाथ,प्रदीप सिंह -भारतीय जनता पार्टी -कमल,नगर निगम देहरादून,४७.टर्नर रोड़,विकास कुमार,निर्दलीय,नारियल,111,3278,0,0,3278
2008,देहरादून,नगर निगम देहरादून,४८.इन्द्रापुरम (पिछड़ी जाति महिला ),आशा भाटी -भारतीय जनता पार्टी -कमल,निर्मला राठी -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,४८.इन्द्रापुरम,आशा भाटी,भारतीय जनता पार्टी,कमल,1469,2657,0,0,2657
2008,देहरादून,नगर निगम देहरादून,४८.इन्द्रापुरम (पिछड़ी जाति महिला ),आशा भाटी -भारतीय जनता पार्टी -कमल,निर्मला राठी -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,४८.इन्द्रापुरम,निर्मला राठी,भारतीय राष्ट्रीय कांग्रेस,हाथ,1188,2657,0,0,2657
2008,देहरादून,नगर निगम देहरादून,४९.द्रोणपुरी (अनारक्षित ),श्री बाबू राम -भारतीय जनता पार्टी -कमल,श्री सुरेशचन्द्र शर्मा -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,४९.द्रोणपुरी,श्रीमती इन्दु नौडियाल,भा0क0पा0(मार्क्सवादी),"हंसिया,हथौड़ा,सितारा",876,3249,0,0,3249
2008,देहरादून,नगर निगम देहरादून,४९.द्रोणपुरी (अनारक्षित ),श्री बाबू राम -भारतीय जनता पार्टी -कमल,श्री सुरेशचन्द्र शर्मा -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,४९.द्रोणपुरी,श्री बाबू राम,भारतीय जनता पार्टी,कमल,1217,3249,0,0,3249
2008,देहरादून,नगर निगम देहरादून,४९.द्रोणपुरी (अनारक्षित ),श्री बाबू राम -भारतीय जनता पार्टी -कमल,श्री सुरेशचन्द्र शर्मा -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,४९.द्रोणपुरी,श्री बृजभान सिंह पुण्डीर,बहुजन समाज पार्टी,हाथी,153,3249,0,0,3249
2008,देहरादून,नगर निगम देहरादून,४९.द्रोणपुरी (अनारक्षित ),श्री बाबू राम -भारतीय जनता पार्टी -कमल,श्री सुरेशचन्द्र शर्मा -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,४९.द्रोणपुरी,श्री सुरेशचन्द्र शर्मा,भारतीय राष्ट्रीय कांग्रेस,हाथ,924,3249,0,0,3249
2008,देहरादून,नगर निगम देहरादून,४९.द्रोणपुरी (अनारक्षित ),श्री बाबू राम -भारतीय जनता पार्टी -कमल,श्री सुरेशचन्द्र शर्मा -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,४९.द्रोणपुरी,श्री संजय भारती,उत्तराखण्ड क्रान्ति दल,कुर्सी,79,3249,0,0,3249
2008,देहरादून,नगर निगम देहरादून,५०.कांवली (महिला ),श्रीमती अर्चना पुण्डीर -भारतीय जनता पार्टी -कमल,श्रीमती सुनीता -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,५०.कांवली,श्रीमती अर्चना पुण्डीर,भारतीय जनता पार्टी,कमल,1870,3078,0,0,3078
2008,देहरादून,नगर निगम देहरादून,५६.यमुना कालोनी (अनारक्षित ),श्री सचिन गुप्ता -भारतीय जनता पार्टी -कमल,श्री सुरेश सनवाल -निर्दलीय -छत का पंखा,नगर निगम देहरादून,५६.यमुना कालोनी,श्री त्रिलोक सिंह,निर्दलीय,बंगला,28,2985,0,0,2985
2008,देहरादून,नगर निगम देहरादून,५०.कांवली (महिला ),श्रीमती अर्चना पुण्डीर -भारतीय जनता पार्टी -कमल,श्रीमती सुनीता -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,५०.कांवली,श्रीमती जुबैदा,बहुजन समाज पार्टी,हाथी,166,3078,0,0,3078
2008,देहरादून,नगर निगम देहरादून,५१.इन्द्रा नगर (अनारक्षित ),श्री एस0एस0रावत -उत्तराखण्ड क्रान्ति दल -कुर्सी,श्री राजेन्द्र कुमार सोम -भारतीय जनता पार्टी -कमल,नगर निगम देहरादून,५१.इन्द्रा नगर,श्री गुड्डू,बहुजन समाज पार्टी,हाथी,148,2635,0,0,2635
2008,देहरादून,नगर निगम देहरादून,५१.इन्द्रा नगर (अनारक्षित ),श्री एस0एस0रावत -उत्तराखण्ड क्रान्ति दल -कुर्सी,श्री राजेन्द्र कुमार सोम -भारतीय जनता पार्टी -कमल,नगर निगम देहरादून,५१.इन्द्रा नगर,श्री मेहरबान सिंह कुंवर,भारतीय राष्ट्रीय कांग्रेस,हाथ,546,2635,0,0,2635
2008,देहरादून,नगर निगम देहरादून,५१.इन्द्रा नगर (अनारक्षित ),श्री एस0एस0रावत -उत्तराखण्ड क्रान्ति दल -कुर्सी,श्री राजेन्द्र कुमार सोम -भारतीय जनता पार्टी -कमल,नगर निगम देहरादून,५१.इन्द्रा नगर,श्री राजेन्द्र कुमार सोम,भारतीय जनता पार्टी,कमल,693,2635,0,0,2635
2008,देहरादून,नगर निगम देहरादून,५१.इन्द्रा नगर (अनारक्षित ),श्री एस0एस0रावत -उत्तराखण्ड क्रान्ति दल -कुर्सी,श्री राजेन्द्र कुमार सोम -भारतीय जनता पार्टी -कमल,नगर निगम देहरादून,५१.इन्द्रा नगर,श्री एस0एस0रावत,उत्तराखण्ड क्रान्ति दल,कुर्सी,847,2635,0,0,2635
2008,देहरादून,नगर निगम देहरादून,५१.इन्द्रा नगर (अनारक्षित ),श्री एस0एस0रावत -उत्तराखण्ड क्रान्ति दल -कुर्सी,श्री राजेन्द्र कुमार सोम -भारतीय जनता पार्टी -कमल,नगर निगम देहरादून,५१.इन्द्रा नगर,श्रीमती सुनीता जौहरी,शिवसेना,पतंग,26,2635,0,0,2635
2008,देहरादून,नगर निगम देहरादून,५१.इन्द्रा नगर (अनारक्षित ),श्री एस0एस0रावत -उत्तराखण्ड क्रान्ति दल -कुर्सी,श्री राजेन्द्र कुमार सोम -भारतीय जनता पार्टी -कमल,नगर निगम देहरादून,५१.इन्द्रा नगर,श्री प्रीत मलिक,निर्दलीय,घंटी,131,2635,0,0,2635
2008,देहरादून,नगर निगम देहरादून,५१.इन्द्रा नगर (अनारक्षित ),श्री एस0एस0रावत -उत्तराखण्ड क्रान्ति दल -कुर्सी,श्री राजेन्द्र कुमार सोम -भारतीय जनता पार्टी -कमल,नगर निगम देहरादून,५१.इन्द्रा नगर,श्री निर्मल सिंह रावत,निर्दलीय,वायुयान,99,2635,0,0,2635
2008,देहरादून,नगर निगम देहरादून,५१.इन्द्रा नगर (अनारक्षित ),श्री एस0एस0रावत -उत्तराखण्ड क्रान्ति दल -कुर्सी,श्री राजेन्द्र कुमार सोम -भारतीय जनता पार्टी -कमल,नगर निगम देहरादून,५१.इन्द्रा नगर,श्री सतेन्द्र सिंह नेगी,निर्दलीय,गुड़िया,145,2635,0,0,2635
2008,देहरादून,नगर निगम देहरादून,५२.बसन्त बिहार (अनारक्षित ),श्री नवीन बिष्ट -भारतीय राष्ट्रीय कांग्रेस -हाथ,श्री रमेश -भारतीय जनता पार्टी -कमल,नगर निगम देहरादून,५२.बसन्त बिहार,श्री नवीन बिष्ट,भारतीय राष्ट्रीय कांग्रेस,हाथ,1568,4229,0,0,4229
2008,देहरादून,नगर निगम देहरादून,५२.बसन्त बिहार (अनारक्षित ),श्री नवीन बिष्ट -भारतीय राष्ट्रीय कांग्रेस -हाथ,श्री रमेश -भारतीय जनता पार्टी -कमल,नगर निगम देहरादून,५२.बसन्त बिहार,श्री परमजीत,बहुजन समाज पार्टी,हाथी,165,4229,0,0,4229
2008,देहरादून,नगर निगम देहरादून,५०.कांवली (महिला ),श्रीमती अर्चना पुण्डीर -भारतीय जनता पार्टी -कमल,श्रीमती सुनीता -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,५०.कांवली,श्रीमती सुनीता,भारतीय राष्ट्रीय कांग्रेस,हाथ,1042,3078,0,0,3078
2008,देहरादून,नगर निगम देहरादून,४७.टर्नर रोड़ (अनारक्षित ),संजय कुमार -भारतीय राष्ट्रीय कांग्रेस -हाथ,प्रदीप सिंह -भारतीय जनता पार्टी -कमल,नगर निगम देहरादून,४७.टर्नर रोड़,राजीव शर्मा,निर्दलीय,कप और प्लेट,69,3278,0,0,3278
2008,देहरादून,नगर निगम देहरादून,५६.यमुना कालोनी (अनारक्षित ),श्री सचिन गुप्ता -भारतीय जनता पार्टी -कमल,श्री सुरेश सनवाल -निर्दलीय -छत का पंखा,नगर निगम देहरादून,५६.यमुना कालोनी,श्री सुरेश सनवाल,निर्दलीय,छत का पंखा,695,2985,0,0,2985
2008,देहरादून,नगर निगम देहरादून,५७.गोविन्दगढ़ (अनारक्षित ),श्री सुरेन्द्र सिह कुकरेजा -भारतीय जनता पार्टी -कमल,श्री सुभाष इस्सर -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,५७.गोविन्दगढ़,श्री सुभाष इस्सर,भारतीय राष्ट्रीय कांग्रेस,हाथ,930,3531,0,0,3531
2008,देहरादून,न0पा0प0ऋषिकेश,२.वाल्मीकी नगर (अनु०जाति ),विशाल खैरनाल -भारतीय जनता पार्टी -कमल,विकास कुमार -निर्दलीय -कप और प्लेट,न0पा0प0ऋषिकेश,२.वाल्मीकी नगर,विशाल खैरनाल,भारतीय जनता पार्टी,कमल,356,1494,74,0,1420
2008,देहरादून,न0पा0प0ऋषिकेश,२.वाल्मीकी नगर (अनु०जाति ),विशाल खैरनाल -भारतीय जनता पार्टी -कमल,विकास कुमार -निर्दलीय -कप और प्लेट,न0पा0प0ऋषिकेश,२.वाल्मीकी नगर,धर्मेन्द्र,निर्दलीय,बाल्टी,249,1494,74,0,1420
2008,देहरादून,न0पा0प0ऋषिकेश,२.वाल्मीकी नगर (अनु०जाति ),विशाल खैरनाल -भारतीय जनता पार्टी -कमल,विकास कुमार -निर्दलीय -कप और प्लेट,न0पा0प0ऋषिकेश,२.वाल्मीकी नगर,राकेश,निर्दलीय,अल्मारी,86,1494,74,0,1420
2008,देहरादून,न0पा0प0ऋषिकेश,२.वाल्मीकी नगर (अनु०जाति ),विशाल खैरनाल -भारतीय जनता पार्टी -कमल,विकास कुमार -निर्दलीय -कप और प्लेट,न0पा0प0ऋषिकेश,२.वाल्मीकी नगर,विकास कुमार,निर्दलीय,कप और प्लेट,272,1494,74,0,1420
2008,देहरादून,न0पा0प0ऋषिकेश,२.वाल्मीकी नगर (अनु०जाति ),विशाल खैरनाल -भारतीय जनता पार्टी -कमल,विकास कुमार -निर्दलीय -कप और प्लेट,न0पा0प0ऋषिकेश,२.वाल्मीकी नगर,शिवराम,निर्दलीय,पतंग,12,1494,74,0,1420
2008,देहरादून,न0पा0प0ऋषिकेश,२.वाल्मीकी नगर (अनु०जाति ),विशाल खैरनाल -भारतीय जनता पार्टी -कमल,विकास कुमार -निर्दलीय -कप और प्लेट,न0पा0प0ऋषिकेश,२.वाल्मीकी नगर,सुरेन्द्र जाटव,निर्दलीय,बल्ला,60,1494,74,0,1420
2008,देहरादून,न0पा0प0ऋषिकेश,३.सर्वहारा नगर (पिछड़ी जाति महिला ),श्रीमती प्रीति राठी -भारतीय जनता पार्टी -कमल,सरोज सैनी -निर्दलीय -कप और प्लेट,न0पा0प0ऋषिकेश,३.सर्वहारा नगर,उषा कश्यप,भारतीय राष्ट्रीय कांग्रेस,हाथ,302,2302,162,0,2140
2008,देहरादून,न0पा0प0ऋषिकेश,३.सर्वहारा नगर (पिछड़ी जाति महिला ),श्रीमती प्रीति राठी -भारतीय जनता पार्टी -कमल,सरोज सैनी -निर्दलीय -कप और प्लेट,न0पा0प0ऋषिकेश,३.सर्वहारा नगर,श्रीमती प्रीति राठी,भारतीय जनता पार्टी,कमल,784,2302,162,0,2140
2008,देहरादून,न0पा0प0ऋषिकेश,३.सर्वहारा नगर (पिछड़ी जाति महिला ),श्रीमती प्रीति राठी -भारतीय जनता पार्टी -कमल,सरोज सैनी -निर्दलीय -कप और प्लेट,न0पा0प0ऋषिकेश,३.सर्वहारा नगर,बबिता,बहुजन समाज पार्टी,हाथी,164,2302,162,0,2140
2008,देहरादून,न0पा0प0ऋषिकेश,३.सर्वहारा नगर (पिछड़ी जाति महिला ),श्रीमती प्रीति राठी -भारतीय जनता पार्टी -कमल,सरोज सैनी -निर्दलीय -कप और प्लेट,न0पा0प0ऋषिकेश,३.सर्वहारा नगर,कमलेश कश्यप,निर्दलीय,अल्मारी,38,2302,162,0,2140
2008,देहरादून,न0पा0प0ऋषिकेश,३.सर्वहारा नगर (पिछड़ी जाति महिला ),श्रीमती प्रीति राठी -भारतीय जनता पार्टी -कमल,सरोज सैनी -निर्दलीय -कप और प्लेट,न0पा0प0ऋषिकेश,३.सर्वहारा नगर,पार्वती,निर्दलीय,पतंग,202,2302,162,0,2140
2008,देहरादून,न0पा0प0ऋषिकेश,३.सर्वहारा नगर (पिछड़ी जाति महिला ),श्रीमती प्रीति राठी -भारतीय जनता पार्टी -कमल,सरोज सैनी -निर्दलीय -कप और प्लेट,न0पा0प0ऋषिकेश,३.सर्वहारा नगर,विद्यावती,निर्दलीय,ईंट,311,2302,162,0,2140
2008,देहरादून,न0पा0प0ऋषिकेश,३.सर्वहारा नगर (पिछड़ी जाति महिला ),श्रीमती प्रीति राठी -भारतीय जनता पार्टी -कमल,सरोज सैनी -निर्दलीय -कप और प्लेट,न0पा0प0ऋषिकेश,३.सर्वहारा नगर,सरोज सैनी,निर्दलीय,कप और प्लेट,339,2302,162,0,2140
2008,देहरादून,न0पा0प0ऋषिकेश,४.शान्ती नगर वन खण्डी (पिछड़ी जाति ),शिव कुमार गौतम -भारतीय जनता पार्टी -कमल,राजूपाल -निर्दलीय -अल्मारी,न0पा0प0ऋषिकेश,४.शान्ती नगर वन खण्डी,महेन्द्र पाल,भारतीय राष्ट्रीय कांग्रेस,हाथ,163,2669,175,0,2494
2008,देहरादून,न0पा0प0ऋषिकेश,४.शान्ती नगर वन खण्डी (पिछड़ी जाति ),शिव कुमार गौतम -भारतीय जनता पार्टी -कमल,राजूपाल -निर्दलीय -अल्मारी,न0पा0प0ऋषिकेश,४.शान्ती नगर वन खण्डी,राजपाल सैनी,बहुजन समाज पार्टी,हाथी,265,2669,175,0,2494
2008,देहरादून,न0पा0प0ऋषिकेश,४.शान्ती नगर वन खण्डी (पिछड़ी जाति ),शिव कुमार गौतम -भारतीय जनता पार्टी -कमल,राजूपाल -निर्दलीय -अल्मारी,न0पा0प0ऋषिकेश,४.शान्ती नगर वन खण्डी,शिव कुमार गौतम,भारतीय जनता पार्टी,कमल,779,2669,175,0,2494
2008,देहरादून,न0पा0प0ऋषिकेश,४.शान्ती नगर वन खण्डी (पिछड़ी जाति ),शिव कुमार गौतम -भारतीय जनता पार्टी -कमल,राजूपाल -निर्दलीय -अल्मारी,न0पा0प0ऋषिकेश,४.शान्ती नगर वन खण्डी,जोगेन्द्र कुमार,निर्दलीय,गैस सिलेन्डर,393,2669,175,0,2494
2008,देहरादून,न0पा0प0ऋषिकेश,४.शान्ती नगर वन खण्डी (पिछड़ी जाति ),शिव कुमार गौतम -भारतीय जनता पार्टी -कमल,राजूपाल -निर्दलीय -अल्मारी,न0पा0प0ऋषिकेश,४.शान्ती नगर वन खण्डी,देवी सिंह,निर्दलीय,बंगला,22,2669,175,0,2494
2008,देहरादून,न0पा0प0ऋषिकेश,४.शान्ती नगर वन खण्डी (पिछड़ी जाति ),शिव कुमार गौतम -भारतीय जनता पार्टी -कमल,राजूपाल -निर्दलीय -अल्मारी,न0पा0प0ऋषिकेश,४.शान्ती नगर वन खण्डी,श्रीमती पदमा,निर्दलीय,कप और प्लेट,173,2669,175,0,2494
2008,देहरादून,न0पा0प0ऋषिकेश,४.शान्ती नगर वन खण्डी (पिछड़ी जाति ),शिव कुमार गौतम -भारतीय जनता पार्टी -कमल,राजूपाल -निर्दलीय -अल्मारी,न0पा0प0ऋषिकेश,४.शान्ती नगर वन खण्डी,बृजेश कुमार,निर्दलीय,बाल्टी,16,2669,175,0,2494
2008,देहरादून,न0पा0प0ऋषिकेश,४.शान्ती नगर वन खण्डी (पिछड़ी जाति ),शिव कुमार गौतम -भारतीय जनता पार्टी -कमल,राजूपाल -निर्दलीय -अल्मारी,न0पा0प0ऋषिकेश,४.शान्ती नगर वन खण्डी,महिपाल सिंह सैनी,निर्दलीय,पतंग,25,2669,175,0,2494
2008,देहरादून,न0पा0प0ऋषिकेश,२.वाल्मीकी नगर (अनु०जाति ),विशाल खैरनाल -भारतीय जनता पार्टी -कमल,विकास कुमार -निर्दलीय -कप और प्लेट,न0पा0प0ऋषिकेश,२.वाल्मीकी नगर,बिपिन,भारतीय राष्ट्रीय कांग्रेस,हाथ,139,1494,74,0,1420
2008,देहरादून,न0पा0प0ऋषिकेश,२.वाल्मीकी नगर (अनु०जाति ),विशाल खैरनाल -भारतीय जनता पार्टी -कमल,विकास कुमार -निर्दलीय -कप और प्लेट,न0पा0प0ऋषिकेश,२.वाल्मीकी नगर,राजबीर सिंह,बहुजन समाज पार्टी,हाथी,246,1494,74,0,1420
