Year,District,NN/NP/NPP Name,Ward Name(Seat Category),Winning Candidate (Name-Party-Symbol),First Runner-up Candidate (Name-Party-Symbol),Name,Ward,Candidate,Party,Symbol,Votes Secured,Total Votes Polled,Invalid Votes,Tender Votes,Valid Votes
2008,अल्‍मोडा,न0पा0प0अल्‍मोडा,१. सैलाखोला (पिछड़ी जाति ),अजय वर्मा (अज्जू) -निर्दलीय -गैस का चूल्हा,देवी दयाल(दयालू) -निर्दलीय -मोमबत्ती,न0पा0प0अल्‍मोडा,१. सैलाखोला,अख्तर हुसैन,भारतीय राष्ट्रीय कांग्रेस,हाथ,62,898,13,0,885
2008,देहरादून,नगर निगम देहरादून,५३.मोहित नगर (महिला ),श्रीमती अमिता सिंह -भारतीय जनता पार्टी -कमल,श्रीमती पार्वती देवी -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,५३.मोहित नगर,श्रीमती अमिता सिंह,भारतीय जनता पार्टी,कमल,1532,2291,0,0,2291
2008,देहरादून,नगर निगम देहरादून,५३.मोहित नगर (महिला ),श्रीमती अमिता सिंह -भारतीय जनता पार्टी -कमल,श्रीमती पार्वती देवी -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,५३.मोहित नगर,श्रीमती पार्वती देवी,भारतीय राष्ट्रीय कांग्रेस,हाथ,692,2291,0,0,2291
2008,देहरादून,नगर निगम देहरादून,५३.मोहित नगर (महिला ),श्रीमती अमिता सिंह -भारतीय जनता पार्टी -कमल,श्रीमती पार्वती देवी -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,५३.मोहित नगर,श्रीमती मंजू देवी,निर्दलीय,पतंग,67,2291,0,0,2291
2008,देहरादून,नगर निगम देहरादून,५४.पटेल नगर(पश्चिम) (अनारक्षित ),श्री गोविन्द मोहन -भारतीय जनता पार्टी -कमल,श्री चन्द्रमोहन -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,५४.पटेल नगर(पश्चिम),श्री गोविन्द मोहन,भारतीय जनता पार्टी,कमल,1605,3613,0,0,3613
2008,देहरादून,नगर निगम देहरादून,५४.पटेल नगर(पश्चिम) (अनारक्षित ),श्री गोविन्द मोहन -भारतीय जनता पार्टी -कमल,श्री चन्द्रमोहन -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,५४.पटेल नगर(पश्चिम),श्री चन्द्रमोहन,भारतीय राष्ट्रीय कांग्रेस,हाथ,1351,3613,0,0,3613
2008,देहरादून,नगर निगम देहरादून,५४.पटेल नगर(पश्चिम) (अनारक्षित ),श्री गोविन्द मोहन -भारतीय जनता पार्टी -कमल,श्री चन्द्रमोहन -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,५४.पटेल नगर(पश्चिम),श्री जसपाल सिंह,बहुजन समाज पार्टी,हाथी,208,3613,0,0,3613
2008,देहरादून,नगर निगम देहरादून,५४.पटेल नगर(पश्चिम) (अनारक्षित ),श्री गोविन्द मोहन -भारतीय जनता पार्टी -कमल,श्री चन्द्रमोहन -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,५४.पटेल नगर(पश्चिम),श्री सुमीत,उत्तराखण्ड क्रान्ति दल,कुर्सी,308,3613,0,0,3613
2008,देहरादून,नगर निगम देहरादून,५४.पटेल नगर(पश्चिम) (अनारक्षित ),श्री गोविन्द मोहन -भारतीय जनता पार्टी -कमल,श्री चन्द्रमोहन -भारतीय राष्ट्रीय कांग्रेस -हाथ,नगर निगम देहरादून,५४.पटेल नगर(पश्चिम),श्री पंकज कोहली,निर्दलीय,अल्मारी,141,3613,0,0,3613
2008,देहरादून,नगर निगम देहरादून,५५.गांधी ग्राम (पिछड़ी जाति ),श्री जगदीश धीमान -भारतीय राष्ट्रीय कांग्रेस -हाथ,श्री मान सिंह -उत्तराखण्ड क्रान्ति दल -कुर्सी,नगर निगम देहरादून,५५.गांधी ग्राम,श्री काशीराम,बहुजन समाज पार्टी,हाथी,195,3559,0,0,3559
2008,देहरादून,नगर निगम देहरादून,५५.गांधी ग्राम (पिछड़ी जाति ),श्री जगदीश धीमान -भारतीय राष्ट्रीय कांग्रेस -हाथ,श्री मान सिंह -उत्तराखण्ड क्रान्ति दल -कुर्सी,नगर निगम देहरादून,५५.गांधी ग्राम,श्री जगदीश धीमान,भारतीय राष्ट्रीय कांग्रेस,हाथ,1164,3559,0,0,3559
2008,देहरादून,नगर निगम देहरादून,५५.गांधी ग्राम (पिछड़ी जाति ),श्री जगदीश धीमान -भारतीय राष्ट्रीय कांग्रेस -हाथ,श्री मान सिंह -उत्तराखण्ड क्रान्ति दल -कुर्सी,नगर निगम देहरादून,५५.गांधी ग्राम,श्री राजपाल,भारतीय जनता पार्टी,कमल,718,3559,0,0,3559
